    time    temp    dens
   9.73762209969441E-01   6.05903712599776E-02   8.60203188160945E-01
     nin     zin       y       x
 20   11     9.05591510829279E-26   2.80733368357077E-24
 21   11     2.66364032356357E-30   8.52364903540342E-29
 22   11     6.59784311882028E-33   2.17728822921069E-31
 23   11     2.73457373811280E-36   9.29755070958354E-35
 24   11     6.14103127875854E-40   2.14936094756549E-38
 25   11     7.59689246494474E-45   2.73488128738011E-43
 26   11     1.24418320351583E-50   4.60347785300859E-49
 27   11     1.26194331292246E-80   4.79538458910536E-79
 28   11     1.07430446480155E-90   4.18978741272604E-89
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     2.14974745297687E-13   4.29949490595373E-12
  9   12     6.03138414414809E-10   1.26659067027110E-08
 10   12     2.64959736773689E-07   5.82911420902115E-06
 11   12     8.85776800628406E-08   2.03728664144533E-06
 12   12     3.87035606612365E-07   9.28885455869675E-06
 13   12     9.44561007306239E-07   2.36140251826560E-05
 14   12     9.54946740973836E-07   2.48286152653197E-05
 15   12     1.92822750428613E-11   5.20621426157254E-10
 16   12     1.26857658806755E-12   3.55201444658913E-11
 17   12     2.07069834040657E-14   6.00502518717905E-13
 18   12     3.73028016830305E-15   1.11908405049092E-13
 19   12     3.14161772203261E-19   9.73901493830109E-18
 20   12     3.11438419554577E-21   9.96602942574647E-20
 21   12     6.16567513787448E-25   2.03467279549858E-23
 22   12     1.64569642830588E-27   5.59536785623998E-26
 23   12     9.66669160572525E-29   3.38334206200384E-27
 24   12     1.07966294927397E-32   3.88678661738628E-31
 25   12     1.44403207403862E-34   5.34291867394288E-33
 26   12     6.45121726574246E-37   2.45146256098214E-35
 27   12     1.21305620123358E-43   4.73091918481097E-42
 28   12     2.94685125963733E-51   1.17874050385493E-49
 29   12     6.88425636648759E-91   2.82254511025991E-89
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     5.15523193339725E-18   1.08259870601342E-16
  9   13     1.74894469872293E-15   3.84767833719044E-14
 10   13     6.95806577420043E-13   1.60035512806610E-11
 11   13     1.92889095310133E-08   4.62933828744319E-07
 12   13     4.62642279023047E-07   1.15660569755762E-05
 13   13     1.75562356405661E-09   4.56462126654720E-08
 14   13     1.12093527973352E-06   3.02652525528050E-05
 15   13     1.75725143403982E-09   4.92030401531149E-08
 16   13     8.72103178345910E-11   2.52909921720314E-09
 17   13     2.21472634571340E-12   6.64417903714020E-11
 18   13     1.66656966785811E-13   5.16636597036013E-12
 19   13     1.70563461280274E-18   5.45803076096876E-17
 20   13     3.02520951689767E-18   9.98319140576230E-17
 21   13     1.39151436617642E-21   4.73114884499982E-20
 22   13     1.37067505880985E-24   4.79736270583446E-23
 23   13     8.63808340482182E-26   3.10971002573586E-24
 24   13     4.79448751684913E-29   1.77396038123418E-27
 25   13     1.56043433511337E-31   5.92965047343082E-30
 26   13     2.51419093132628E-34   9.80534463217249E-33
 27   13     7.22801151001300E-41   2.89120460400520E-39
 28   13     5.18722255162362E-43   2.12676124616568E-41
 29   13     9.82439051299852E-60   4.12624401545938E-58
 30   13     1.14407246980731E-66   4.91951162017145E-65
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.83499415247113E-98
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   3.28766298276803E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     5.68054787140970E-19   1.24972053171013E-17
  9   14     1.79688489116269E-17   4.13283524967419E-16
 10   14     1.79604729234720E-15   4.31051350163329E-14
 11   14     3.80836245819632E-09   9.52090614549080E-08
 12   14     2.14304381251698E-07   5.57191391254414E-06
 13   14     6.45511716637360E-07   1.74288163492087E-05
 14   14     3.87553569401994E-06   1.08514999432558E-04
 15   14     2.24062171075524E-06   6.49780296119019E-05
