    time    temp    dens
   3.91915900130650E-01   1.55731081272659E-01   1.42675591579433E+01
     nin     zin       y       x
  1    0     3.42233796750990E-10   3.42233796750990E-10
  0    1     9.11830472246465E-02   9.11830472246465E-02
  1    1     2.34069857342282E-07   4.68139714684565E-07
  2    1     1.58320384932178E-08   4.74961154796533E-08
  1    2     1.57391167486064E-06   4.72173502458193E-06
  2    2     2.21329044636958E-01   8.85316178547834E-01
  4    2     6.19941969245809E-23   3.71965181547485E-22
  3    3     2.60893877964068E-15   1.56536326778441E-14
  4    3     1.25261086426854E-10   8.76827604987979E-10
  5    3     1.41475045506545E-19   1.13180036405236E-18
  6    3     2.14540198567943E-25   1.93086178711148E-24
  3    4     2.74408529267353E-09   1.92085970487147E-08
  5    4     2.70939362499361E-16   2.43845426249425E-15
  6    4     2.60916405467764E-16   2.60916405467764E-15
  7    4     3.48430699712505E-25   3.83273769683756E-24
  8    4     9.72978205134494E-33   1.16757384616139E-31
  3    5     1.10873927434456E-13   8.86991419475646E-13
  5    5     1.36945876688067E-13   1.36945876688067E-12
  6    5     4.43891011720590E-10   4.88280112892649E-09
  7    5     6.42274239358676E-16   7.70729087230411E-15
  8    5     2.12396023222903E-18   2.76114830189774E-17
  9    5     1.40264444086532E-27   1.96370221721145E-26
  3    6     2.26094114235751E-13   2.03484702812176E-12
  4    6     1.48268629093066E-09   1.48268629093066E-08
  5    6     1.88292184033258E-06   2.07121402436583E-05
  6    6     4.06112846727458E-06   4.87335416072949E-05
  7    6     3.55364148707659E-07   4.61973393319956E-06
  8    6     1.92857431588894E-10   2.70000404224452E-09
  9    6     1.07014996553772E-17   1.60522494830658E-16
 10    6     1.57617030513102E-18   2.52187248820964E-17
 11    6     2.88645223962198E-26   4.90696880735737E-25
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     3.33863871746720E-26   3.67250258921392E-25
  5    7     5.65352690605494E-12   6.78423228726593E-11
  6    7     1.19795336604151E-06   1.55733937585397E-05
  7    7     3.34117256127833E-07   4.67764158578966E-06
  8    7     1.74900952699420E-07   2.62351429049130E-06
  9    7     4.05757555832409E-13   6.49212089331854E-12
 10    7     2.97529501598519E-11   5.05800152717483E-10
 11    7     1.71707166101148E-13   3.09072898982066E-12
 12    7     6.68174044296080E-14   1.26953068416255E-12
 13    7     1.70530874790648E-17   3.41061749581296E-16
 14    7     1.03701706741818E-18   2.17773584157819E-17
  5    8     3.87506497259124E-15   5.03758446436861E-14
  6    8     6.27515523170786E-06   8.78521732439100E-05
  7    8     7.38820404730992E-06   1.10823060709649E-04
  8    8     6.86805705374058E-06   1.09888912859849E-04
  9    8     5.34462210792437E-08   9.08585758347142E-07
 10    8     7.60836495397282E-10   1.36950569171511E-08
 11    8     4.23140878330894E-14   8.03967668828698E-13
 12    8     8.73275650475684E-15   1.74655130095137E-13
 13    8     1.72376280112066E-18   3.61990188235338E-17
 14    8     1.35904786994706E-19   2.98990531388354E-18
  5    9     7.89832249717508E-48   1.10576514960451E-46
  6    9     1.39717166916820E-20   2.09575750375230E-19
  7    9     1.31443590719793E-20   2.10309745151669E-19
  8    9     9.38383049430743E-08   1.59525118403226E-06
  9    9     2.67177277430999E-08   4.80919099375798E-07
 10    9     1.50457775154132E-08   2.85869772792851E-07
 11    9     5.09230945262549E-12   1.01846189052510E-10
 12    9     2.71269478274694E-13   5.69665904376858E-12
 13    9     3.99727487986904E-15   8.79400473571188E-14
 14    9     8.93394685892632E-19   2.05480777755305E-17
 15    9     1.21451229791321E-19   2.91482951499171E-18
 16    9     8.19730539294120E-21   2.04932634823530E-19
 17    9     2.75196256783865E-23   7.15510267638050E-22
  7   10     2.85028111667187E-12   4.84547789834218E-11
  8   10     9.55010858679056E-08   1.71901954562230E-06
  9   10     1.08782327367497E-07   2.06686421998244E-06
 10   10     1.46362794153102E-06   2.92725588306203E-05
 11   10     4.47740478344471E-08   9.40255004523390E-07
 12   10     1.68755107651472E-07   3.71261236833238E-06
 13   10     1.81291835994340E-12   4.16971222786982E-11
 14   10     4.79011291675140E-14   1.14962710002034E-12
 15   10     1.89200004384901E-15   4.73000010962253E-14
 16   10     1.37131387643327E-15   3.56541607872650E-14
 17   10     5.44267650854308E-20   1.46952265730663E-18
 18   10     5.54112786941902E-23   1.55151580343732E-21
 19   10     1.82074450619371E-26   5.28015906796177E-25
 20   10     1.85875167920848E-28   5.57625503762545E-27
 21   10     1.48809100704450E-33   4.61308212183796E-32
 22   10     1.81318091377326E-36   5.80217892407442E-35
 23   10     3.29024228427330E-38   1.08577995381019E-36
 24   10     5.61834157837724E-43   1.91023613664826E-41
 25   10     1.51557309862867E-88   5.30450584520036E-87
 26   10     3.04160442143333E-91   1.09497759171600E-89
 27   10     8.16323459853574E-89   3.02039680145823E-87
 28   10     1.40432091626367E-96   5.33641948180194E-95
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     2.21399513424000E-15   4.20659075505599E-14
  9   11     1.03521482719962E-08   2.07042965439925E-07
 10   11     1.28709872367061E-07   2.70290731970827E-06
 11   11     2.33994490721972E-07   5.14787879588339E-06
