    time    temp    dens
   1.91422693786640E+00   3.05420778282013E-02   1.13234698017399E-01
     nin     zin       y       x
 25   13     9.62238311225003E-32   3.65650558265501E-30
 26   13     1.08501688329286E-34   4.23156584484215E-33
 27   13     8.71926341597030E-40   3.48770536638812E-38
 28   13     3.88919758739578E-44   1.59457101083227E-42
 29   13     1.29969157273630E-61   5.45870460549246E-60
 30   13     4.93838984263573E-69   2.12350763233336E-67
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     6.95078590093640E-20   1.52917289820601E-18
  9   14     2.41454080038890E-18   5.55344384089447E-17
 10   14     1.52462523708427E-16   3.65910056900225E-15
 11   14     6.09194381579645E-11   1.52298595394911E-09
 12   14     1.56714844997386E-07   4.07458596993204E-06
 13   14     5.53010249604798E-07   1.49312767393296E-05
 14   14     3.90363301414882E-06   1.09301724396167E-04
 15   14     2.43868918690735E-06   7.07219864203130E-05
 16   14     2.50401547556980E-06   7.51204642670941E-05
 17   14     4.97149403445755E-09   1.54116315068184E-07
 18   14     3.86996041564930E-10   1.23838733300778E-08
 19   14     5.21399500469266E-14   1.72061835154858E-12
 20   14     2.71744756924708E-14   9.23932173544008E-13
 21   14     2.35851945477722E-18   8.25481809172026E-17
 22   14     8.57855029830183E-21   3.08827810738866E-19
 23   14     1.99292464544100E-23   7.37382118813171E-22
 24   14     3.84942059969785E-25   1.46277982788518E-23
 25   14     5.63244424784440E-28   2.19665325665931E-26
 26   14     6.10781855702006E-30   2.44312742280803E-28
 27   14     3.04229542159386E-33   1.24734112285348E-31
 28   14     8.55225237876548E-37   3.59194599908150E-35
 29   14     1.65439209285203E-41   7.11388599926371E-40
 30   14     1.23743389399429E-47   5.44470913357488E-46
 31   14     1.12352156561988E-68   5.05584704528946E-67
 32   14     6.25046259386360E-77   2.87521279317725E-75
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.76138018855336E-98
 35   14     1.33288424654472E-98   6.53113280806912E-97
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     2.69464594983743E-23   6.19768568462609E-22
  9   15     1.90379157849014E-22   4.56909978837633E-21
