    time    temp    dens
   1.76292343589392E-01   6.24048884300522E-01   9.02657719824224E+02
     nin     zin       y       x
  1    0     1.13340188154722E-10   1.13340188154722E-10
  0    1     9.13264276650181E-02   9.13264276650181E-02
  1    1     8.62605712218241E-09   1.72521142443648E-08
  2    1     1.54454641695445E-09   4.63363925086336E-09
  1    2     4.38369801832061E-07   1.31510940549618E-06
  2    2     2.21288022127656E-01   8.85152088510625E-01
  4    2     3.82138784179679E-27   2.29283270507808E-26
  3    3     1.33574536333628E-16   8.01447218001771E-16
  4    3     1.87014894409516E-11   1.30910426086661E-10
  5    3     7.08916048050802E-21   5.67132838440642E-20
  6    3     1.86718823633111E-26   1.68046941269800E-25
  3    4     4.75881827602333E-07   3.33117279321633E-06
  5    4     1.27602881105132E-19   1.14842592994619E-18
  6    4     3.26163790196280E-21   3.26163790196280E-20
  7    4     7.05030716248836E-34   7.75533787873720E-33
  8    4     8.13450952055058E-41   9.76141142466070E-40
  3    5     7.88291302664959E-14   6.30633042131967E-13
  5    5     5.17260808614988E-16   5.17260808614988E-15
  6    5     3.82412824458447E-14   4.20654106904292E-13
  7    5     2.33233758965145E-20   2.79880510758174E-19
  8    5     1.00192323638567E-23   1.30250020730137E-22
  9    5     9.35013281281922E-33   1.30901859379469E-31
  3    6     1.50048232235206E-13   1.35043409011686E-12
  4    6     1.10316334651144E-10   1.10316334651144E-09
  5    6     8.39070543409017E-07   9.22977597749919E-06
  6    6     3.60635829138681E-08   4.32762994966417E-07
  7    6     3.95939950807385E-11   5.14721936049601E-10
  8    6     2.20839852158971E-13   3.09175793022560E-12
  9    6     3.07851173643365E-24   4.61776760465048E-23
 10    6     3.01369797030858E-24   4.82191675249373E-23
 11    6     1.20565380923404E-34   2.04961147569787E-33
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     6.63366303127831E-25   7.29702933440614E-24
  5    7     4.34612047245240E-10   5.21534456694288E-09
  6    7     6.15597289630547E-08   8.00276476519711E-07
  7    7     2.70575991832048E-08   3.78806388564867E-07
  8    7     4.42070836630334E-12   6.63106254945501E-11
  9    7     2.90521574788628E-17   4.64834519661805E-16
 10    7     1.52069964279890E-11   2.58518939275812E-10
 11    7     4.06164106386952E-16   7.31095391496514E-15
 12    7     1.23953881744783E-16   2.35512375315088E-15
 13    7     9.81138309239005E-22   1.96227661847801E-20
 14    7     1.80074780939037E-21   3.78157039971977E-20
  5    8     2.44150664571399E-09   3.17395863942819E-08
  6    8     6.22431943803791E-06   8.71404721325308E-05
  7    8     1.62741164782761E-05   2.44111747174141E-04
  8    8     7.03270953864923E-06   1.12523352618388E-04
  9    8     3.35683374075413E-12   5.70661735928203E-11
 10    8     3.36009748706198E-16   6.04817547671156E-15
 11    8     2.11219566206705E-19   4.01317175792739E-18
 12    8     5.34645526807705E-21   1.06929105361541E-19
 13    8     1.43260348140150E-26   3.00846731094315E-25
 14    8     3.86311874820390E-27   8.49886124604859E-26
  5    9     1.31948351457604E-46   1.84727692040645E-45
  6    9     5.23559214781831E-22   7.85338822172746E-21
  7    9     5.50513821847552E-18   8.80822114956083E-17
  8    9     2.73602941329505E-08   4.65125000260159E-07
  9    9     2.20119416489387E-11   3.96214949680897E-10
 10    9     1.43615920233039E-12   2.72870248442773E-11
 11    9     1.89553348186241E-17   3.79106696372481E-16
 12    9     2.86035883645208E-19   6.00675355654938E-18
 13    9     1.08410970669754E-19   2.38504135473460E-18
 14    9     6.85619009303247E-24   1.57692372139747E-22
 15    9     1.28677914161443E-26   3.08826993987464E-25
 16    9     8.12241399704053E-28   2.03060349926013E-26
 17    9     1.04662329863885E-28   2.72122057646100E-27
  7   10     2.72797027449708E-11   4.63754946664503E-10
  8   10     3.19087585981305E-07   5.74357654766349E-06
  9   10     1.05965866907065E-07   2.01335147123424E-06
 10   10     4.10036303328055E-07   8.20072606656109E-06
 11   10     9.30511725859782E-11   1.95407462430554E-09
 12   10     1.18645443115162E-10   2.61019974853357E-09
 13   10     2.54097771283897E-17   5.84424873952964E-16
 14   10     2.41163690581574E-18   5.78792857395777E-17
 15   10     2.38805501953662E-20   5.97013754884155E-19
 16   10     8.85159704943246E-21   2.30141523285244E-19
 17   10     2.11823298784323E-26   5.71922906717673E-25
 18   10     1.28235341200033E-28   3.59058955360093E-27
 19   10     3.12007339004079E-31   9.04821283111830E-30
 20   10     1.76885562693804E-33   5.30656688081411E-32
 21   10     7.29108159591676E-39   2.26023529473419E-37
 22   10     3.09994879483670E-41   9.91983614347745E-40
 23   10     1.29830325452310E-46   4.28440073992623E-45
 24   10     2.98409155320744E-47   1.01459112809053E-45
 25   10     7.58928807424815E-84   2.65625082598685E-82
 26   10     2.67977664210577E-90   9.64719591158077E-89
 27   10     5.56239476099132E-90   2.05808606156679E-88
 28   10     1.23405692225006E-99   4.68941630455022E-98
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     6.70039674535753E-17   1.27307538161793E-15
  9   11     4.88937709130157E-08   9.77875418260313E-07
 10   11     6.58203500289869E-08   1.38222735060872E-06
 11   11     1.56988981447476E-08   3.45375759184448E-07
 12   11     4.63987729340252E-10   1.06717177748258E-08
 13   11     2.87918017406692E-15   6.91003241776060E-14
 14   11     6.56861201861128E-16   1.64215300465282E-14
 15   11     3.70024450533645E-17   9.62063571387476E-16
 16   11     9.66109652561549E-19   2.60849606191618E-17
 17   11     1.14967389332597E-23   3.21908690131271E-22
 18   11     1.33437844566519E-24   3.86969749242905E-23
 19   11     7.32218101161912E-27   2.19665430348574E-25
 20   11     3.39851647454688E-29   1.05354010710953E-27
 21   11     4.75185758171376E-34   1.52059442614840E-32
 22   11     2.95421399074063E-36   9.74890616944408E-35
 23   11     4.30422557531693E-39   1.46343669560775E-37
 24   11     1.29467622188531E-41   4.53136677659857E-40
 25   11     5.91031215397604E-50   2.12771237543137E-48
 26   11     1.83782161440678E-51   6.79993997330509E-50
 27   11     4.16219114363118E-76   1.58163263457985E-74
 28   11     2.55570829185861E-87   9.96726233824857E-86
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     4.14501513301655E-10   8.29003026603310E-09
  9   12     7.91020451791169E-07   1.66114294876145E-05
 10   12     1.82742725694039E-06   4.02033996526885E-05
 11   12     4.02763797970499E-07   9.26356735332147E-06
 12   12     4.52183259606985E-09   1.08523982305676E-07
 13   12     1.82303237800306E-09   4.55758094500766E-08
 14   12     9.69206263293218E-12   2.51993628456237E-10
 15   12     4.74724524156548E-15   1.28175621522268E-13
 16   12     8.09038815401412E-17   2.26530868312395E-15
 17   12     9.86660081481681E-18   2.86131423629687E-16
 18   12     3.87204032152557E-19   1.16161209645767E-17
 19   12     3.88396948510260E-23   1.20403054038180E-21
 20   12     2.01148922325680E-25   6.43676551442176E-24
 21   12     6.92149072755400E-28   2.28409194009282E-26
 22   12     1.00650601228326E-29   3.42212044176308E-28
 23   12     9.69182200647527E-36   3.39213770226634E-34
 24   12     2.04948005580386E-34   7.37812820089388E-33
 25   12     1.43995910963104E-42   5.32784870563484E-41
 26   12     4.29292156649632E-41   1.63131019526860E-39
 27   12     8.90771932541427E-51   3.47401053691156E-49
 28   12     4.64071515049912E-59   1.85628606019965E-57
 29   12     1.25697377428653E-94   5.15359247457477E-93
 30   12     1.00000000000000E-99   3.66349703752352E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     5.79978824151325E-14   1.21795553071778E-12
  9   13     5.82440152594053E-16   1.28136833570692E-14
 10   13     9.71673592428006E-13   2.23484926258441E-11
 11   13     1.88002372674814E-07   4.51205694419555E-06
 12   13     2.36718609503642E-07   5.91796523759106E-06
 13   13     4.97860638816411E-08   1.29443766092267E-06
 14   13     1.30363873666147E-08   3.51982458898596E-07
 15   13     2.25422067765519E-13   6.31181789743454E-12
 16   13     7.86168440789243E-15   2.27988847828880E-13
 17   13     1.51286105813447E-15   4.53858317440341E-14
 18   13     4.00866688120047E-17   1.24268673317215E-15
 19   13     9.08090002535624E-21   2.90588800811400E-19
 20   13     2.57665178474823E-20   8.50295088966916E-19
 21   13     1.63962385326160E-24   5.57472110108943E-23
 22   13     1.27160512902336E-26   4.45061795158176E-25
 23   13     2.57564898929290E-28   9.27233636145445E-27
 24   13     2.49943442225324E-30   9.24790736233699E-29
 25   13     6.04918941307613E-34   2.29869197696893E-32
 26   13     6.26141154209739E-37   2.44195050141798E-35
 27   13     5.69661134361443E-44   2.27864453744577E-42
 28   13     5.75116063446398E-45   2.35797586013023E-43
 29   13     2.74309631705811E-67   1.15210045316441E-65
 30   13     1.43010997466555E-69   6.14947289106188E-68
 31   13     2.59022828917149E-93   1.13970044723546E-91
 32   13     3.40836778586455E-90   1.53376550363905E-88
 33   13     1.56535547064422E-95   7.20063516496342E-94
 34   13     2.91008881428561E-99   1.36774174271424E-97
 35   13     1.54760908534801E-96   7.42852360967045E-95
 36   13     3.59372052101552E-96   1.76092305529761E-94
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     6.85878118461184E-15   1.50893186061460E-13
  9   14     3.46207540657210E-14   7.96277343511584E-13
 10   14     4.02591467361857E-13   9.66219521668458E-12
 11   14     1.47086722822879E-06   3.67716807057196E-05
 12   14     2.55578863175091E-06   6.64505044255237E-05
 13   14     6.46125320670918E-07   1.74453836581148E-05
 14   14     9.48089606961348E-07   2.65465089949177E-05
 15   14     2.15601928218089E-08   6.25245591832458E-07
 16   14     1.18630652781877E-08   3.55891958345632E-07
 17   14     1.45064260137649E-13   4.49699206426711E-12
 18   14     6.85576539280809E-15   2.19384492569859E-13
