    time    temp    dens
   9.72718892931114E-01   6.06562216837516E-02   8.62974063470210E-01
     nin     zin       y       x
  1    0     4.19606952967180E-10   4.19606952967180E-10
  0    1     9.11682321862534E-02   9.11682321862534E-02
  1    1     7.74744841548820E-07   1.54948968309764E-06
  2    1     8.19831229590090E-08   2.45949368877027E-07
  1    2     1.84887252708917E-06   5.54661758126752E-06
  2    2     2.21332340739474E-01   8.85329362957898E-01
  4    2     2.83339143595306E-21   1.70003486157183E-20
  3    3     1.81405788261635E-14   1.08843472956981E-13
  4    3     5.13896899893940E-10   3.59727829925758E-09
  5    3     1.57653858141576E-16   1.26123086513261E-15
  6    3     3.12489369422467E-23   2.81240432480220E-22
  3    4     3.22628622699897E-10   2.25840035889928E-09
  5    4     6.24085999435629E-14   5.61677399492066E-13
  6    4     3.44761884774164E-14   3.44761884774164E-13
  7    4     1.42328082332487E-21   1.56560890565736E-20
  8    4     5.47921228907999E-30   6.57505474689599E-29
  3    5     1.16513698060683E-13   9.32109584485463E-13
  5    5     1.96575729517744E-11   1.96575729517744E-10
  6    5     6.60446165551284E-08   7.26490782106412E-07
  7    5     4.51202644078952E-15   5.41443172894742E-14
  8    5     1.40152826622164E-18   1.82198674608813E-17
  9    5     3.07061307108106E-29   4.29885829951349E-28
  3    6     2.26100522244796E-13   2.03490470020316E-12
  4    6     1.45212701741340E-09   1.45212701741340E-08
  5    6     1.84678297075150E-06   2.03146126782665E-05
  6    6     4.33339457459264E-06   5.20007348951117E-05
  7    6     4.41485582484716E-07   5.73931257230131E-06
  8    6     2.79769192696694E-10   3.91676869775372E-09
  9    6     7.84213646516352E-17   1.17632046977453E-15
 10    6     1.15749832841176E-17   1.85199732545882E-16
 11    6     5.59469911981470E-26   9.51098850368498E-25
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.06362187343339E-29   1.16998406077673E-28
  5    7     1.85839553393544E-16   2.23007464072253E-15
  6    7     1.11093045055524E-06   1.44420958572182E-05
  7    7     4.00182104111296E-07   5.60254945755815E-06
  8    7     7.74783038567537E-07   1.16217455785131E-05
  9    7     1.48387446100455E-12   2.37419913760728E-11
 10    7     2.91770846554666E-11   4.96010439142933E-10
 11    7     1.56427252116093E-13   2.81569053808967E-12
 12    7     4.04796456219512E-14   7.69113266817073E-13
 13    7     6.84893876735396E-18   1.36978775347079E-16
 14    7     1.69345151616392E-19   3.55624818394423E-18
  5    8     2.03481574811525E-19   2.64526047254982E-18
  6    8     5.77345622562558E-06   8.08283871587581E-05
  7    8     6.52970033668808E-06   9.79455050503212E-05
  8    8     6.87746725064763E-06   1.10039476010362E-04
  9    8     6.53624634951479E-08   1.11116187941751E-06
 10    8     4.97051449377718E-09   8.94692608879892E-08
 11    8     1.41334295122619E-13   2.68535160732977E-12
 12    8     2.06802993916992E-14   4.13605987833983E-13
 13    8     5.28379655186765E-18   1.10959727589221E-16
 14    8     3.22285474879036E-19   7.09028044733879E-18
  5    9     5.24658465240236E-48   7.34521851336330E-47
  6    9     6.29740253215031E-18   9.44610379822547E-17
  7    9     2.63638793249862E-18   4.21822069199779E-17
  8    9     6.70366525780343E-08   1.13962309382658E-06
  9    9     4.29278744228109E-08   7.72701739610595E-07
 10    9     2.46030933083128E-08   4.67458772857943E-07
 11    9     9.96382486658088E-12   1.99276497331618E-10
 12    9     5.25601553215097E-13   1.10376326175170E-11
 13    9     5.93854582899372E-15   1.30648008237862E-13
 14    9     1.40517882502067E-18   3.23191129754755E-17
 15    9     1.20923240106523E-19   2.90215776255655E-18
 16    9     1.37757849968768E-21   3.44394624921920E-20
 17    9     2.27102514167804E-24   5.90466536836292E-23
  7   10     6.01793188857404E-14   1.02304842105759E-12
  8   10     6.29774554310744E-08   1.13359419775934E-06
  9   10     9.90537499946581E-08   1.88202124989850E-06
 10   10     1.48757098026502E-06   2.97514196053003E-05
 11   10     6.43481624421657E-08   1.35131141128548E-06
 12   10     2.32236646140797E-07   5.10920621509753E-06
 13   10     3.19382896759124E-12   7.34580662545986E-11
 14   10     7.71839018943239E-14   1.85241364546377E-12
 15   10     1.95785324320337E-15   4.89463310800842E-14
 16   10     4.88399868400461E-16   1.26983965784120E-14
 17   10     8.95820175807276E-21   2.41871447467965E-19
 18   10     7.23693658222694E-24   2.02634224302354E-22
 19   10     1.45477654782299E-27   4.21885198868667E-26
 20   10     1.57962250493447E-29   4.73886751480342E-28
 21   10     1.07022026529895E-34   3.31768282242676E-33
 22   10     8.67400420469890E-38   2.77568134550365E-36
 23   10     2.25150395507873E-40   7.42996305175982E-39
 24   10     6.85363713893025E-45   2.33023662723628E-43
 25   10     4.01707947767660E-93   1.40597781718681E-91
 26   10     6.81712641908368E-92   2.45416551087012E-90
 27   10     1.72729396893924E-91   6.39098768507520E-90
 28   10     1.00000000000000E-99   8.60609970287886E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     9.89332540504094E-15   1.87973182695778E-13
  9   11     3.13421857342517E-09   6.26843714685035E-08
 10   11     1.29040805216395E-07   2.70985690954429E-06
 11   11     2.48179010736366E-07   5.45993823620005E-06
 12   11     3.27493704537598E-07   7.53235520436476E-06
 13   11     2.58016132023627E-10   6.19238716856706E-09
 14   11     1.11135445382144E-11   2.77838613455360E-10
 15   11     4.55612560815857E-13   1.18459265812123E-11
 16   11     3.88224710080739E-14   1.04820671721800E-12
 17   11     8.46986934029785E-18   2.37156341528340E-16
 18   11     1.26296733374533E-20   3.66260526786147E-19
 19   11     2.08360654062398E-23   6.25081962187193E-22
