    time    temp    dens
   1.22186784091777E-01   2.80451365696389E+00   8.18417905312488E+04
     nin     zin       y       x
  1    0     5.28366001793789E-11   5.28366001793789E-11
  0    1     9.62116770010774E-02   9.62116770010774E-02
  1    1     2.13537334041613E-13   4.27074668083227E-13
  2    1     4.24763608874223E-14   1.27429082662267E-13
  1    2     1.14612751742336E-07   3.43838255227008E-07
  2    2     2.21874284770579E-01   8.87497139082316E-01
  4    2     1.09103104282278E-30   6.54618625693666E-30
  3    3     1.67782181934894E-14   1.00669309160936E-13
  4    3     3.62980959611993E-17   2.54086671728395E-16
  5    3     3.68862823021003E-30   2.95090258416803E-29
  6    3     2.49020202242377E-39   2.24118182018139E-38
  3    4     2.78452244690476E-11   1.94916571283333E-10
  5    4     1.42624749608290E-18   1.28362274647461E-17
  6    4     1.70969817341587E-22   1.70969817341587E-21
  7    4     2.50331552931244E-37   2.75364708224368E-36
  8    4     1.54365905386637E-48   1.85239086463964E-47
  3    5     6.37940547924833E-18   5.10352438339867E-17
  5    5     3.79499611755241E-13   3.79499611755241E-12
  6    5     2.21446465901707E-21   2.43591112491878E-20
  7    5     1.90095491644851E-25   2.28114589973822E-24
  8    5     2.15467311152759E-31   2.80107504498587E-30
  9    5     7.75110445714218E-46   1.08515462399991E-44
  3    6     1.10631153433063E-22   9.95680380897568E-22
  4    6     9.13279577149866E-14   9.13279577149866E-13
  5    6     1.94725590125485E-13   2.14198149138034E-12
  6    6     2.86262908653503E-09   3.43515490384204E-08
  7    6     9.83293473247940E-13   1.27828151522232E-11
  8    6     1.97168635084738E-19   2.76036089118633E-18
  9    6     3.31355131659499E-30   4.97032697489248E-29
 10    6     2.27370514867806E-33   3.63792823788490E-32
 11    6     9.74287051165611E-48   1.65628798698154E-46
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.40443468067489E-24   1.54487814874238E-23
  5    7     1.70159188339007E-19   2.04191026006809E-18
  6    7     1.64398741965984E-12   2.13718364555779E-11
  7    7     6.32709967851267E-11   8.85793954991774E-10
  8    7     9.66698259130643E-18   1.45004738869596E-16
  9    7     4.59209128773069E-23   7.34734606036910E-22
 10    7     1.53143794118660E-18   2.60344450001722E-17
 11    7     2.90671285839138E-23   5.23208314510448E-22
 12    7     1.01947993346916E-19   1.93701187359141E-18
 13    7     3.26295133647591E-32   6.52590267295182E-31
 14    7     2.55950549862123E-21   5.37496154710458E-20
  5    8     1.15649931846483E-23   1.50344911400428E-22
  6    8     1.24224929753983E-11   1.73914901655576E-10
  7    8     1.42294308684666E-09   2.13441463026999E-08
  8    8     3.43399823593062E-07   5.49439717748899E-06
  9    8     7.85281802404397E-13   1.33497906408748E-11
 10    8     5.36532959555932E-22   9.65759327200677E-21
 11    8     3.92508504444594E-26   7.45766158444729E-25
 12    8     2.95752974271307E-22   5.91505948542614E-21
 13    8     2.54682270892164E-32   5.34832768873544E-31
 14    8     1.19462939139227E-35   2.62818466106299E-34
  5    9     8.26575033945352E-41   1.15720504752349E-39
