    time    temp    dens
   7.86436642328121E-01   7.52343239094522E-02   1.63293378978690E+00
     nin     zin       y       x
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     8.90054163035107E-13   1.78010832607021E-11
  9   12     2.00185486500872E-09   4.20389521651832E-08
 10   12     2.78403857783883E-07   6.12488487124542E-06
 11   12     9.35513584778359E-08   2.15168124499023E-06
 12   12     3.78032280267439E-07   9.07277472641855E-06
 13   12     9.26070411882199E-07   2.31517602970550E-05
 14   12     9.39840060336818E-07   2.44358415687573E-05
 15   12     1.81356390261151E-11   4.89662253705109E-10
 16   12     1.22485205366408E-12   3.42958575025941E-11
 17   12     2.20255137012651E-14   6.38739897336687E-13
 18   12     4.91513229174073E-15   1.47453968752222E-13
 19   12     4.76504509866143E-19   1.47716398058504E-17
 20   12     5.83918410784581E-21   1.86853891451066E-19
 21   12     1.20226131682362E-24   3.96746234551795E-23
 22   12     2.84088647290901E-27   9.65901400789065E-26
 23   12     1.60641389846092E-28   5.62244864461321E-27
 24   12     1.76327566720333E-32   6.34779240193198E-31
 25   12     1.79078002983080E-37   6.62588611037396E-36
 26   12     2.24589694847168E-37   8.53440840419238E-36
 27   12     7.59627509302847E-45   2.96254728628110E-43
 28   12     2.96549198078682E-52   1.18619679231473E-50
 29   12     1.49196821386339E-89   6.11706967683988E-88
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.08597275700947E-17   2.28054278971989E-16
  9   13     2.80295161020455E-15   6.16649354245002E-14
 10   13     8.47897169864707E-13   1.95016349068883E-11
 11   13     2.10139250116341E-08   5.04334200279218E-07
 12   13     4.77337346068773E-07   1.19334336517193E-05
 13   13     7.60680523939741E-16   1.97776936224333E-14
 14   13     1.09353516281467E-06   2.95254493959961E-05
 15   13     1.68921516354555E-09   4.72980245792755E-08
 16   13     8.43423951631425E-11   2.44592945973113E-09
 17   13     2.22498715641692E-12   6.67496146925076E-11
 18   13     1.96503394773067E-13   6.09160523796507E-12
 19   13     3.08561870451756E-18   9.87397985445620E-17
 20   13     5.51834884603519E-18   1.82105511919161E-16
 21   13     2.45598501263226E-21   8.35034904294968E-20
 22   13     2.41123030754743E-24   8.43930607641599E-23
 23   13     1.71437836275138E-25   6.17176210590498E-24
 24   13     8.14229520998514E-29   3.01264922769450E-27
 25   13     7.07695580482777E-32   2.68924320583455E-30
 26   13     1.59474648453581E-34   6.21951128968967E-33
 27   13     3.85611590771690E-41   1.54244636308676E-39
 28   13     1.00233214971907E-42   4.10956181384818E-41
 29   13     3.60131227706102E-59   1.51255115636563E-57
 30   13     5.02268648933616E-67   2.15975519041455E-65
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.20781062862229E-98   5.43514782880030E-97
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.96956617414095E-99   9.45391763587655E-98
 36   13     1.00000000000000E-99   1.31613604218845E-98
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.28434520589692E-18   2.82555945297322E-17
  9   14     3.75180118370758E-17   8.62914272252745E-16
 10   14     4.30466544700447E-15   1.03311970728107E-13
 11   14     8.81741944716382E-09   2.20435486179095E-07
 12   14     2.31426520028100E-07   6.01708952073060E-06
 13   14     6.67501158894551E-07   1.80225312901529E-05
 14   14     3.85566785398512E-06   1.07958699911583E-04
 15   14     2.18118303021607E-06   6.32543078762661E-05
 16   14     2.42638998145521E-06   7.27916994436564E-05
 17   14     3.69295659324783E-09   1.14481654390683E-07
 18   14     1.96989158920206E-11   6.30365308544660E-10
 19   14     4.88802589773489E-14   1.61304854625251E-12
 20   14     3.06338609634811E-14   1.04155127275836E-12
 21   14     5.01926792265996E-18   1.75674377293099E-16
 22   14     3.40677766977776E-20   1.22643996111999E-18
 23   14     2.72675863154270E-22   1.00890069367080E-20
 24   14     6.07067206939466E-24   2.30685538636997E-22
 25   14     3.31381501879640E-27   1.29238785733060E-25
 26   14     4.97445577671109E-29   1.98978231068443E-27
 27   14     2.54655960354756E-32   1.04408943745450E-30
 28   14     6.79205472329535E-36   2.85266298378404E-34
 29   14     2.29868528985720E-40   9.88434674638595E-39
 30   14     1.78408945750821E-45   7.84999361303614E-44
 31   14     1.74816541755088E-65   7.86674437897895E-64
 32   14     1.71858395831456E-72   7.90548620824697E-71
 33   14     1.10611278117604E-95   5.19873007152741E-94
 34   14     2.91355206161699E-94   1.39850498957615E-92
 35   14     1.05083653678050E-92   5.14909903022443E-91
 36   14     3.87447258882153E-96   1.93723629441077E-94
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     3.34634584126730E-21   7.69659543491480E-20
  9   15     2.36386104359717E-20   5.67326650463322E-19
 10   15     2.84851954274819E-22   7.12129885687048E-21
 11   15     3.06789299691473E-16   7.97652179197829E-15
 12   15     3.11091273827367E-08   8.39946439333890E-07
 13   15     3.31408517699203E-08   9.27943849557768E-07
 14   15     1.25795848202584E-06   3.64807959787494E-05
 15   15     1.34107328173231E-06   4.02321984519694E-05
 16   15     2.69469929615759E-06   8.35356781808854E-05
 17   15     2.26362651558201E-09   7.24360484986243E-08
 18   15     4.45506566589401E-10   1.47017166974502E-08
 19   15     3.45200154988949E-12   1.17368052696243E-10
 20   15     1.12643211930252E-12   3.94251241755883E-11
 21   15     6.06504053158634E-16   2.18341459137108E-14
 22   15     3.69414023976524E-17   1.36683188871314E-15
 23   15     2.45511748635734E-19   9.32944644815791E-18
 24   15     3.36901025417015E-21   1.31391399912636E-19
 25   15     2.09579225556213E-23   8.38316902224850E-22
 26   15     9.63328600401029E-26   3.94964726164422E-24
 27   15     5.81853598145146E-29   2.44378511220961E-27
 28   15     9.09524372373305E-32   3.91095480120521E-30
 29   15     2.23809029338645E-36   9.84759729090037E-35
 30   15     7.25953641587589E-38   3.26679138714415E-36
 31   15     5.69167895713869E-42   2.61817232028380E-40
 32   15     7.12206761946936E-48   3.34737178115060E-46
 33   15     6.20251562369431E-76   2.97720749937327E-74
 34   15     9.26871476782748E-88   4.54167023623546E-86
 35   15     3.03605433989897E-82   1.51802716994949E-80
 36   15     3.75016989416725E-87   1.91258664602530E-85
 37   15     5.78995782016499E-88   3.01077806648580E-86
 38   15     6.65266083401541E-81   3.52591024202817E-79
 39   15     8.02271901231274E-79   4.33226826664888E-77
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     2.45680959843128E-29   5.89634303623507E-28
  9   16     1.28814936968943E-23   3.22037342422358E-22
 10   16     4.12368867397951E-20   1.07215905523467E-18
 11   16     1.00610432078771E-18   2.71648166612681E-17
 12   16     8.52659605817155E-14   2.38744689628804E-12
 13   16     7.07486411397779E-09   2.05171059305356E-07
 14   16     2.56587950057771E-07   7.69763850173314E-06
 15   16     6.67892646178719E-07   2.07046720315403E-05
 16   16     3.05377441912403E-06   9.77207814119688E-05
 17   16     2.22272052497892E-06   7.33497773243043E-05
 18   16     2.44864205156415E-06   8.32538297531811E-05
 19   16     1.83883801780503E-09   6.43593306231761E-08
 20   16     5.69495032776223E-10   2.05018211799440E-08
 21   16     1.54865105769549E-13   5.73000891347331E-12
 22   16     4.45489426541058E-14   1.69285982085602E-12
 23   16     4.81546935488986E-15   1.87803304840705E-13
 24   16     1.65040094785001E-16   6.60160379140004E-15
 25   16     2.76197655193215E-19   1.13241038629218E-17
 26   16     6.68745039738093E-20   2.80872916689999E-18
 27   16     1.51222915006147E-24   6.50258534526434E-23
 28   16     1.41982214709606E-24   6.24721744722265E-23
 29   16     1.25188991522778E-29   5.63350461852500E-28
 30   16     3.08324584968275E-33   1.41829309085407E-31
 31   16     1.85493597863413E-38   8.71819909958039E-37
 32   16     6.90277675101112E-41   3.31333284048534E-39
 33   16     5.55997564564576E-52   2.72438806636642E-50
 34   16     2.17657592169149E-60   1.08828796084574E-58
 35   16     2.82953616246954E-80   1.44306344285946E-78
 36   16     2.28702170072812E-78   1.18925128437862E-76
 37   16     1.79095401003576E-78   9.49205625318954E-77
 38   16     1.70738220816398E-86   9.21986392408550E-85
 39   16     2.67667802338917E-77   1.47217291286404E-75
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
  9   17     4.28395429988796E-37   1.11382811797087E-35
 10   17     4.43016795441882E-31   1.19614534769308E-29
 11   17     4.33375375591348E-25   1.21345105165578E-23
 12   17     8.93347901932505E-23   2.59070891560426E-21
 13   17     4.37533870288866E-21   1.31260161086660E-19
 14   17     5.83439955016442E-12   1.80866386055097E-10
 15   17     3.40775571067969E-08   1.09048182741750E-06
 16   17     5.83245733421944E-07   1.92471092029242E-05
 17   17     1.07969026815591E-06   3.67094691173009E-05
 18   17     3.27314941321170E-06   1.14560229462410E-04
 19   17     1.95137015496246E-08   7.02493255786487E-07
 20   17     2.08700082121416E-07   7.72190303849240E-06
 21   17     2.18080405763920E-10   8.28705541902895E-09
 22   17     2.34083321922825E-12   9.12924955499018E-11
 23   17     4.00570701978410E-13   1.60228280791364E-11
 24   17     4.56443459632526E-14   1.87141818449335E-12
 25   17     3.07842087557478E-16   1.29293676774141E-14
 26   17     4.12129408548919E-18   1.77215645676035E-16
 27   17     8.03721490794917E-21   3.53637455949763E-19
 28   17     2.94763474736313E-22   1.32643563631341E-20
 29   17     3.19007397919233E-26   1.46743403042847E-24
 30   17     3.29234549437281E-29   1.54740238235522E-27
