    time    temp    dens
   2.14712411085758E-01   5.24867905777577E+00   1.95853735012578E+06
     nin     zin       y       x
  1    0     5.60880418190512E-06   5.60880418190512E-06
  0    1     2.95738678061585E-02   2.95738678061585E-02
  1    1     7.94324925891668E-10   1.58864985178334E-09
  2    1     4.54039098044842E-14   1.36211729413453E-13
  1    2     4.42578514489067E-11   1.32773554346720E-10
  2    2     9.14157388730806E-02   3.65662955492322E-01
  4    2     3.10623594670601E-21   1.86374156802361E-20
  3    3     2.00172205805040E-14   1.20103323483024E-13
  4    3     1.68976628900979E-17   1.18283640230686E-16
  5    3     1.12089673592475E-25   8.96717388739801E-25
  6    3     1.00000000000000E-99   1.00000000000000E-99
  3    4     1.70754295361606E-15   1.19528006753124E-14
  5    4     3.04043357989409E-16   2.73639022190468E-15
  6    4     1.44752195600292E-20   1.44752195600292E-19
  7    4     1.00000000000000E-99   1.00000000000000E-99
  8    4     1.00000000000000E-99   1.00000000000000E-99
  3    5     8.63723397726810E-22   6.90978718181448E-21
  5    5     1.57044461853703E-16   1.57044461853703E-15
  6    5     1.08413150208221E-15   1.19254465229043E-14
  7    5     1.48565832136345E-23   1.78278998563614E-22
  8    5     1.00000000000000E-99   1.00000000000000E-99
  9    5     1.00000000000000E-99   1.00000000000000E-99
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.09445595395680E-17   1.09445595395680E-16
  5    6     5.28779530929636E-16   5.81657484022599E-15
  6    6     1.05279910203246E-08   1.26335892243895E-07
  7    6     3.94366127348168E-14   5.12675965552619E-13
  8    6     3.22714806555076E-16   4.51800729177107E-15
  9    6     8.95428094504148E-25   1.34314214175622E-23
 10    6     1.00000000000000E-99   1.00000000000000E-99
 11    6     1.00000000000000E-99   1.00000000000000E-99
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     4.37073609555142E-25   4.80780970510657E-24
  5    7     4.20839355292321E-22   5.05007226350785E-21
  6    7     4.21567519407841E-13   5.48037775230194E-12
  7    7     2.02569495398548E-13   2.83597293557967E-12
  8    7     3.89712579632385E-13   5.84568869448577E-12
  9    7     8.36736214696732E-21   1.33877794351477E-19
 10    7     1.00000000000000E-99   1.00000000000000E-99
 11    7     1.00000000000000E-99   1.00000000000000E-99
 12    7     1.00000000000000E-99   1.00000000000000E-99
 13    7     1.00000000000000E-99   1.00000000000000E-99
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.60924652727039E-15   2.25294513817855E-14
  7    8     6.29812539508641E-13   9.44718809262962E-12
  8    8     1.36189412982517E-08   2.17903060772026E-07
  9    8     3.38180909444920E-14   5.74907546056364E-13
 10    8     4.53066067232925E-17   8.15518921019265E-16
 11    8     4.17600919810810E-23   7.93441747640538E-22
 12    8     1.00000000000000E-99   1.00000000000000E-99
 13    8     1.00000000000000E-99   1.00000000000000E-99
 14    8     1.00000000000000E-99   1.00000000000000E-99
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     5.29168674287880E-23   7.93753011431821E-22
  7    9     2.31973974924644E-19   3.71158359879431E-18
  8    9     9.95347812349173E-14   1.69209128099359E-12
  9    9     3.98406783361923E-15   7.17132210051462E-14
 10    9     2.40501781126379E-15   4.56953384140120E-14
 11    9     1.90646182656561E-19   3.81292365313122E-18
 12    9     2.20835676921860E-22   4.63754921535905E-21
 13    9     1.00000000000000E-99   1.00000000000000E-99
 14    9     1.00000000000000E-99   1.00000000000000E-99
 15    9     1.00000000000000E-99   1.00000000000000E-99
 16    9     1.00000000000000E-99   1.00000000000000E-99
 17    9     1.00000000000000E-99   1.00000000000000E-99
  7   10     1.13397285356931E-25   1.92775385106783E-24
  8   10     1.57381002167521E-17   2.83285803901537E-16
  9   10     3.96176996379707E-16   7.52736293121444E-15
 10   10     6.27969905388099E-11   1.25593981077620E-09
 11   10     2.85920221594378E-14   6.00432465348194E-13
