    time    temp    dens
   1.35007702864244E-01   1.66610466988379E+00   1.71549838313169E+04
     nin     zin       y       x
  1    0     1.29126280059528E-10   1.29126280059528E-10
  0    1     3.15105619487785E-01   3.15105619487785E-01
  1    1     3.40514424976918E-10   6.81028849953837E-10
  2    1     2.95186531428784E-13   8.85559594286352E-13
  1    2     4.83336296700390E-07   1.45000889010117E-06
  2    2     1.68427551538335E-01   6.73710206153340E-01
  4    2     1.59055145233513E-30   9.54330871401077E-30
  3    3     5.95465159189467E-18   3.57279095513680E-17
  4    3     3.01014887410186E-15   2.10710421187130E-14
  5    3     1.20130381863821E-25   9.61043054910566E-25
  6    3     5.03813078337083E-32   4.53431770503375E-31
  3    4     3.56090137188118E-09   2.49263096031682E-08
  5    4     5.67826281624468E-20   5.11043653462021E-19
  6    4     2.38981032828763E-24   2.38981032828763E-23
  7    4     1.61383239037639E-38   1.77521562941403E-37
  8    4     8.21107081039786E-46   9.85328497247743E-45
  3    5     1.80229261116169E-15   1.44183408892935E-14
  5    5     4.87876756340024E-13   4.87876756340024E-12
  6    5     1.78151744509527E-19   1.95966918960480E-18
  7    5     1.62348259628999E-23   1.94817911554798E-22
  8    5     1.00414361789367E-29   1.30538670326177E-28
  9    5     6.26255527910015E-43   8.76757739074020E-42
  3    6     1.83230194888382E-18   1.64907175399543E-17
  4    6     5.60519697754554E-14   5.60519697754554E-13
  5    6     2.22924454105333E-10   2.45216899515867E-09
  6    6     5.55405088301132E-11   6.66486105961358E-10
  7    6     3.41930470667362E-13   4.44509611867570E-12
  8    6     2.56164779235132E-17   3.58630690929185E-16
  9    6     9.74658425527690E-30   1.46198763829154E-28
 10    6     2.77822908558623E-29   4.44516653693796E-28
 11    6     1.06516981902387E-42   1.81078869234057E-41
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.21472728604873E-23   1.33620001465360E-22
  5    7     1.60506920381721E-15   1.92608304458065E-14
  6    7     5.89956613754827E-12   7.66943597881275E-11
  7    7     2.41526492534890E-09   3.38137089548846E-08
  8    7     3.40907144661400E-15   5.11360716992100E-14
  9    7     3.13952443118753E-22   5.02323908990005E-21
 10    7     1.10999663824890E-15   1.88699428502312E-14
 11    7     1.83587962476629E-20   3.30458332457932E-19
 12    7     1.14499512853254E-19   2.17549074421183E-18
 13    7     6.16217572617573E-30   1.23243514523515E-28
 14    7     1.66962857412452E-23   3.50622000566149E-22
  5    8     1.18913980715480E-17   1.54588174930124E-16
  6    8     1.34417685931859E-09   1.88184760304602E-08
  7    8     6.90307881508617E-07   1.03546182226293E-05
  8    8     4.80497810001368E-07   7.68796496002188E-06
  9    8     2.46721817929533E-13   4.19427090480207E-12
 10    8     6.10962035015408E-22   1.09973166302773E-20
 11    8     2.54239534409706E-24   4.83055115378441E-23
 12    8     1.81409968810921E-21   3.62819937621842E-20
 13    8     2.32064900247684E-33   4.87336290520135E-32
 14    8     1.81131339574572E-35   3.98488947064059E-34
  5    9     4.97989529054118E-50   6.97185340675766E-49
  6    9     2.09952957157432E-20   3.14929435736148E-19
  7    9     1.13883532614817E-14   1.82213652183708E-13
  8    9     3.23783796511245E-11   5.50432454069117E-10
  9    9     2.23445379640131E-14   4.02201683352237E-13
 10    9     1.15191228205081E-15   2.18863333589654E-14
 11    9     2.28399806551874E-21   4.56799613103749E-20
 12    9     2.13466466671944E-23   4.48279580011083E-22
 13    9     3.15433657826174E-25   6.93954047217582E-24
 14    9     1.96087293942978E-31   4.51000776068849E-30
 15    9     2.55521806138458E-34   6.13252334732298E-33
 16    9     2.33238243225900E-37   5.83095608064751E-36
 17    9     9.54937628835823E-40   2.48283783497314E-38
  7   10     1.93550065833562E-16   3.29035111917056E-15
  8   10     2.18974797093514E-10   3.94154634768324E-09
  9   10     1.00797737802522E-08   1.91515701824792E-07
 10   10     1.20307184184447E-09   2.40614368368893E-08
 11   10     1.53080310118385E-14   3.21468651248607E-13
 12   10     1.85836736268522E-15   4.08840819790748E-14
 13   10     3.37050583824036E-23   7.75216342795282E-22
 14   10     2.56686025844311E-23   6.16046462026347E-22
 15   10     3.64669130933600E-27   9.11672827334000E-26
 16   10     4.24857422290133E-29   1.10462929795435E-27
 17   10     3.05357934272518E-35   8.24466422535799E-34
 18   10     4.07040271211964E-39   1.13971275939350E-37
 19   10     4.60434540626237E-43   1.33526016781609E-41
 20   10     1.51087232588510E-46   4.53261697765530E-45
 21   10     9.98940519978564E-52   3.09671561193355E-50
 22   10     1.06035513891230E-53   3.39313644451935E-52
 23   10     1.64457581196648E-58   5.42710017948940E-57
 24   10     4.20366083140316E-64   1.42924468267707E-62
 25   10     2.01359346958505E-89   7.04757714354768E-88
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     3.24053466090581E-16   6.15701585572105E-15
  9   11     2.04812849085186E-09   4.09625698170372E-08
 10   11     4.56917034842486E-10   9.59525773169220E-09
 11   11     1.27580489509446E-10   2.80677076920782E-09
 12   11     6.75436611328532E-14   1.55350420605562E-12
 13   11     7.38282947897684E-21   1.77187907495444E-19
 14   11     3.21006284797869E-21   8.02515711994673E-20
 15   11     3.13917553729776E-23   8.16185639697419E-22
 16   11     4.48417997639251E-26   1.21072859362598E-24
 17   11     1.40765230610646E-32   3.94142645709808E-31
 18   11     2.54208190047824E-35   7.37203751138690E-34
 19   11     5.04772979332818E-38   1.51431893799845E-36
 20   11     1.03307526246333E-39   3.20253331363631E-38
 21   11     3.38330348277770E-47   1.08265711448886E-45
 22   11     2.17283612611449E-50   7.17035921617783E-49
 23   11     3.64369458202478E-54   1.23885615788842E-52
 24   11     2.97903201449143E-57   1.04266120507200E-55
 25   11     7.86905737308130E-64   2.83286065430927E-62
 26   11     2.09249519183240E-71   7.74223220977987E-70
 27   11     1.85529541689274E-90   7.05012258419240E-89
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00281124822470E-13   2.00562249644939E-12
  9   12     2.18735973432903E-07   4.59345544209096E-06
 10   12     1.08871874175640E-07   2.39518123186408E-06
 11   12     3.47508459399970E-08   7.99269456619931E-07
 12   12     4.88750888895955E-10   1.17300213335029E-08
 13   12     3.67050478105393E-13   9.17626195263482E-12
 14   12     4.81204042080198E-16   1.25113050940852E-14
 15   12     1.14014729763203E-19   3.07839770360648E-18
 16   12     1.18763233798361E-23   3.32537054635411E-22
 17   12     2.75116666047019E-26   7.97838331536354E-25
 18   12     4.78755878577291E-29   1.43626763573187E-27
 19   12     3.64112339768075E-33   1.12874825328103E-31
 20   12     3.01796417321341E-34   9.65748535428291E-33
 21   12     3.51293938097472E-39   1.15926999572166E-37
