    time    temp    dens
   1.07147905557102E-01   6.02872693590633E+00   8.24141512461391E+05
     nin     zin       y       x
  1    0     7.44443625486653E-04   7.44443625486653E-04
  0    1     3.48046415490615E-01   3.48046415490615E-01
  1    1     2.24449712602104E-07   4.48899425204208E-07
  2    1     9.75553956977843E-11   2.92666187093353E-10
  1    2     1.04902411554263E-08   3.14707234662790E-08
  2    2     1.62802125102638E-01   6.51208500410552E-01
  4    2     8.61546871136400E-18   5.16928122681840E-17
  3    3     2.27336322130041E-12   1.36401793278025E-11
  4    3     9.78010759339593E-15   6.84607531537715E-14
  5    3     8.80776523125154E-22   7.04621218500123E-21
  6    3     3.42128545003611E-27   3.07915690503250E-26
  3    4     1.72674879198236E-13   1.20872415438765E-12
  5    4     1.04904826259573E-14   9.44143436336160E-14
  6    4     2.70072915046861E-18   2.70072915046861E-17
  7    4     4.72520809973714E-26   5.19772890971086E-25
  8    4     1.18222682123145E-32   1.41867218547774E-31
  3    5     3.36365627576933E-19   2.69092502061546E-18
  5    5     6.40023844648859E-15   6.40023844648859E-14
  6    5     2.39125022688822E-15   2.63037524957704E-14
  7    5     2.14809737342580E-21   2.57771684811096E-20
  8    5     8.12992545664256E-26   1.05689030936353E-24
  9    5     1.54107305349212E-33   2.15750227488897E-32
  3    6     3.83155092795739E-24   3.44839583516165E-23
  4    6     8.32798834785954E-15   8.32798834785954E-14
  5    6     3.55233559004041E-14   3.90756914904445E-13
  6    6     1.05150950477228E-08   1.26181140572673E-07
  7    6     6.67971944040775E-13   8.68363527253007E-12
  8    6     3.37881235032553E-15   4.73033729045574E-14
  9    6     2.14026647744595E-22   3.21039971616893E-21
 10    6     3.76662262213277E-28   6.02659619541243E-27
 11    6     1.42728489548741E-35   2.42638432232860E-34
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.79445322926569E-23   1.97389855219226E-22
  5    7     9.45173555817436E-20   1.13420826698092E-18
  6    7     9.82860586403901E-13   1.27771876232507E-11
  7    7     1.79164919972094E-12   2.50830887960931E-11
  8    7     2.43415107026901E-13   3.65122660540352E-12
  9    7     1.66272340169060E-19   2.66035744270496E-18
 10    7     1.21259568884578E-23   2.06141267103783E-22
 11    7     4.48926971309709E-28   8.08068548357475E-27
 12    7     6.99669056705889E-27   1.32937120774119E-25
 13    7     7.67350020282093E-33   1.53470004056419E-31
 14    7     6.49667781352969E-24   1.36430234084124E-22
  5    8     2.59325267849413E-24   3.37122848204237E-23
  6    8     4.00473614517296E-15   5.60663060324215E-14
  7    8     1.31792434170640E-13   1.97688651255961E-12
  8    8     1.74361651482979E-09   2.78978642372767E-08
  9    8     6.84435430526046E-14   1.16354023189428E-12
 10    8     1.84574060671347E-17   3.32233309208424E-16
 11    8     4.93227313936935E-22   9.37131896480177E-21
 12    8     3.11999195128494E-25   6.23998390256988E-24
 13    8     2.12227940521114E-30   4.45678675094339E-29
 14    8     2.13310408721019E-34   4.69282899186242E-33
  5    9     1.16671885198996E-33   1.63340639278594E-32
  6    9     7.73023314940584E-22   1.15953497241088E-20
  7    9     2.52227989025632E-19   4.03564782441012E-18
  8    9     4.36727106801210E-14   7.42436081562057E-13
  9    9     5.75064288616311E-16   1.03511571950936E-14
 10    9     5.24238219097412E-16   9.96052616285083E-15
 11    9     3.86254985789699E-19   7.72509971579397E-18
 12    9     1.11094700809569E-21   2.33298871700094E-20
 13    9     3.13798796087647E-26   6.90357351392824E-25
 14    9     4.17102198488521E-29   9.59335056523598E-28
 15    9     8.47115643128357E-35   2.03307754350806E-33
 16    9     5.72419285594773E-35   1.43104821398693E-33
 17    9     2.54958604964036E-39   6.62892372906493E-38
  7   10     1.26981958225229E-24   2.15869328982890E-23
  8   10     1.28602755735826E-17   2.31484960324486E-16
  9   10     1.31648795174022E-16   2.50132710830642E-15
 10   10     4.26241364113225E-12   8.52482728226451E-11
 11   10     8.33173558184207E-15   1.74966447218683E-13
 12   10     8.42422285255196E-16   1.85332902756143E-14
 13   10     7.00525672651676E-20   1.61120904709885E-18
 14   10     2.34968469185762E-22   5.63924326045829E-21
 15   10     2.10585263699303E-27   5.26463159248258E-26
 16   10     2.38033417715055E-30   6.18886886059142E-29
 17   10     2.87764729045378E-34   7.76964768422520E-33
 18   10     1.17347069784406E-36   3.28571795396336E-35
 19   10     4.22114718764143E-42   1.22413268441601E-40
 20   10     3.14479878311147E-47   9.43439634933440E-46
 21   10     4.70717624691026E-54   1.45922463654218E-52
 22   10     3.09459490933826E-59   9.90270370988242E-58
 23   10     9.25482656914323E-64   3.05409276781726E-62
 24   10     7.90690467723649E-70   2.68834759026041E-68
 25   10     5.79194381150389E-81   2.02718033402636E-79
 26   10     5.90258329220638E-91   2.12492998519430E-89
 27   10     1.00000000000000E-99   2.37670287901208E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     3.16785298652434E-23   6.01892067439625E-22
  9   11     7.25765623843553E-21   1.45153124768711E-19
 10   11     2.13210412147716E-15   4.47741865510204E-14
 11   11     2.62922646784477E-15   5.78429822925850E-14
 12   11     3.27732482864756E-14   7.53784710588939E-13
 13   11     3.47435422164525E-17   8.33845013194860E-16
 14   11     8.48746161984887E-19   2.12186540496222E-17
 15   11     5.89046134957493E-23   1.53151995088948E-21
 16   11     9.78123534868621E-27   2.64093354414528E-25
 17   11     1.13189352867115E-31   3.16930188027922E-30
 18   11     1.98306874812615E-33   5.75089936956583E-32
 19   11     2.86775902395490E-37   8.60327707186470E-36
 20   11     5.40315800834201E-41   1.67497898258602E-39
 21   11     5.25710888777596E-47   1.68227484408831E-45
 22   11     1.45978309270083E-52   4.81728420591274E-51
 23   11     8.12630179556136E-59   2.76294261049086E-57
 24   11     2.52274251989483E-63   8.82959881963192E-62
 25   11     6.54626363490595E-70   2.35665490856614E-68
 26   11     7.85593191468114E-77   2.90669480843202E-75
 27   11     5.19149213336478E-87   1.97276701067862E-85
 28   11     5.86067735404396E-94   2.28566416807715E-92
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.37032338536574E-27   2.74064677073148E-26
  9   12     3.13366617592761E-24   6.58069896944799E-23
 10   12     5.30123841160792E-18   1.16627245055374E-16
 11   12     1.39328437208756E-15   3.20455405580138E-14
 12   12     1.55611133459006E-11   3.73466720301616E-10
 13   12     1.41269138940426E-13   3.53172847351065E-12
 14   12     3.84519571164663E-14   9.99750885028124E-13
 15   12     1.69347526931831E-17   4.57238322715945E-16
 16   12     7.57298206008310E-20   2.12043497682327E-18
 17   12     5.81807980237522E-25   1.68724314268882E-23
 18   12     3.08355275020873E-29   9.25065825062619E-28
 19   12     9.93130694164599E-34   3.07870515191026E-32
 20   12     1.11107072917357E-35   3.55542633335543E-34
 21   12     1.39877860463679E-40   4.61596939530142E-39
 22   12     1.55793919913040E-44   5.29699327704334E-43
 23   12     9.14330925168226E-50   3.20015823808879E-48
 24   12     1.52216992155992E-54   5.47981171761573E-53
 25   12     3.89904909879572E-60   1.44264816655442E-58
 26   12     3.76900700638357E-63   1.43222266242576E-61
 27   12     3.35832374240482E-69   1.30974625953788E-67
 28   12     9.19134079703395E-77   3.67653631881358E-75
 29   12     6.67919656215802E-89   2.73847059048479E-87
 30   12     1.00000000000000E-99   3.77777883978974E-98
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     2.28926439744439E-31   4.80745523463321E-30
  9   13     1.41222408393310E-29   3.10689298465282E-28
 10   13     1.91945294428854E-23   4.41474177186363E-22
 11   13     9.25922798335954E-20   2.22221471600629E-18
 12   13     5.84661047416737E-15   1.46165261854184E-13
 13   13     2.29896416750043E-14   5.97730683550113E-13
 14   13     4.57194595949860E-13   1.23442540906462E-11
 15   13     2.70402171431599E-15   7.57126080008478E-14
 16   13     1.13745124422852E-16   3.29860860826271E-15
 17   13     1.10572826632711E-20   3.31718479898134E-19
 18   13     4.10996783331653E-24   1.27409002832812E-22
 19   13     2.59805188771112E-29   8.31376604067559E-28
 20   13     3.29707957125521E-33   1.08803625851422E-31
 21   13     1.95656844297701E-37   6.65233270612182E-36
 22   13     1.74364573792490E-40   6.10276008273717E-39
 23   13     1.33045944820089E-45   4.78965401352319E-44
 24   13     2.16346060322489E-49   8.00480423193210E-48
 25   13     3.23673816541197E-54   1.22996050285655E-52
 26   13     3.46853841301398E-58   1.35272998107545E-56
 27   13     8.74690734152665E-62   3.49876293661066E-60
 28   13     4.45746888089385E-67   1.82756224116648E-65
 29   13     6.36404435539648E-78   2.67289862926652E-76
 30   13     1.60608276452402E-86   6.90615588745328E-85
 31   13     5.39662324315863E-96   2.37451422698980E-94
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     3.90865802576148E-35   8.59904765667525E-34
  9   14     6.94263582690514E-33   1.59680624018818E-31
 10   14     1.16937203134849E-26   2.80649287523638E-25
 11   14     2.18321921927121E-23   5.45804804817802E-22
 12   14     1.37768417103688E-17   3.58197884469588E-16
 13   14     4.99200356634011E-15   1.34784096291183E-13
 14   14     1.59712064217993E-10   4.47193779810382E-09
 15   14     6.58683699436389E-12   1.91018272836553E-10
 16   14     1.31645921857979E-12   3.94937765573937E-11
 17   14     1.22652328644130E-15   3.80222218796802E-14
 18   14     1.94808050686843E-17   6.23385762197898E-16
