    time    temp    dens
   7.75326587368680E-01   7.62715835501944E-02   1.70414194400905E+00
     nin     zin       y       x
  1    0     7.87501587000561E-10   7.87501587000561E-10
  0    1     3.12092613649993E-01   3.12092613649993E-01
  1    1     2.48330034897925E-06   4.96660069795849E-06
  2    1     6.31160565994011E-08   1.89348169798203E-07
  1    2     5.79558682644039E-06   1.73867604793212E-05
  2    2     1.68382940622117E-01   6.73531762488467E-01
  4    2     6.21127817351095E-22   3.72676690410657E-21
  3    3     1.16024161564455E-14   6.96144969386731E-14
  4    3     1.82247364619126E-10   1.27573155233388E-09
  5    3     1.42054563251099E-17   1.13643650600879E-16
  6    3     4.89804437657292E-24   4.40823993891563E-23
  3    4     2.46048023347844E-10   1.72233616343491E-09
  5    4     3.67246356573101E-14   3.30521720915791E-13
  6    4     1.25177600340389E-14   1.25177600340389E-13
  7    4     4.33108089591934E-22   4.76418898551127E-21
  8    4     5.07456585307034E-30   6.08947902368441E-29
  3    5     1.37787611692456E-13   1.10230089353965E-12
  5    5     2.86186570939526E-10   2.86186570939526E-09
  6    5     7.60356439174785E-08   8.36392083092264E-07
  7    5     2.72139151444183E-14   3.26566981733020E-13
  8    5     1.61863805797033E-18   2.10422947536143E-17
  9    5     1.69491556408917E-28   2.37288178972484E-27
  3    6     3.59734238545559E-12   3.23760814691003E-11
  4    6     7.25248625991879E-08   7.25248625991879E-07
  5    6     3.17150503067813E-06   3.48865553374594E-05
  6    6     5.74307801080153E-06   6.89169361296183E-05
  7    6     1.16669366456351E-06   1.51670176393257E-05
  8    6     2.35762309632844E-09   3.30067233485982E-08
  9    6     7.09864989268365E-16   1.06479748390255E-14
 10    6     7.86183825505880E-18   1.25789412080941E-16
 11    6     9.97919825500488E-26   1.69646370335083E-24
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.69579453699156E-27   1.86537399069071E-26
  5    7     4.93020172633328E-15   5.91624207159994E-14
  6    7     1.54106116515429E-06   2.00337951470058E-05
  7    7     1.76857771663795E-06   2.47600880329314E-05
  8    7     6.32957025241944E-07   9.49435537862917E-06
  9    7     1.29413844883293E-13   2.07062151813269E-12
 10    7     2.88714481477960E-12   4.90814618512532E-11
 11    7     2.25569203763222E-15   4.06024566773800E-14
 12    7     7.65148985790767E-16   1.45378307300246E-14
 13    7     3.55662492001615E-19   7.11324984003231E-18
 14    7     3.62182309455511E-20   7.60582849856573E-19
  5    8     1.40740603776429E-19   1.82962784909357E-18
  6    8     8.22669438397066E-06   1.15173721375589E-04
  7    8     3.67162323266838E-06   5.50743484900257E-05
  8    8     2.97100600255548E-05   4.75360960408877E-04
  9    8     3.92823276952352E-07   6.67799570818999E-06
 10    8     2.60462288747342E-09   4.68832119745215E-08
 11    8     1.69189911610108E-15   3.21460832059205E-14
 12    8     3.09503473168466E-16   6.19006946336932E-15
 13    8     1.25069331250939E-19   2.62645595626971E-18
 14    8     2.89113038872191E-20   6.36048685518821E-19
  5    9     3.00504378837676E-61   4.20706130372747E-60
  6    9     6.92661396049994E-19   1.03899209407499E-17
  7    9     3.25475812221520E-20   5.20761299554432E-19
  8    9     1.43816662111725E-07   2.44488325589933E-06
  9    9     1.26781793530460E-08   2.28207228354829E-07
 10    9     4.94135224467251E-10   9.38856926487777E-09
 11    9     3.27654976600333E-13   6.55309953200665E-12
 12    9     7.99240438917981E-15   1.67840492172776E-13
 13    9     2.46270358110222E-16   5.41794787842488E-15
 14    9     2.03011609093804E-19   4.66926700915750E-18
 15    9     3.47242394077887E-20   8.33381745786930E-19
 16    9     1.52720358713133E-21   3.81800896782833E-20
 17    9     3.26689401142994E-24   8.49392442971785E-23
  7   10     3.80779887760687E-16   6.47325809193168E-15
  8   10     1.99501619542093E-08   3.59102915175767E-07
  9   10     1.07266669251965E-09   2.03806671578734E-08
 10   10     1.65941706885382E-07   3.31883413770764E-06
 11   10     4.87073132087535E-10   1.02285357738382E-08
 12   10     4.23919194921979E-09   9.32622228828353E-08
 13   10     1.10157904110300E-13   2.53363179453689E-12
 14   10     1.40710275694822E-14   3.37704661667573E-13
 15   10     7.37838135421382E-16   1.84459533855345E-14
 16   10     6.23934154767495E-16   1.62222880239549E-14
 17   10     2.59373367749335E-20   7.00308092923205E-19
 18   10     1.58283157386374E-23   4.43192840681848E-22
 19   10     5.36696050336168E-27   1.55641854597489E-25
 20   10     1.03843251081223E-28   3.11529753243669E-27
 21   10     1.53214610383802E-33   4.74965292189786E-32
 22   10     1.44054670095008E-36   4.60974944304025E-35
 23   10     6.17990210480734E-40   2.03936769458642E-38
 24   10     1.63707844462626E-44   5.56606671172928E-43
 25   10     6.65100803583011E-91   2.32785281254054E-89
 26   10     1.00293887104825E-89   3.61057993577369E-88
 27   10     2.32112440848409E-89   8.58816031139113E-88
 28   10     1.19015839193299E-97   4.52260188934538E-96
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     2.71918917355302E-17   5.16645942975074E-16
  9   11     5.76123327223865E-11   1.15224665444773E-09
 10   11     4.63043860059650E-10   9.72392106125265E-09
 11   11     1.60780300410230E-09   3.53716660902506E-08
 12   11     5.59114981213824E-09   1.28596445679179E-07
 13   11     8.18325176375892E-12   1.96398042330214E-10
 14   11     1.60922297568990E-12   4.02305743922476E-11
 15   11     1.15035124676969E-13   2.99091324160120E-12
 16   11     3.37989820785852E-14   9.12572516121801E-13
 17   11     1.68304798226777E-17   4.71253435034975E-16
 18   11     6.68668033953997E-21   1.93913729846659E-19
 19   11     6.29294789411814E-23   1.88788436823544E-21
 20   11     3.77834910977500E-25   1.17128822403025E-23
 21   11     2.04343041987840E-29   6.53897734361089E-28
 22   11     3.26394821200304E-32   1.07710290996100E-30
 23   11     7.85277009535918E-36   2.66994183242212E-34
 24   11     1.21411319099412E-39   4.24939616847942E-38
 25   11     7.61457179380359E-44   2.74124584576929E-42
