    time    temp    dens
   7.50052839986903E-01   7.88868632041052E-02   1.88227995531377E+00
     nin     zin       y       x
  1    0     7.78835986187398E-10   7.78835986187398E-10
  0    1     3.12093708913282E-01   3.12093708913282E-01
  1    1     2.37172201540716E-06   4.74344403081433E-06
  2    1     5.87833954159912E-08   1.76350186247974E-07
  1    2     5.78983053696078E-06   1.73694916108823E-05
  2    2     1.68382694526605E-01   6.73530778106420E-01
  4    2     5.34887365976095E-22   3.20932419585657E-21
  3    3     1.04660703540790E-14   6.27964221244738E-14
  4    3     1.65378997261619E-10   1.15765298083134E-09
  5    3     1.01822980458555E-17   8.14583843668440E-17
  6    3     3.70959041805018E-24   3.33863137624516E-23
  3    4     2.54208151642511E-10   1.77945706149758E-09
  5    4     2.92892946171599E-14   2.63603651554440E-13
  6    4     1.03364237578464E-14   1.03364237578464E-13
  7    4     3.23272323394759E-22   3.55599555734235E-21
  8    4     4.03875827156665E-30   4.84650992587998E-29
  3    5     1.42801596918372E-13   1.14241277534698E-12
  5    5     2.42486279989761E-10   2.42486279989761E-09
  6    5     6.54657996476310E-08   7.20123796123941E-07
  7    5     2.67972823106353E-14   3.21567387727624E-13
  8    5     1.71044625880205E-18   2.22358013644267E-17
  9    5     2.03048706736504E-28   2.84268189431105E-27
  3    6     3.59734237699351E-12   3.23760813929416E-11
  4    6     7.25907205693614E-08   7.25907205693614E-07
  5    6     3.18156789896689E-06   3.49972468886358E-05
  6    6     5.73820798647286E-06   6.88584958376743E-05
  7    6     1.16187122312241E-06   1.51043259005913E-05
  8    6     2.33956879157332E-09   3.27539630820264E-08
  9    6     6.88138179457781E-16   1.03220726918667E-14
 10    6     7.58824904815444E-18   1.21411984770471E-16
 11    6     1.01138936009835E-25   1.71936191216720E-24
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     2.40733456516672E-27   2.64806802168340E-26
  5    7     6.91152138259451E-15   8.29382565911341E-14
  6    7     1.54594241604355E-06   2.00972514085662E-05
  7    7     1.76449884860084E-06   2.47029838804118E-05
  8    7     6.17662508999275E-07   9.26493763498913E-06
  9    7     1.25213380338265E-13   2.00341408541225E-12
 10    7     2.89912308744761E-12   4.92850924866094E-11
 11    7     2.28942670665025E-15   4.12096807197045E-14
 12    7     7.90642952160788E-16   1.50222160910550E-14
 13    7     3.77268482141383E-19   7.54536964282766E-18
 14    7     3.95814246418327E-20   8.31209917478487E-19
  5    8     1.54567723367148E-19   2.00938040377292E-18
  6    8     8.25627140648407E-06   1.15587799690777E-04
  7    8     3.69157833843776E-06   5.53736750765664E-05
  8    8     2.97100720772204E-05   4.75361153235526E-04
  9    8     3.91859780954049E-07   6.66161627621884E-06
 10    8     2.52403895851664E-09   4.54327012532995E-08
 11    8     1.63405682071553E-15   3.10470795935951E-14
 12    8     3.04144887522354E-16   6.08289775044707E-15
 13    8     1.22177130612882E-19   2.56571974287052E-18
 14    8     2.84832324232068E-20   6.26631113310551E-19
  5    9     3.05934042046497E-61   4.28307658865095E-60
  6    9     5.14119701119271E-19   7.71179551678906E-18
  7    9     2.51982011561470E-20   4.03171218498352E-19
  8    9     1.46049579770152E-07   2.48284285609258E-06
  9    9     1.25770066307120E-08   2.26386119352816E-07
 10    9     4.90426153440368E-10   9.31809691536699E-09
 11    9     3.25386790239687E-13   6.50773580479373E-12
 12    9     7.87616018740576E-15   1.65399363935521E-13
 13    9     2.47283822986657E-16   5.44024410570646E-15
 14    9     2.01974323154103E-19   4.64540943254438E-18
 15    9     3.53383500567450E-20   8.48120401361879E-19
 16    9     1.66915000389273E-21   4.17287500973183E-20
 17    9     3.56802835151011E-24   9.27687371392630E-23
  7   10     4.49211980292500E-16   7.63660366497249E-15
  8   10     2.03164523699821E-08   3.65696142659678E-07
  9   10     1.07839452158618E-09   2.04894959101374E-08
 10   10     1.65937730739011E-07   3.31875461478023E-06
 11   10     4.84228122841442E-10   1.01687905796703E-08
 12   10     4.22007131575668E-09   9.28415689466469E-08
 13   10     1.08998652471358E-13   2.50696900684123E-12
 14   10     1.39339583483296E-14   3.34415000359910E-13
 15   10     7.45575924074079E-16   1.86393981018520E-14
 16   10     6.60146658906584E-16   1.71638131315712E-14
 17   10     2.79368795503335E-20   7.54295747859004E-19
 18   10     1.71904883411417E-23   4.81333673551969E-22
 19   10     5.86102800181243E-27   1.69969812052560E-25
 20   10     1.13332859704816E-28   3.39998579114447E-27
 21   10     1.69027335235333E-33   5.23984739229531E-32
 22   10     1.61022769310717E-36   5.15272861794296E-35
 23   10     7.48805549135133E-40   2.47105831214594E-38
 24   10     1.93797419220819E-44   6.58911225350786E-43
 25   10     9.99955327378973E-91   3.49984364582641E-89
 26   10     1.45728715526025E-89   5.24623375893691E-88
 27   10     3.37637655060144E-89   1.24925932372253E-87
 28   10     1.90481220618215E-97   7.23828638349215E-96
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     2.61548701397217E-17   4.96942532654712E-16
  9   11     6.06587484835040E-11   1.21317496967008E-09
 10   11     4.65241803116552E-10   9.77007786544758E-09
 11   11     1.61342423262303E-09   3.54953331177066E-08
 12   11     5.58514744997512E-09   1.28458391349428E-07
 13   11     8.04843554422659E-12   1.93162453061438E-10
 14   11     1.59631298449186E-12   3.99078246122964E-11
 15   11     1.15635202934489E-13   3.00651527629672E-12
 16   11     3.51581411828942E-14   9.49269811938144E-13
 17   11     1.76198093761573E-17   4.93354662532405E-16
 18   11     7.32524929408421E-21   2.12432229528442E-19
 19   11     6.95292875562268E-23   2.08587862668680E-21
 20   11     4.11881182923066E-25   1.27683166706150E-23
 21   11     2.22552108571826E-29   7.12166747429842E-28
 22   11     3.56685180997449E-32   1.17706109729158E-30
 23   11     8.71193945832466E-36   2.96205941583038E-34
 24   11     1.38489238702271E-39   4.84712335457947E-38
 25   11     9.20994867899510E-44   3.31558152443823E-42
 26   11     1.63822950215077E-49   6.06144915795786E-48
 27   11     1.23668179333269E-78   4.69939081466420E-77
 28   11     3.58378535342787E-88   1.39767628783687E-86
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.69713380491404E-15   3.39426760982808E-14
  9   12     5.18671615967918E-12   1.08921039353263E-10
 10   12     1.31899187466944E-09   2.90178212427278E-08
 11   12     3.66397223454927E-10   8.42713613946331E-09
 12   12     1.44761327004741E-08   3.47427184811378E-07
 13   12     4.71343991759384E-08   1.17835997939846E-06
 14   12     3.06473824443580E-08   7.96831943553308E-07
 15   12     3.28886391013907E-12   8.87993255737548E-11
 16   12     6.66490658559483E-13   1.86617384396655E-11
