    time    temp    dens
   1.28046979905575E+01   1.00000000000000E-02   3.78313446318028E-04
     nin     zin       y       x
  1    0     6.06976627537503E-09   6.06976627537503E-09
  0    1     3.12070450978017E-01   3.12070450978017E-01
  1    1     8.14414074766093E-06   1.62882814953219E-05
  2    1     1.15908517958652E-06   3.47725553875956E-06
  1    2     4.80523173026467E-06   1.44156951907940E-05
  2    2     1.68385793038276E-01   6.73543172153106E-01
  4    2     1.69072187226069E-22   1.01443312335641E-21
  3    3     1.88074328937274E-13   1.12844597362365E-12
  4    3     1.45068281196863E-09   1.01547796837804E-08
  5    3     3.25063731236980E-17   2.60050984989584E-16
  6    3     1.54352679666028E-25   1.38917411699426E-24
  3    4     4.90962887492852E-11   3.43674021244997E-10
  5    4     9.13016633365868E-13   8.21714970029281E-12
  6    4     1.58802815409015E-13   1.58802815409015E-12
  7    4     1.29460914654805E-20   1.42407006120285E-19
  8    4     3.30285078941809E-31   3.96342094730171E-30
  3    5     2.07441476259593E-18   1.65953181007675E-17
  5    5     2.46473917700309E-08   2.46473917700309E-07
  6    5     4.12172370222028E-07   4.53389607244231E-06
  7    5     4.62701980677072E-17   5.55242376812486E-16
  8    5     6.10435518810862E-21   7.93566174454121E-20
  9    5     1.25842292266676E-34   1.76179209173346E-33
  3    6     3.59734240244808E-12   3.23760816220327E-11
  4    6     4.70826090281715E-08   4.70826090281715E-07
  5    6     2.90469121265047E-06   3.19516033391552E-05
  6    6     5.83113431810219E-06   6.99736118172263E-05
  7    6     1.26942357559508E-06   1.65025064827361E-05
  8    6     2.76167851263552E-09   3.86634991768973E-08
  9    6     3.92585816786137E-17   5.88878725179205E-16
 10    6     9.30955998486734E-20   1.48952959757877E-18
 11    6     2.41306389203173E-31   4.10220861645395E-30
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.28909780535253E-66   1.41800758588778E-65
  5    7     5.50216278436923E-18   6.60259534124308E-17
  6    7     1.43730942576723E-06   1.86850225349740E-05
  7    7     2.67003834457732E-06   3.73805368240825E-05
  8    7     1.12016187131971E-06   1.68024280697956E-05
  9    7     6.18812446653554E-14   9.90099914645687E-13
 10    7     3.91624720749376E-13   6.65762025273940E-12
 11    7     2.83324029451458E-18   5.09983253012625E-17
 12    7     6.95837302736192E-19   1.32209087519876E-17
 13    7     6.33842701809722E-22   1.26768540361944E-20
 14    7     4.36347437370487E-23   9.16329618478023E-22
  5    8     2.55784080311147E-22   3.32519304404491E-21
  6    8     6.90180705260899E-06   9.66252987365259E-05
