    time    temp    dens
   1.51469330494433E-01   1.02120676801692E+00   3.96078188330029E+03
     nin     zin       y       x
  1    0     1.97770978745375E-10   1.97770978745375E-10
  0    1     3.13398038133659E-01   3.13398038133659E-01
  1    1     1.04224229774640E-08   2.08448459549279E-08
  2    1     1.17045024283771E-11   3.51135072851314E-11
  1    2     5.27277906052652E-07   1.58183371815796E-06
  2    2     1.68177317007955E-01   6.72709268031821E-01
  4    2     3.56263449146960E-29   2.13758069488176E-28
  3    3     7.47782847161682E-17   4.48669708297009E-16
  4    3     7.89018325267606E-13   5.52312827687324E-12
  5    3     4.76791221185905E-22   3.81432976948724E-21
  6    3     1.12123026412978E-27   1.00910723771680E-26
  3    4     1.99487424888476E-07   1.39641197421933E-06
  5    4     4.91782654145763E-20   4.42604388731186E-19
  6    4     1.74346168064077E-23   1.74346168064077E-22
  7    4     6.35101847625893E-37   6.98612032388482E-36
  8    4     5.14870378399186E-43   6.17844454079024E-42
  3    5     8.82688971882991E-14   7.06151177506393E-13
  5    5     1.78962012860600E-13   1.78962012860600E-12
  6    5     3.61777468402263E-16   3.97955215242490E-15
  7    5     1.09190724766872E-21   1.31028869720247E-20
  8    5     2.90698376706294E-26   3.77907889718183E-25
  9    5     9.49576397526200E-38   1.32940695653668E-36
  3    6     1.27136893318255E-14   1.14423203986430E-13
  4    6     7.91265022923891E-13   7.91265022923891E-12
  5    6     8.78791669194738E-08   9.66670836114212E-07
  6    6     2.86446840833091E-09   3.43736208999709E-08
  7    6     7.05762678638961E-14   9.17491482230649E-13
  8    6     7.02937029409876E-15   9.84111841173826E-14
  9    6     9.11727939330107E-27   1.36759190899516E-25
 10    6     1.07974686539158E-26   1.72759498462653E-25
 11    6     7.74780848000234E-39   1.31712744160040E-37
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     9.66873926840186E-24   1.06356131952420E-22
  5    7     4.26778653357433E-12   5.12134384028920E-11
  6    7     2.40799370900369E-09   3.13039182170480E-08
  7    7     2.72286129020647E-08   3.81200580628906E-07
  8    7     5.32830989145882E-13   7.99246483718824E-12
  9    7     8.94851911417936E-20   1.43176305826870E-18
 10    7     1.65513952277332E-12   2.81373718871465E-11
 11    7     3.41420199804519E-17   6.14556359648134E-16
 12    7     8.72440638116443E-19   1.65763721242124E-17
 13    7     1.24201541181516E-25   2.48403082363032E-24
 14    7     1.46848716967104E-23   3.08382305630919E-22
  5    8     1.15790885638918E-11   1.50528151330594E-10
  6    8     2.20258908743648E-06   3.08362472241107E-05
  7    8     2.16269351166689E-05   3.24404026750033E-04
  8    8     2.59397544986033E-05   4.15036071977653E-04
  9    8     4.94066308117397E-14   8.39912723799574E-13
