    time    temp    dens
   3.94821817154173E-01   1.54369624660575E-01   1.38983134872822E+01
     nin     zin       y       x
  1    0     6.89878507390420E-10   6.89878507390420E-10
  0    1     3.12136669997411E-01   3.12136669997411E-01
  1    1     7.50298035069759E-07   1.50059607013952E-06
  2    1     1.89611519967994E-08   5.68834559903982E-08
  1    2     4.56899952663291E-06   1.37069985798987E-05
  2    2     1.68371002505410E-01   6.73484010021638E-01
  4    2     2.24409233935474E-23   1.34645540361284E-22
  3    3     1.90467451354521E-15   1.14280470812712E-14
  4    3     2.99119578505115E-11   2.09383704953580E-10
  5    3     2.07871319097054E-20   1.66297055277643E-19
  6    3     1.57606414078402E-25   1.41845772670562E-24
  3    4     9.25869036965515E-10   6.48108325875860E-09
  5    4     3.09715589692203E-16   2.78744030722983E-15
  6    4     1.41102000054309E-16   1.41102000054309E-15
  7    4     1.18622317769181E-25   1.30484549546100E-24
  8    4     6.51408842213105E-33   7.81690610655726E-32
  3    5     1.36695674877766E-13   1.09356539902213E-12
  5    5     1.51214071834040E-12   1.51214071834040E-11
  6    5     5.26425103113567E-10   5.79067613424924E-09
  7    5     1.25266833541498E-15   1.50320200249797E-14
  8    5     9.63469783038650E-19   1.25251071795025E-17
  9    5     1.18707101542751E-27   1.66189942159852E-26
  3    6     3.59731916169055E-12   3.23758724552149E-11
  4    6     7.35226842555703E-08   7.35226842555703E-07
  5    6     3.53710208786905E-06   3.89081229665595E-05
  6    6     5.39237219271878E-06   6.47084663126253E-05
  7    6     9.52598099512113E-07   1.23837752936575E-05
  8    6     1.66373658729308E-09   2.32923122221031E-08
  9    6     5.76112466541540E-17   8.64168699812310E-16
 10    6     7.92188945281893E-19   1.26750231245103E-17
 11    6     2.74562909140079E-26   4.66756945538135E-25
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     3.31314890678582E-25   3.64446379746440E-24
  5    7     3.26620607195467E-11   3.91944728634560E-10
  6    7     1.75730437523842E-06   2.28449568780994E-05
  7    7     1.62722079870165E-06   2.27810911818231E-05
  8    7     1.06878972992216E-07   1.60318459488324E-06
  9    7     9.40897550072844E-15   1.50543608011655E-13
 10    7     3.06914770043866E-12   5.21755109074572E-11
 11    7     2.15166824703460E-15   3.87300284466228E-14
 12    7     9.36392738862602E-16   1.77914620383894E-14
 13    7     5.49828265723931E-19   1.09965653144786E-17
 14    7     1.08010658121451E-19   2.26822382055047E-18
  5    8     2.26015763209101E-14   2.93820492171831E-13
  6    8     9.45799942254433E-06   1.32411991915621E-04
  7    8     4.53945998094440E-06   6.80918997141660E-05
  8    8     2.97105417569628E-05   4.75368668111405E-04
  9    8     3.43386219047611E-07   5.83756572380939E-06
 10    8     3.04029534875550E-10   5.47253162775990E-09
 11    8     3.06477177059922E-16   5.82306636413851E-15
 12    8     1.13278101725130E-16   2.26556203450259E-15
 13    8     3.41329539601985E-20   7.16792033164169E-19
 14    8     1.02286300360187E-20   2.25029860792410E-19
  5    9     6.12890061358968E-61   8.58046085902555E-60
  6    9     2.77260074908640E-20   4.15890112362961E-19
  7    9     1.87298955114023E-21   2.99678328182436E-20
  8    9     2.57946883068601E-07   4.38509701216622E-06
  9    9     1.13246393947678E-08   2.03843509105820E-07
 10    9     3.27541239771332E-10   6.22328355565530E-09
 11    9     1.51457926871396E-13   3.02915853742793E-12
 12    9     3.97257763026543E-15   8.34241302355740E-14
 13    9     1.48739397658911E-16   3.27226674849604E-15
 14    9     1.29030419842891E-19   2.96769965638650E-18
 15    9     2.55108742867063E-20   6.12260982880951E-19
 16    9     3.98686394029056E-21   9.96715985072640E-20
 17    9     2.12620621797389E-23   5.52813616673210E-22
  7   10     5.90062762809937E-15   1.00310669677689E-13
  8   10     3.22258150512684E-08   5.80064670922831E-07
  9   10     1.32684466140446E-09   2.52100485666848E-08
 10   10     1.65771903217925E-07   3.31543806435850E-06
 11   10     3.62925708836845E-10   7.62143988557374E-09
 12   10     3.43179827139263E-09   7.54995619706380E-08
 13   10     6.45158907683967E-14   1.48386548767312E-12
 14   10     9.12093892520228E-15   2.18902534204855E-13
 15   10     6.14873033426067E-16   1.53718258356517E-14
 16   10     1.02643396144526E-15   2.66872829975767E-14
