    time    temp    dens
   9.46600776336505E-01   6.22541014614178E-02   9.36395305745971E-01
     nin     zin       y       x
  1    0     8.50993932572326E-10   8.50993932572326E-10
  0    1     3.12087168197462E-01   3.12087168197462E-01
  1    1     3.20239552275325E-06   6.40479104550650E-06
  2    1     9.94553820754312E-08   2.98366146226294E-07
  1    2     5.75202533877166E-06   1.72560760163150E-05
  2    2     1.68384074553559E-01   6.73536298214238E-01
  4    2     1.38759187581717E-21   8.32555125490301E-21
  3    3     2.15679914020296E-14   1.29407948412178E-13
  4    3     2.95618295673680E-10   2.06932806971576E-09
  5    3     7.55760233571657E-17   6.04608186857325E-16
  6    3     2.23173598125521E-23   2.00856238312969E-22
  3    4     1.89318897484105E-10   1.32523228238874E-09
  5    4     1.17421324872276E-13   1.05679192385049E-12
  6    4     3.17351448395508E-14   3.17351448395508E-13
  7    4     1.71026979504576E-21   1.88129677455033E-20
  8    4     1.35771675125019E-29   1.62926010150023E-28
  3    5     1.10285266467118E-13   8.82282131736944E-13
  5    5     6.34420575013765E-10   6.34420575013765E-09
  6    5     1.45165378843726E-07   1.59681916728099E-06
  7    5     2.30235706179010E-14   2.76282847414812E-13
  8    5     1.12614021522253E-18   1.46398227978929E-17
  9    5     5.58451003435888E-29   7.81831404810243E-28
  3    6     3.59734240108101E-12   3.23760816097291E-11
  4    6     7.20801272088088E-08   7.20801272088088E-07
  5    6     3.11968368798050E-06   3.43165205677855E-05
  6    6     5.76689225821529E-06   6.92027070985834E-05
  7    6     1.19025147992846E-06   1.54732692390699E-05
  8    6     2.44880111229084E-09   3.42832155720718E-08
  9    6     7.98401108201090E-16   1.19760166230163E-14
 10    6     9.01820100102795E-18   1.44291216016447E-16
 11    6     8.15729730746332E-26   1.38674054226876E-24
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.57833152508770E-28   1.73616467759647E-27
  5    7     1.23893531674479E-15   1.48672238009374E-14
  6    7     1.51721397609673E-06   1.97237816892575E-05
  7    7     1.79190450875893E-06   2.50866631226250E-05
  8    7     7.08903446551271E-07   1.06335516982691E-05
  9    7     1.48875038361781E-13   2.38200061378850E-12
 10    7     2.80699407752333E-12   4.77188993178965E-11
 11    7     2.00170011529213E-15   3.60306020752583E-14
 12    7     6.00613820227813E-16   1.14116625843284E-14
 13    7     2.35674126701831E-19   4.71348253403662E-18
 14    7     2.06217830010978E-20   4.33057443023053E-19
  5    8     8.20706710562977E-20   1.06691872373187E-18
  6    8     8.07872388833941E-06   1.13102134436752E-04
  7    8     3.57289767137727E-06   5.35934650706590E-05
  8    8     2.97099993971517E-05   4.75359990354427E-04
  9    8     3.97488745806200E-07   6.75730867870540E-06
 10    8     3.02008023163972E-09   5.43614441695150E-08
 11    8     1.99994130025331E-15   3.79988847048128E-14
 12    8     3.35848282695070E-16   6.71696565390141E-15
 13    8     1.39309347991108E-19   2.92549630781327E-18
 14    8     3.06939617295063E-20   6.75267158049138E-19
  5    9     2.74839303714455E-61   3.84775025200238E-60
  6    9     6.30613794400881E-18   9.45920691601322E-17
  7    9     2.23703062588429E-19   3.57924900141487E-18
  8    9     1.33030424035766E-07   2.26151720860803E-06
  9    9     1.34044656318645E-08   2.41280381373562E-07
 10    9     5.13440924464183E-10   9.75537756481948E-09
 11    9     3.35045310915432E-13   6.70090621830863E-12
 12    9     8.52068997154571E-15   1.78934489402460E-13
 13    9     2.39510562594738E-16   5.26923237708424E-15
 14    9     2.05728647457054E-19   4.73175889151223E-18
 15    9     2.98154447681249E-20   7.15570674434998E-19
 16    9     8.68375247273734E-22   2.17093811818434E-20
 17    9     1.93968255779759E-24   5.04317465027372E-23
  7   10     1.28209379867780E-16   2.17955945775227E-15
