    time    temp    dens
   1.30027378085431E-01   2.00694636607380E+00   2.99728981080991E+04
     nin     zin       y       x
  1    0     9.17180925111133E-11   9.17180925111133E-11
  0    1     3.16205606302148E-01   3.16205606302148E-01
  1    1     2.50768220520679E-11   5.01536441041358E-11
  2    1     9.75853316678335E-14   2.92755995003501E-13
  1    2     3.95354983848758E-07   1.18606495154628E-06
  2    2     1.68478426554929E-01   6.73913706219715E-01
  4    2     4.46852048797216E-31   2.68111229278329E-30
  3    3     1.86068745022208E-17   1.11641247013325E-16
  4    3     2.55618190948936E-16   1.78932733664255E-15
  5    3     8.65696856462746E-28   6.92557485170197E-27
  6    3     1.15955095060063E-34   1.04359585554056E-33
  3    4     6.05490940688785E-10   4.23843658482149E-09
  5    4     1.19462190990366E-20   1.07515971891330E-19
  6    4     4.10292292764598E-24   4.10292292764598E-23
  7    4     1.40261510537368E-38   1.54287661591105E-37
  8    4     1.66179850512112E-47   1.99415820614534E-46
  3    5     3.45609304157235E-16   2.76487443325788E-15
  5    5     3.19116264364836E-13   3.19116264364836E-12
  6    5     8.05313434304430E-21   8.85844777734873E-20
  7    5     2.28163713374889E-24   2.73796456049867E-23
  8    5     4.13525072550933E-31   5.37582594316213E-30
  9    5     7.69139274855634E-45   1.07679498479789E-43
  3    6     1.00542500264936E-19   9.04882502384426E-19
  4    6     5.60479440696884E-14   5.60479440696884E-13
  5    6     1.73430662419659E-11   1.90773728661625E-10
  6    6     4.22190258695318E-11   5.06628310434382E-10
  7    6     3.80958632693130E-13   4.95246222501069E-12
  8    6     2.29873363938922E-18   3.21822709514491E-17
  9    6     2.37402673352316E-30   3.56104010028475E-29
 10    6     6.03179729998664E-31   9.65087567997862E-30
 11    6     9.09571562851839E-45   1.54627165684813E-43
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.30155747091254E-23   1.43171321800380E-22
  5    7     8.12587442219048E-17   9.75104930662858E-16
  6    7     9.06915026679505E-13   1.17898953468336E-11
  7    7     6.36459790954668E-10   8.91043707336535E-09
  8    7     2.28245692755794E-16   3.42368539133690E-15
  9    7     2.74027230549857E-23   4.38443568879772E-22
 10    7     2.63430703018489E-17   4.47832195131431E-16
 11    7     3.34008663586607E-22   6.01215594455893E-21
 12    7     1.67864348358867E-20   3.18942261881848E-19
 13    7     1.01143584259301E-31   2.02287168518601E-30
 14    7     1.74019601182416E-23   3.65441162483075E-22
  5    8     1.32896057854902E-19   1.72764875211373E-18
  6    8     1.58555775323798E-10   2.21978085453317E-09
  7    8     9.03472780871236E-08   1.35520917130685E-06
  8    8     1.72182909592307E-07   2.75492655347691E-06
  9    8     2.65238601803120E-13   4.50905623065305E-12
 10    8     9.90473555669305E-23   1.78285240020475E-21
 11    8     5.98462985453429E-25   1.13707967236152E-23
 12    8     1.64786380780142E-22   3.29572761560284E-21
 13    8     4.87898053575566E-34   1.02458591250869E-32
 14    8     1.13487191440827E-36   2.49671821169820E-35
  5    9     2.89680920649024E-47   4.05553288908634E-46
  6    9     1.89341249888649E-20   2.84011874832974E-19
  7    9     3.72592495639195E-15   5.96147993022712E-14
  8    9     7.55392907447583E-12   1.28416794266089E-10
  9    9     1.37053797096264E-14   2.46696834773274E-13
 10    9     5.50827041417561E-17   1.04657137869337E-15
 11    9     2.01449154124709E-22   4.02898308249419E-21
 12    9     1.50146954678364E-23   3.15308604824563E-22
 13    9     4.52205838089992E-26   9.94852843797982E-25
 14    9     1.45848177371053E-31   3.35450807953423E-30
 15    9     5.45463275431216E-35   1.30911186103492E-33
 16    9     4.10982229646362E-38   1.02745557411591E-36
 17    9     3.71573904895893E-41   9.66092152729321E-40
  7   10     8.10080102047452E-19   1.37713617348067E-17
  8   10     1.59148482735971E-12   2.86467268924747E-11
  9   10     1.34620234400845E-09   2.55778445361606E-08
 10   10     4.23476462805271E-10   8.46952925610542E-09
 11   10     2.08271876019395E-15   4.37370939640729E-14
 12   10     4.00648873737047E-16   8.81427522221503E-15
 13   10     6.35704995984710E-24   1.46212149076483E-22
 14   10     4.30163709110305E-24   1.03239290186473E-22
 15   10     2.10403150616655E-28   5.26007876541637E-27
 16   10     2.11740245302126E-30   5.50524637785528E-29
 17   10     6.68259110397396E-36   1.80429959807297E-34
 18   10     4.08029607395330E-40   1.14248290070692E-38
 19   10     4.56850231232131E-45   1.32486567057318E-43
 20   10     5.63417944103261E-48   1.69025383230978E-46
 21   10     3.78887657078128E-53   1.17455173694220E-51
 22   10     3.33896588494202E-56   1.06846908318144E-54
 23   10     6.22898762672768E-62   2.05556591682014E-60
 24   10     6.79364886353383E-68   2.30984061360150E-66
 25   10     1.03850669778286E-91   3.63477344224000E-90
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.60755372734704E-18   3.05435208195938E-17
  9   11     6.27596350864929E-11   1.25519270172986E-09
 10   11     8.72819745903730E-11   1.83292146639783E-09
 11   11     7.09996730803458E-11   1.56199280776761E-09
 12   11     1.00398461257607E-14   2.30916460892497E-13
 13   11     1.78086995866133E-20   4.27408790078720E-19
 14   11     4.60934034743939E-22   1.15233508685985E-20
 15   11     3.18500185843934E-24   8.28100483194227E-23
 16   11     3.33094774150629E-27   8.99355890206698E-26
 17   11     2.91407701698611E-33   8.15941564756110E-32
 18   11     1.90502459581351E-36   5.52457132785917E-35
 19   11     8.11516700089579E-40   2.43455010026874E-38
 20   11     1.40635638687623E-41   4.35970479931631E-40
 21   11     8.24256110365631E-48   2.63761955317002E-46
 22   11     1.67412528683674E-52   5.52461344656125E-51
 23   11     1.05921702726488E-57   3.60133789270058E-56
 24   11     2.52022930675710E-60   8.82080257364984E-59
 25   11     9.51876187865586E-68   3.42675427631611E-66
 26   11     1.66478243292235E-75   6.15969500181269E-74
 27   11     3.85457413995020E-94   1.46473817318108E-92
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     2.06934537257933E-17   4.13869074515865E-16
  9   12     8.23548919746134E-10   1.72945273146688E-08
 10   12     5.07745463207894E-09   1.11704001905737E-07
 11   12     1.39010711775673E-08   3.19724637084048E-07
 12   12     8.55393451142293E-10   2.05294428274150E-08
 13   12     4.46695888905774E-13   1.11673972226443E-11
 14   12     1.22076190831150E-16   3.17398096160991E-15
 15   12     3.02839838781387E-20   8.17667564709746E-19
 16   12     5.93015732577824E-24   1.66044405121791E-22
 17   12     1.96668048776150E-27   5.70337341450834E-26
 18   12     2.41818208958730E-30   7.25454626876190E-29
 19   12     2.02750967220834E-34   6.28527998384585E-33
 20   12     8.92621047591727E-35   2.85638735229353E-33
 21   12     2.00060363153269E-40   6.60199198405787E-39
 22   12     2.33904387356929E-45   7.95274917013558E-44
 23   12     5.75068827936867E-49   2.01274089777904E-47
 24   12     1.17846041832076E-52   4.24245750595472E-51
 25   12     5.22682322975127E-60   1.93392459500797E-58
 26   12     3.01961730689825E-62   1.14745457662133E-60
 27   12     5.37169496393990E-68   2.09496103593656E-66
 28   12     1.86166156245582E-80   7.44664624982327E-79
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     3.85140247923518E-18   8.08794520639388E-17
  9   13     1.59205533775473E-18   3.50252174306041E-17
 10   13     6.69033850848514E-15   1.53877785695158E-13
 11   13     2.55268403759223E-10   6.12644169022136E-09
 12   13     3.97722499246238E-10   9.94306248115594E-09
 13   13     4.20630186140646E-11   1.09363848396568E-09
 14   13     6.64393245635883E-13   1.79386176321688E-11
 15   13     2.10500793061381E-18   5.89402220571868E-17
 16   13     8.78936909791124E-22   2.54891703839426E-20
 17   13     2.59609588654513E-24   7.78828765963540E-23
 18   13     1.99545841428753E-25   6.18592108429133E-24
 19   13     1.07235755984565E-31   3.43154419150610E-30
 20   13     5.08960639894423E-32   1.67957011165160E-30
 21   13     1.56258858448059E-37   5.31280118723400E-36
 22   13     4.29528980637789E-40   1.50335143223226E-38
 23   13     3.46211133905734E-44   1.24636008206064E-42
 24   13     2.46564345725857E-48   9.12288079185670E-47
 25   13     9.37453763674338E-55   3.56232430196249E-53
 26   13     1.10509132515594E-55   4.30985616810817E-54
 27   13     1.20744814692561E-58   4.82979258770243E-57
 28   13     2.75816458482216E-65   1.13084747977708E-63
 29   13     3.36309948960177E-85   1.41250178563274E-83
 30   13     2.55424021449233E-92   1.09832329223170E-90
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     4.16334381725545E-18   9.15935639796200E-17
  9   14     3.86749013248689E-21   8.89522730471984E-20
 10   14     7.61365967831477E-15   1.82727832279555E-13
 11   14     7.04982646042116E-09   1.76245661510529E-07
 12   14     5.46914516059513E-08   1.42197774175473E-06
 13   14     9.33376661066852E-08   2.52011698488050E-06
 14   14     6.49177750407736E-09   1.81769770114166E-07
 15   14     6.14026401412748E-13   1.78067656409697E-11
 16   14     9.40982127805343E-15   2.82294638341603E-13
 17   14     1.81915406255720E-19   5.63937759392733E-18
 18   14     6.25382415775158E-23   2.00122373048050E-21
 19   14     5.01651752771244E-27   1.65545078414510E-25
 20   14     1.33727866131116E-28   4.54674744845794E-27
 21   14     1.16268277371651E-32   4.06938970800777E-31
 22   14     5.85540064310456E-35   2.10794423151764E-33
 23   14     1.10352745959271E-39   4.08305160049303E-38
 24   14     3.81634767857074E-44   1.45021211785688E-42
 25   14     9.67992121161855E-46   3.77516927253123E-44
 26   14     3.44275262688096E-49   1.37710105075238E-47
 27   14     5.07839530818199E-54   2.08214207635461E-52
 28   14     1.43531242782125E-57   6.02831219684924E-56
 29   14     4.30860405495276E-62   1.85269974362969E-60
 30   14     3.85425458854522E-68   1.69587201895990E-66
 31   14     1.01519352667720E-86   4.56837087004742E-85
 32   14     8.99388316802718E-99   4.13718625729250E-97
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     2.77673201274059E-22   6.38648362930335E-21
  9   15     8.23650561281972E-19   1.97676134707673E-17
 10   15     5.88428395893018E-23   1.47107098973254E-21
 11   15     4.06983331642682E-15   1.05815666227097E-13
 12   15     8.36432739673152E-12   2.25836839711751E-10
 13   15     4.96927762752483E-09   1.39139773570695E-07
 14   15     6.56544932566517E-09   1.90398030444290E-07
 15   15     3.23059982031810E-10   9.69179946095430E-09
 16   15     5.01730212060069E-12   1.55536365738622E-10
 17   15     7.10883871772883E-18   2.27482838967323E-16
 18   15     1.50278722698061E-20   4.95919784903600E-19
 19   15     1.09997635746006E-23   3.73991961536421E-22
 20   15     3.74049356216746E-24   1.30917274675861E-22
 21   15     3.15229695038508E-29   1.13482690213863E-27
 22   15     5.19398912774946E-32   1.92177597726730E-30
 23   15     7.56572822596424E-37   2.87497672586641E-35
 24   15     1.73567956846966E-38   6.76915031703166E-37
 25   15     1.07461237216095E-41   4.29844948864381E-40
 26   15     1.60683443232963E-45   6.58802117255147E-44
 27   15     3.00895020814240E-50   1.26375908741981E-48
 28   15     4.63166428471853E-52   1.99161564242897E-50
 29   15     7.08201573080467E-54   3.11608692155406E-52
 30   15     9.75060213223611E-58   4.38777095950625E-56
 31   15     1.27982894935708E-64   5.88721316704255E-63
 32   15     2.93610780247064E-70   1.37997066716120E-68
 33   15     5.77717538190922E-92   2.77304418331643E-90
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     3.85407564247938E-26   9.24978154195052E-25
  9   16     4.24278012752312E-20   1.06069503188078E-18
 10   16     1.39361590905183E-25   3.62340136353475E-24
 11   16     3.01041943223357E-20   8.12813246703063E-19
 12   16     2.96174535561573E-13   8.29288699572404E-12
 13   16     8.81851925671438E-08   2.55737058444717E-06
 14   16     7.67779817373697E-07   2.30333945212109E-05
 15   16     9.05951089922879E-07   2.80844837876092E-05
 16   16     1.91430480356526E-09   6.12577537140883E-08
 17   16     5.53721209006428E-13   1.82727998972121E-11
 18   16     1.59740124235915E-15   5.43116422402110E-14
 19   16     7.94861743888935E-19   2.78201610361127E-17
 20   16     1.53731314632336E-18   5.53432732676410E-17
 21   16     6.04879281130851E-24   2.23805334018415E-22
 22   16     8.34006440920728E-28   3.16922447549877E-26
 23   16     1.38843362217440E-29   5.41489112648016E-28
 24   16     4.29393919858015E-33   1.71757567943206E-31
 25   16     1.55784584366249E-38   6.38716795901622E-37
 26   16     5.95677747914609E-41   2.50184654124136E-39
 27   16     8.44635823263632E-43   3.63193404003362E-41
 28   16     1.33126219844412E-45   5.85755367315413E-44
 29   16     4.89706995124368E-50   2.20368147805966E-48
 30   16     2.47639722197338E-52   1.13914272210776E-50
 31   16     6.56930782553954E-58   3.08757467800358E-56
 32   16     6.41721419807497E-60   3.08026281507599E-58
 33   16     1.02372189703085E-71   5.01623729545116E-70
 34   16     5.11625052466777E-84   2.55812526233389E-82
 35   16     1.00000000000000E-99   1.00000000000000E-99
 36   16     1.00000000000000E-99   1.00000000000000E-99
 37   16     1.00000000000000E-99   1.00000000000000E-99
 38   16     1.00000000000000E-99   1.00000000000000E-99
 39   16     1.00000000000000E-99   1.00000000000000E-99
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
  9   17     3.06055959829632E-36   7.95745495557042E-35
 10   17     8.55476717646735E-32   2.30978713764619E-30
 11   17     6.87317131730835E-26   1.92448796884634E-24
 12   17     1.68001326876812E-23   4.87203847942755E-22
 13   17     6.64636306426711E-15   1.99390891928013E-13
 14   17     4.27787740681495E-12   1.32614199611263E-10
 15   17     4.98361858786222E-09   1.59475794811591E-07
 16   17     6.64597287149218E-10   2.19317104759242E-08
 17   17     8.70673473169697E-11   2.96028980877697E-09
 18   17     5.30822415223282E-11   1.85787845328149E-09
 19   17     5.13171709561644E-17   1.84741815442192E-15
 20   17     6.21982813230886E-17   2.30133640895428E-15
 21   17     5.75663200517603E-22   2.18752016196689E-20
 22   17     1.30147264011826E-23   5.07574329646121E-22
 23   17     1.10755322646395E-26   4.43021290585579E-25
 24   17     9.44385535053402E-30   3.87198069371895E-28
 25   17     3.78570459137750E-35   1.58999592837855E-33
 26   17     1.20282131706617E-35   5.17213166338455E-34
 27   17     3.91682891557295E-37   1.72340472285210E-35
 28   17     3.95409233072840E-41   1.77934154882778E-39
 29   17     7.55743700004367E-45   3.47642102002009E-43
 30   17     5.70576637099597E-48   2.68171019436811E-46
 31   17     9.58387287280127E-51   4.60025897894461E-49
 32   17     1.89013552619531E-54   9.26166407835701E-53
 33   17     1.19777780016128E-60   5.98888900080640E-59
 34   17     9.43465768849222E-64   4.81167542113103E-62
 35   17     1.44682010339202E-75   7.52346453763850E-74
 36   17     1.27914429368342E-88   6.77946475652214E-87
 37   17     1.00000000000000E-99   1.00000000000000E-99
 38   17     1.00000000000000E-99   1.00000000000000E-99
 39   17     1.00000000000000E-99   1.00000000000000E-99
 40   17     1.00000000000000E-99   1.00000000000000E-99
 41   17     1.00000000000000E-99   1.00000000000000E-99
 42   17     1.00000000000000E-99   1.00000000000000E-99
 43   17     1.00000000000000E-99   1.00000000000000E-99
 44   17     1.00000000000000E-99   1.00000000000000E-99
 45   17     1.00000000000000E-99   1.00000000000000E-99
 46   17     1.00000000000000E-99   1.00000000000000E-99
  9   18     7.07603607370027E-55   1.91052973989907E-53
 10   18     8.07570866808993E-35   2.26119842706518E-33
 11   18     5.51317710513386E-28   1.59882136048882E-26
 12   18     4.18535026076581E-25   1.25560507822974E-23
 13   18     1.38195427247331E-20   4.28405824466725E-19
 14   18     1.51798699771743E-13   4.85755839269578E-12
 15   18     1.14149048567916E-07   3.76691860274122E-06
 16   18     1.20079727170676E-06   4.08271072380299E-05
 17   18     1.25020820554650E-06   4.37572871941276E-05
 18   18     1.07517439858172E-08   3.87062783489419E-07
 19   18     4.18326343815422E-13   1.54780747211706E-11
 20   18     2.55255267167646E-14   9.69970015237053E-13
 21   18     6.91250700087360E-18   2.69587773034070E-16
 22   18     1.53308984818790E-19   6.13235939275160E-18
 23   18     5.21136448590694E-24   2.13665943922185E-22
 24   18     2.70484568342107E-27   1.13603518703685E-25
 25   18     7.94193332237057E-28   3.41503132861934E-26
 26   18     1.06012085802878E-30   4.66453177532664E-29
 27   18     9.41226587803905E-35   4.23551964511757E-33
 28   18     2.04507965434566E-37   9.40736640999005E-36
 29   18     7.31647123231246E-40   3.43874147918686E-38
 30   18     9.70812765647277E-41   4.65990127510693E-39
 31   18     2.36849932219394E-46   1.16056466787503E-44
 32   18     2.79138397665579E-49   1.39569198832789E-47
 33   18     6.48766747619735E-55   3.30871041286065E-53
 34   18     7.69023662201798E-57   3.99892304344935E-55
 35   18     1.13574594871421E-63   6.01945352818530E-62
 36   18     2.06392232744897E-68   1.11451805682245E-66
 37   18     1.36523547594077E-82   7.50879511767421E-81
 38   18     3.93012759462285E-94   2.20087145298879E-92
 39   18     1.00000000000000E-99   1.00000000000000E-99
 40   18     1.00000000000000E-99   1.00000000000000E-99
 41   18     1.00000000000000E-99   1.00000000000000E-99
 42   18     1.00000000000000E-99   1.00000000000000E-99
 43   18     1.00000000000000E-99   1.00000000000000E-99
 44   18     1.00000000000000E-99   1.00000000000000E-99
 45   18     1.00000000000000E-99   1.00000000000000E-99
 46   18     1.00000000000000E-99   1.00000000000000E-99
 47   18     1.00000000000000E-99   1.00000000000000E-99
 48   18     1.00000000000000E-99   1.00000000000000E-99
 49   18     1.00000000000000E-99   1.00000000000000E-99
 10   19     2.00813786884767E-62   5.82359981965824E-61
 11   19     1.93917628658156E-42   5.81752885974468E-41
 12   19     2.74892079015359E-32   8.52165444947614E-31
 13   19     4.69665262146921E-27   1.50292883887015E-25
 14   19     6.78280896230761E-24   2.23832695756151E-22
 15   19     8.03541068277175E-16   2.73203963214240E-14
 16   19     1.94221856504842E-12   6.79776497766948E-11
 17   19     8.81126745991627E-09   3.17205628556986E-07
 18   19     4.44370854453367E-10   1.64417216147746E-08
 19   19     1.17250622109897E-10   4.45552364017608E-09
 20   19     2.20410510147718E-10   8.59600989576099E-09
 21   19     3.30490216820547E-15   1.32196086728219E-13
 22   19     1.01918462209634E-17   4.17865695059498E-16
 23   19     5.45390538512773E-22   2.29064026175365E-20
 24   19     1.18245568658739E-22   5.08455945232579E-21
 25   19     2.65020994987014E-25   1.16609237794286E-23
 26   19     3.25525684965984E-28   1.46486558234693E-26
 27   19     5.13153324668798E-32   2.36050529347647E-30
 28   19     4.04589987276210E-33   1.90157294019819E-31
 29   19     5.96432864715645E-34   2.86287775063510E-32
 30   19     1.76245881662616E-37   8.63604820146820E-36
 31   19     2.07795534995530E-42   1.03897767497765E-40
 32   19     2.22148330063591E-45   1.13295648332431E-43
 33   19     3.69488302969590E-49   1.92133917544187E-47
 34   19     3.74402017250358E-52   1.98433069142690E-50
 35   19     4.21602154663603E-57   2.27665163518346E-55
 36   19     4.30071956933314E-65   2.36539576313323E-63
 37   19     2.90839131664460E-77   1.62869913732098E-75
 38   19     1.36046998256818E-87   7.75467890063865E-86
 39   19     1.00000000000000E-99   1.00000000000000E-99
 40   19     1.00000000000000E-99   1.00000000000000E-99
 41   19     1.00000000000000E-99   1.00000000000000E-99
 42   19     1.00000000000000E-99   1.00000000000000E-99
 43   19     1.00000000000000E-99   1.00000000000000E-99
 44   19     1.00000000000000E-99   1.00000000000000E-99
 45   19     1.00000000000000E-99   1.00000000000000E-99
 46   19     1.00000000000000E-99   1.00000000000000E-99
 47   19     1.00000000000000E-99   1.00000000000000E-99
 48   19     1.00000000000000E-99   1.00000000000000E-99
 49   19     1.00000000000000E-99   1.00000000000000E-99
 50   19     1.00000000000000E-99   1.00000000000000E-99
 51   19     1.00000000000000E-99   1.00000000000000E-99
 10   20     2.02095300729361E-84   6.06285902188083E-83
 11   20     1.10086649545694E-57   3.41268613591653E-56
 12   20     1.51933559965659E-35   4.86187391890109E-34
 13   20     7.89309827712681E-29   2.60472243145185E-27
 14   20     9.90838083636657E-25   3.36884948436463E-23
 15   20     8.23941935492378E-20   2.88379677422332E-18
 16   20     1.30073409478279E-13   4.68264274121804E-12
 17   20     3.48853315065191E-08   1.29075726574121E-06
 18   20     5.49460823920664E-07   2.08795113089852E-05
 19   20     4.77300896351603E-07   1.86147349577125E-05
 20   20     1.32670708772204E-05   5.30682835088817E-04
 21   20     9.24951630912678E-11   3.79230168674198E-09
 22   20     2.89408868797401E-14   1.21551724894909E-12
 23   20     2.19740202930600E-15   9.44882872601578E-14
 24   20     2.31222680079018E-18   1.01737979234768E-16
 25   20     1.71987240784253E-23   7.73942583529140E-22
 26   20     3.48354033015630E-25   1.60242855187190E-23
 27   20     5.45180679138561E-26   2.56234919195124E-24
 28   20     4.11283866173549E-28   1.97416255763304E-26
 29   20     3.82929637426071E-31   1.87635522338775E-29
 30   20     2.28441131962033E-33   1.14220565981017E-31
 31   20     1.57873188972980E-36   8.05153263762196E-35
 32   20     1.17971744719014E-38   6.13453072538871E-37
 33   20     1.83465546305451E-42   9.72367395418890E-41
 34   20     7.17513439501511E-46   3.87457257330816E-44
 35   20     1.93636535018138E-51   1.06500094259976E-49
 36   20     3.91086210409359E-55   2.19008277829241E-53
 37   20     1.68418131399900E-62   9.59983348979431E-61
 38   20     1.40486867415620E-72   8.14823831010595E-71
 39   20     8.73809209177025E-87   5.15547433414445E-85
 40   20     3.76854577682809E-97   2.26112746609685E-95
 41   20     1.00000000000000E-99   1.00000000000000E-99
 42   20     1.00000000000000E-99   1.00000000000000E-99
 43   20     1.00000000000000E-99   1.00000000000000E-99
 44   20     1.00000000000000E-99   1.00000000000000E-99
 45   20     1.00000000000000E-99   1.00000000000000E-99
 46   20     1.00000000000000E-99   1.00000000000000E-99
 47   20     1.00000000000000E-99   1.00000000000000E-99
 48   20     1.00000000000000E-99   1.00000000000000E-99
 49   20     1.00000000000000E-99   1.00000000000000E-99
 50   20     1.00000000000000E-99   1.00000000000000E-99
 51   20     1.00000000000000E-99   1.00000000000000E-99
 52   20     1.00000000000000E-99   1.00000000000000E-99
 53   20     1.00000000000000E-99   1.00000000000000E-99
