    time    temp    dens
   9.96826643036671E-01   5.90636120690575E-02   8.01864312060387E-01
     nin     zin       y       x
 13   14     1.24992069149789E-08   3.37478586704430E-07
 14   14     1.74526281911241E-06   4.88673589351474E-05
 15   14     4.91753482822764E-07   1.42608510018602E-05
 16   14     1.31528673752680E-06   3.94586021258039E-05
 17   14     4.77327694421758E-09   1.47971585270745E-07
 18   14     3.88387607828533E-10   1.24284034505131E-08
 19   14     6.44002165781134E-14   2.12520714707774E-12
 20   14     6.59702773888320E-14   2.24298943122029E-12
 21   14     1.93626304569640E-17   6.77692065993740E-16
 22   14     1.19897153106371E-19   4.31629751182935E-18
 23   14     5.08251542887943E-23   1.88053070868539E-21
 24   14     2.08692375052027E-24   7.93031025197701E-23
 25   14     1.34594305651740E-27   5.24917792041784E-26
 26   14     5.86288769067781E-29   2.34515507627112E-27
 27   14     6.13203656446139E-32   2.51413499142917E-30
 28   14     3.64732286033019E-35   1.53187560133868E-33
 29   14     1.87494678093853E-39   8.06227115803568E-38
 30   14     4.26197396561746E-45   1.87526854487168E-43
 31   14     3.06755218974386E-65   1.38039848538474E-63
 32   14     2.62093214409420E-72   1.20562878628333E-70
 33   14     1.30058756153496E-95   6.11276153921430E-94
 34   14     4.25535665782004E-94   2.04257119575362E-92
 35   14     1.05808849819155E-92   5.18463364113860E-91
 36   14     3.42752049948511E-96   1.71376024974256E-94
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.62558988904990E-23   3.73885674481477E-22
  9   15     1.66291839839352E-22   3.99100415614445E-21
 10   15     2.59430537197619E-23   6.48576342994048E-22
 11   15     7.49348908073937E-18   1.94830716099224E-16
 12   15     1.78228906894134E-10   4.81218048614162E-09
 13   15     3.98418518169248E-10   1.11557185087389E-08
 14   15     7.35801025693431E-08   2.13382297451095E-06
 15   15     1.31603242273487E-07   3.94809726820462E-06
 16   15     1.06419235961047E-06   3.29899631479247E-05
 17   15     1.56387195773589E-09   5.00439026475485E-08
 18   15     9.71094282499274E-09   3.20461113224760E-07
 19   15     4.22757747049364E-12   1.43737633996784E-10
 20   15     1.79710901103941E-12   6.28988153863794E-11
 21   15     1.75224220863248E-15   6.30807195107692E-14
 22   15     6.07472929595877E-17   2.24764983950474E-15
 23   15     1.77690631544205E-19   6.75224399867977E-18
 24   15     1.01336564234795E-21   3.95212600515700E-20
 25   15     4.62215216546584E-24   1.84886086618634E-22
 26   15     6.62786542511298E-26   2.71742482429632E-24
 27   15     9.51004142302235E-29   3.99421739766939E-27
 28   15     2.62788698022463E-31   1.12999140149659E-29
 29   15     7.76212607130022E-34   3.41533547137210E-32
 30   15     4.70295403616617E-37   2.11632931627478E-35
 31   15     1.97201373824256E-41   9.07126319591576E-40
 32   15     3.01132530247448E-47   1.41532289216301E-45
 33   15     3.80877596838838E-75   1.82821246482642E-73
 34   15     6.03457251873767E-88   2.95694053418146E-86
 35   15     2.20777157706182E-82   1.10388578853091E-80
