    time    temp    dens
   1.98829473035399E-01   4.59895836170099E-01   3.62455712573817E+02
     nin     zin       y       x
  1    0     4.20838432151354E-10   4.20838432151354E-10
  0    1     5.21325889515018E-01   5.21325889515018E-01
  1    1     6.50169251997631E-08   1.30033850399526E-07
  2    1     1.55439117369114E-09   4.66317352107341E-09
  1    2     2.33798805063209E-06   7.01396415189626E-06
  2    2     1.17679078956721E-01   4.70716315826884E-01
  4    2     2.55559219575209E-27   1.53335531745125E-26
  3    3     7.56372110450743E-17   4.53823266270446E-16
  4    3     1.11258125093405E-11   7.78806875653833E-11
  5    3     9.23260664767996E-22   7.38608531814397E-21
  6    3     8.37939577952807E-26   7.54145620157526E-25
  3    4     1.90650897702588E-07   1.33455628391811E-06
  5    4     3.66864386707461E-20   3.30177948036715E-19
  6    4     6.72929761084074E-21   6.72929761084074E-20
  7    4     1.05744269487411E-32   1.16318696436152E-31
  8    4     2.79210438656893E-39   3.35052526388271E-38
  3    5     2.84170827576392E-13   2.27336662061114E-12
  5    5     6.47183583435718E-16   6.47183583435718E-15
  6    5     4.44484093211199E-13   4.88932502532319E-12
  7    5     7.79683287365963E-20   9.35619944839156E-19
  8    5     1.72947439696484E-22   2.24831671605429E-21
  9    5     4.76744925881721E-30   6.67442896234409E-29
  3    6     1.18820374992173E-11   1.06938337492956E-10
  4    6     1.44389587782784E-07   1.44389587782784E-06
  5    6     4.22923527854816E-06   4.65215880640298E-05
  6    6     1.63387717268203E-07   1.96065260721843E-06
  7    6     2.30723189036548E-09   2.99940145747512E-08
  8    6     3.64047216153479E-12   5.09666102614870E-11
  9    6     1.37067986272682E-22   2.05601979409023E-21
 10    6     6.33010753119015E-23   1.01281720499042E-21
 11    6     6.89266958056498E-31   1.17175382869605E-29
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     9.55446828446228E-24   1.05099151129085E-22
  5    7     1.43744303242245E-07   1.72493163890694E-06
  6    7     4.87744047735856E-07   6.34067262056612E-06
  7    7     1.69728991494777E-07   2.37620588092688E-06
  8    7     1.16815312005067E-11   1.75222968007600E-10
  9    7     9.69135804937403E-20   1.55061728789984E-18
 10    7     1.04728576501370E-12   1.78038580052330E-11
 11    7     3.23412249985519E-17   5.82142049973935E-16
 12    7     6.35741639098464E-18   1.20790911428708E-16
 13    7     9.98014405137815E-23   1.99602881027563E-21
 14    7     3.36824293325249E-23   7.07331015983024E-22
  5    8     4.80313381679142E-07   6.24407396182885E-06
  6    8     2.19358101788078E-05   3.07101342503310E-04
  7    8     1.29923965122942E-05   1.94885947684413E-04
  8    8     3.40019205917229E-05   5.44030729467566E-04
  9    8     6.13965173765262E-09   1.04374079540094E-07
 10    8     1.23800327424295E-14   2.22840589363731E-13
 11    8     2.25744629742977E-21   4.28914796511656E-20
 12    8     2.63117798425419E-22   5.26235596850839E-21
 13    8     8.87609694425627E-28   1.86398035829382E-26
 14    8     1.28337548790147E-27   2.82342607338324E-26
  5    9     6.79015286201272E-75   9.50621400681780E-74
  6    9     6.98558380999020E-20   1.04783757149853E-18
  7    9     2.57525921141954E-18   4.12041473827126E-17
  8    9     4.84128238260404E-06   8.23018005042687E-05
  9    9     2.90688369763760E-10   5.23239065574769E-09
 10    9     8.30278436993526E-14   1.57752903028770E-12
 11    9     2.13773116207055E-19   4.27546232414110E-18
 12    9     1.58448018656705E-20   3.32740839179081E-19
 13    9     3.77612654910090E-21   8.30747840802199E-20
 14    9     8.23162296696377E-24   1.89327328240167E-22
 15    9     1.55961071527634E-26   3.74306571666322E-25
 16    9     2.89112917289277E-27   7.22782293223192E-26
 17    9     2.50521586814998E-28   6.51356125718994E-27
  7   10     3.70415639497942E-14   6.29706587146501E-13
  8   10     8.03613797024253E-07   1.44650483464365E-05
  9   10     2.06003253510331E-09   3.91406181669629E-08
 10   10     3.76209605724978E-08   7.52419211449956E-07
 11   10     1.27452267714081E-12   2.67649762199570E-11
 12   10     1.25995918454732E-11   2.77191020600411E-10
 13   10     1.43079226847287E-18   3.29082221748760E-17
 14   10     1.52870664528372E-18   3.66889594868093E-17
 15   10     2.51065453694809E-20   6.27663634237024E-19
 16   10     4.49064069567458E-20   1.16756658087539E-18
 17   10     3.31066787510685E-25   8.93880326278851E-24
 18   10     1.25754760496677E-27   3.52113329390696E-26
 19   10     2.71217000429233E-30   7.86529301244776E-29
 20   10     4.02032681665124E-32   1.20609804499537E-30
 21   10     4.70813393772401E-37   1.45952152069444E-35
 22   10     8.00133865724840E-40   2.56042837031949E-38
 23   10     3.04823098967839E-46   1.00591622659387E-44
 24   10     1.09998470248062E-46   3.73994798843409E-45
 25   10     2.13174259407927E-82   7.46109907927744E-81
 26   10     2.71370638902550E-91   9.76934300049181E-90
 27   10     6.62043215339036E-89   2.44955989675443E-87
 28   10     1.04959399074802E-97   3.98845716484248E-96
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     5.27335246922169E-17   1.00193696915212E-15
  9   11     7.96002839550330E-10   1.59200567910066E-08
 10   11     3.71878575781204E-10   7.80945009140528E-09
 11   11     1.90201297392502E-10   4.18442854263504E-09
 12   11     3.20703178840711E-11   7.37617311333635E-10
 13   11     2.85483708715096E-16   6.85160900916231E-15
 14   11     3.49161587034347E-16   8.72903967585867E-15
 15   11     2.58126509169547E-17   6.71128923840823E-16
 16   11     3.67876201444925E-18   9.93265743901298E-17
 17   11     1.09441877652933E-22   3.06437257428211E-21
 18   11     1.53630177380265E-23   4.45527514402768E-22
 19   11     4.42272922146998E-26   1.32681876644099E-24
 20   11     4.15344037964754E-28   1.28756651769074E-26
 21   11     1.39537766232206E-32   4.46520851943058E-31
 22   11     7.83882407941514E-35   2.58681194620700E-33
 23   11     2.17399366041395E-38   7.39157844540744E-37
 24   11     2.47618321636949E-41   8.66664125729323E-40
 25   11     3.19337776536117E-49   1.14961599553002E-47
 26   11     4.15610603177215E-50   1.53775923175569E-48
 27   11     3.69245905048791E-77   1.40313443918541E-75
 28   11     7.42410065162191E-87   2.89539925413255E-85
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
