    time    temp    dens
   1.10218652781691E-01   5.11030406342145E+00   4.99358168502861E+05
     nin     zin       y       x
  1    0     1.65681367321215E-05   1.65681367321215E-05
  0    1     5.45442753800052E-01   5.45442753800052E-01
  1    1     1.31210312064616E-08   2.62420624129232E-08
  2    1     8.65373785767275E-13   2.59612135730182E-12
  1    2     5.02844287508316E-09   1.50853286252495E-08
  2    2     1.13634298069265E-01   4.54537192277061E-01
  4    2     2.52237565206078E-21   1.51342539123647E-20
  3    3     1.20863005894518E-13   7.25178035367108E-13
  4    3     1.06365082073436E-16   7.44555574514053E-16
  5    3     2.33179006416588E-25   1.86543205133270E-24
  6    3     6.38036315813996E-32   5.74232684232597E-31
  3    4     8.13772934508337E-14   5.69641054155836E-13
  5    4     1.20289144549954E-16   1.08260230094959E-15
  6    4     5.38458343633995E-21   5.38458343633995E-20
  7    4     1.49658904316818E-30   1.64624794748499E-29
  8    4     1.93613063086637E-38   2.32335675703965E-37
  3    5     2.03047937971239E-19   1.62438350376991E-18
  5    5     9.02547321272591E-16   9.02547321272591E-15
  6    5     2.30900173696522E-17   2.53990191066174E-16
  7    5     6.45685867854824E-25   7.74823041425789E-24
  8    5     1.15515601177170E-29   1.50170281530322E-28
  9    5     5.29093888355050E-39   7.40731443697070E-38
  3    6     4.40789582733526E-24   3.96710624460173E-23
  4    6     8.95267955678853E-15   8.95267955678853E-14
  5    6     7.85657923862610E-14   8.64223716248871E-13
  6    6     1.14971043668302E-08   1.37965252401963E-07
  7    6     7.18661905436352E-14   9.34260477067258E-13
  8    6     1.22583818659381E-16   1.71617346123134E-15
  9    6     1.61253762464471E-25   2.41880643696706E-24
 10    6     2.15673455292225E-32   3.45077528467560E-31
 11    6     1.82121528879606E-41   3.09606599095331E-40
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     3.26364163202757E-23   3.59000579523033E-22
  5    7     3.13873627057692E-19   3.76648352469230E-18
  6    7     2.56297587505994E-12   3.33186863757792E-11
  7    7     3.47482713255136E-12   4.86475798557190E-11
  8    7     2.12975659147901E-14   3.19463488721852E-13
  9    7     6.02569903993031E-22   9.64111846388850E-21
 10    7     8.93510312747651E-24   1.51896753167101E-22
 11    7     3.10459417007665E-27   5.58826950613798E-26
 12    7     1.14214764684431E-25   2.17008052900419E-24
 13    7     3.43343694244898E-33   6.86687388489796E-32
 14    7     1.54840472727190E-24   3.25164992727099E-23
  5    8     1.77104384720877E-23   2.30235700137141E-22
  6    8     6.30178797182791E-14   8.82250316055908E-13
  7    8     6.45162506309935E-13   9.67743759464902E-12
  8    8     1.24086098724603E-08   1.98537757959364E-07
  9    8     3.75883188745984E-14   6.39001420868172E-13
 10    8     2.34895003933691E-19   4.22811007080643E-18
 11    8     3.58086480088884E-25   6.80364312168880E-24
 12    8     5.17433376136282E-27   1.03486675227256E-25
 13    8     2.67066169877108E-34   5.60838956741927E-33
 14    8     1.47687927958185E-36   3.24913441508006E-35
  5    9     2.68143730180457E-34   3.75401222252640E-33
  6    9     9.60733759450223E-21   1.44110063917533E-19
  7    9     1.32335137296842E-18   2.11736219674947E-17
  8    9     4.66762490560933E-13   7.93496233953586E-12
  9    9     4.89221123297502E-16   8.80598021935503E-15
 10    9     1.03222450951416E-16   1.96122656807690E-15
 11    9     1.29692387514065E-20   2.59384775028129E-19
 12    9     5.87751034306667E-24   1.23427717204400E-22
 13    9     1.78746509834311E-29   3.93242321635485E-28
 14    9     4.20797051509518E-31   9.67833218471892E-30
 15    9     2.16697220198700E-34   5.20073328476881E-33
 16    9     1.94232170496901E-35   4.85580426242253E-34
 17    9     9.28109025184059E-41   2.41308346547855E-39
  7   10     3.18086268717913E-23   5.40746656820452E-22
  8   10     1.01355745338653E-15   1.82440341609575E-14
  9   10     2.94880141700897E-15   5.60272269231704E-14
 10   10     8.22271452598275E-11   1.64454290519655E-09
 11   10     1.68431469675063E-14   3.53706086317631E-13
