    time    temp    dens
   1.52389732824189E-01   9.98361164692879E-01   3.70148641847568E+03
     nin     zin       y       x
  1    0     2.78198461252609E-10   2.78198461252609E-10
  0    1     5.22419837706615E-01   5.22419837706615E-01
  1    1     1.46372651069263E-08   2.92745302138526E-08
  2    1     6.78949577866146E-12   2.03684873359844E-11
  1    2     9.86505053596670E-07   2.95951516079001E-06
  2    2     1.17479254223956E-01   4.69917016895823E-01
  4    2     2.48024803071848E-29   1.48814881843109E-28
  3    3     4.21733445802616E-17   2.53040067481570E-16
  4    3     1.26820789474304E-12   8.87745526320129E-12
  5    3     6.18571767790706E-22   4.94857414232565E-21
  6    3     3.04386648457183E-27   2.73947983611464E-26
  3    4     3.60348109174203E-07   2.52243676421942E-06
  5    4     1.65260281874748E-20   1.48734253687273E-19
  6    4     6.14629851031302E-24   6.14629851031302E-23
  7    4     1.77954249633778E-37   1.95749674597156E-36
  8    4     4.38492931514172E-43   5.26191517817006E-42
  3    5     2.66327327166395E-13   2.13061861733116E-12
  5    5     1.00631945139694E-13   1.00631945139694E-12
  6    5     6.77751144182584E-16   7.45526258600843E-15
  7    5     3.14967595728840E-22   3.77961114874608E-21
  8    5     2.34538733854276E-26   3.04900354010559E-25
  9    5     1.34059831170629E-37   1.87683763638881E-36
  3    6     8.63860631190851E-14   7.77474568071766E-13
  4    6     9.36562020022811E-12   9.36562020022811E-11
  5    6     1.82580767452138E-07   2.00838844197352E-06
  6    6     2.65149760382503E-09   3.18179712459004E-08
  7    6     5.24676692104678E-14   6.82079699736081E-13
  8    6     5.00816883044222E-15   7.01143636261911E-14
  9    6     5.86807993829700E-27   8.80211990744550E-26
 10    6     6.53634536838275E-27   1.04581525894124E-25
 11    6     7.72266969538150E-39   1.31285384821486E-37
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.81887058688013E-23   2.00075764556814E-22
  5    7     1.67136963485056E-11   2.00564356182067E-10
  6    7     2.33489031973372E-09   3.03535741565384E-08
  7    7     2.03097390635450E-08   2.84336346889630E-07
  8    7     4.90004479434244E-13   7.35006719151366E-12
  9    7     1.85489250319833E-20   2.96782800511733E-19
 10    7     6.98099876823536E-13   1.18676979060001E-11
 11    7     1.18398532259373E-17   2.13117358066872E-16
 12    7     5.27359210922346E-19   1.00198250075246E-17
 13    7     1.42391938963214E-25   2.84783877926428E-24
 14    7     1.10872627965211E-24   2.32832518726943E-23
