# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      0      1     6.85006956972871E-12   6.85006956972871E-12
    1      1      0     9.11626349136634E-02   9.11626349136634E-02
    2      1      1     1.58406960176112E-06   3.16813920352223E-06
    3      1      2     4.91440107007741E-07   1.47432032102322E-06
    3      2      1     1.81902222959235E-06   5.45706668877706E-06
    4      2      2     2.21332686681248E-01   8.85330746724992E-01
    6      3      3     9.71047011242334E-14   5.82628206745400E-13
    7      3      4     7.49000833629758E-10   5.24300583540831E-09
    7      4      3     1.45315844259103E-10   1.01721090981372E-09
    9      4      5     3.65416332916170E-13   3.28874699624553E-12
    9      6      3     2.26100522558999E-13   2.03490470303099E-12
   10      4      6     1.12060232888241E-13   1.12060232888241E-12
   10      5      5     1.45626498662229E-09   1.45626498662229E-08
   11      5      6     1.94478987664797E-06   2.13926886431277E-05
   11      6      5     2.98484142790685E-14   3.28332557069753E-13
   12      6      6     4.39310658575091E-06   5.27172790290109E-05
   13      6      7     1.55213280907669E-06   2.01777265179969E-05
   13      7      6     6.37234409370719E-18   8.28404732181934E-17
   14      6      8     3.29460487656358E-10   4.61244682718901E-09
   14      7      7     6.06694568224861E-06   8.49372395514806E-05
   15      7      8     7.24953859997993E-06   1.08743078999699E-04
   15      8      7     2.65278864753100E-18   3.97918297129650E-17
   15      9      6     8.05012031899020E-16   1.20751804784853E-14
   16      8      8     6.87980909093705E-06   1.10076945454993E-04
   16      9      7     1.98842729575035E-15   3.18148367320056E-14
   17      8      9     1.28178854171399E-07   2.17904052091378E-06
   18      8     10     1.02897469888022E-07   1.85215445798440E-06
   18      9      9     3.57508931137035E-09   6.43516076046663E-08
   19      9     10     1.23276052464811E-07   2.34224499683141E-06
   19     10      9     6.65735192101964E-20   1.26489686499373E-18
   20     10     10     1.49211560365837E-06   2.98423120731674E-05
   21     10     11     1.93674834041915E-07   4.06717151488022E-06
   21     11     10     1.83559329554389E-20   3.85474592064216E-19
   22     10     12     2.58502180224826E-07   5.68704796494618E-06
   22     11     11     4.85439193319535E-07   1.06796622530298E-05
   23     11     12     4.14945893506884E-07   9.54375555065834E-06
   23     12     11     6.01033029355472E-20   1.38237596751758E-18
   24     11     13     2.56163749199821E-10   6.14792998079570E-09
   24     12     12     4.20006037058746E-07   1.00801448894099E-05
   25     11     14     1.93972559829253E-19   4.84931399573132E-18
   25     12     13     1.41002293541308E-06   3.52505733853271E-05
   25     13     12     1.48943946326623E-20   3.72359865816557E-19
   26     12     14     9.55111475217378E-07   2.48328983556518E-05
   26     13     13     2.15310159754380E-07   5.59806415361389E-06
   27     12     15     1.85159774383222E-18   4.99931390834700E-17
   27     13     14     1.77353833958136E-06   4.78855351686968E-05
   27     14     13     4.93447332977425E-20   1.33230779903905E-18
   28     12     16     1.06282111403851E-12   2.97589911930784E-11
   28     13     15     1.89813897318100E-15   5.31478912490681E-14
   28     14     14     3.91078752011387E-06   1.09502050563188E-04
   29     13     16     5.63193332701443E-18   1.63326066483418E-16
   29     14     15     3.44412839204695E-06   9.98797233693614E-05
   29     15     14     1.62625954456827E-20   4.71615267924797E-19
   30     14     16     4.04278611533189E-06   1.21283583459957E-04
   30     15     15     4.01564053208430E-18   1.20469215962529E-16
   31     14     17     5.50623654480105E-10   1.70693332888833E-08
   31     15     16     3.38832812396563E-06   1.05038171842934E-04
   31     16     15     1.70545609975838E-20   5.28691390925099E-19
   32     14     18     3.88585746567114E-10   1.24347438901477E-08
   32     15     17     1.93407082936948E-09   6.18902665398234E-08
   32     16     16     3.09466822425120E-06   9.90293831760384E-05
   33     15     18     1.42937417590575E-08   4.71693478048898E-07
   33     16     17     2.77429189336713E-06   9.15516324811154E-05
   34     16     18     3.92121675791316E-06   1.33321369769048E-04
   34     17     17     2.58868370031705E-20   8.80152458107795E-19
   35     16     19     1.88957531814469E-09   6.61351361350640E-08
   35     17     18     3.52688040732942E-06   1.23440814256530E-04
   36     16     20     2.09125545072651E-08   7.52851962261545E-07
   36     17     19     7.72658368133850E-10   2.78157012528186E-08
   36     18     18     2.10895915499792E-06   7.59225295799250E-05
   37     17     20     2.28590342820075E-07   8.45784268434278E-06
   37     18     19     1.47202909867374E-06   5.44650766509283E-05
   38     16     22     5.63978366604283E-15   2.14311779309628E-13
   38     17     21     1.53451162777412E-14   5.83114418554165E-13
   38     18     20     2.46140304153810E-06   9.35333155784479E-05
   38     19     19     1.34585363204663E-17   5.11424380177720E-16
   39     17     22     4.13945080066659E-15   1.61438581225997E-13
   39     18     21     3.39170105906525E-09   1.32276341303545E-07
   39     19     20     3.84411264814953E-06   1.49920393277832E-04
   40     18     22     1.94896729800515E-10   7.79586919202059E-09
   40     19     21     3.41412984939441E-08   1.36565193975777E-06
   40     20     20     2.16939575894204E-05   8.67758303576815E-04
   41     18     23     7.07566135313510E-13   2.90102115478539E-11
   41     19     22     1.09525754565155E-08   4.49055593717137E-07
   41     20     21     1.21379938806945E-06   4.97657749108476E-05
   42     18     24     2.57272569502287E-12   1.08054479190961E-10
   42     19     23     2.24803543542422E-10   9.44174882878171E-09
   42     20     22     1.81781527352148E-06   7.63482414879023E-05
   43     18     25     1.73829016912429E-20   7.47464772723446E-19
   43     19     24     6.82893315817406E-11   2.93644125801485E-09
   43     20     23     1.80097001114006E-06   7.74417104790224E-05
   43     21     22     9.95818789577172E-08   4.28202079518184E-06
   44     19     25     2.60018797855789E-18   1.14408271056547E-16
   44     20     24     2.21439826621419E-07   9.74335237134246E-06
   44     21     23     4.96808679771964E-09   2.18595819099664E-07
   44     22     22     4.21684652956841E-06   1.85541247301010E-04
   45     19     26     3.00876096355914E-20   1.35394243360161E-18
   45     20     25     1.43963045080746E-06   6.47833702863355E-05
   45     21     24     1.42124448331362E-06   6.39560017491128E-05
   45     22     23     7.41295660430251E-08   3.33583047193613E-06
   46     20     26     1.02023599867875E-07   4.69308559392224E-06
   46     21     25     3.09385917879981E-09   1.42317522224791E-07
   46     22     24     1.31228140338874E-06   6.03649445558821E-05
