# 1:iteration 2:time[s], 3:T[GK], 4:rho[g/cm3], 5:Ye 
# 6:R[km], 7:Y_n, 8:Y_p, 9:Y_alpha, 10:Y_lights 
# 11:Y_heavies 12:<Z> 13:<A> 14:entropy [kB/baryon] (15:Sn [MeV])
       0  9.7719841200000004E-02   9.9992733299999959E+00   3.8838037400000039E+06   9.0000000000000013E-01   3.2196483300000004E+01   9.7285990497671837E-02   8.9728590023518073E-01   1.3416818150220710E-03   3.0613684554862665E-05   1.8552345255966324E-12   9.0366509734139400E-01   1.0040723303793266E+00   9.8473256151948505E+01
      10  9.7719842533000006E-02   9.9992726357986257E+00   3.8838029036673917E+06   8.9999999855164370E-01   3.2196485298490941E+01   9.7285986956738624E-02   8.9728589379750467E-01   1.3416843092609175E-03   3.0613685354223920E-05   1.8552380426519072E-12   9.0366510267732103E-01   1.0040723379239729E+00   9.8473256562625394E+01
      20  9.7729148917370584E-02   9.9944272201208157E+00   3.8779684069204326E+06   8.9998989111846084E-01   3.2210440854330272E+01   9.7261038283107254E-02   8.9724073004486116E-01   1.3592095644032536E-03   3.0619196216635157E-05   1.8799492989776531E-12   9.0370266577990266E-01   1.0041253515157018E+00   9.8475916593908650E+01
      30  9.7810542842541051E-02   9.9521284344175314E+00   3.8272951818321128E+06   8.9990175797013705E-01   3.2332874906015370E+01   9.7022611896006791E-02   8.9682603548782269E-01   1.5224679357320019E-03   3.0661240750693500E-05   2.1100688721214081E-12   9.0405882243641311E-01   1.0046194647687465E+00   9.8496624294038369E+01
      40  9.8004084731026980E-02   9.8521190183499794E+00   3.7093292029398284E+06   8.9969378821694801E-01   3.2626751336005000E+01   9.6291642411870257E-02   8.9567912196288679E-01   1.9919123914787559E-03   3.0709813762663794E-05   2.7700261981342512E-12   9.0513055756838445E-01   1.0060429108466016E+00   9.8541769981162872E+01
      50  9.8302797966316913E-02   9.6993427009331459E+00   3.5340591342652170E+06   8.9937526355746478E-01   3.3087997521987354E+01   9.4595312648999869E-02   8.9334573578957466E-01   2.9993944419334493E-03   3.0597637004974958E-05   4.1697585895184517E-12   9.0756967336200001E-01   1.0091112243538065E+00   9.8596324284247558E+01
      60  9.8610662012443617E-02   9.5438940642822576E+00   3.3617369741028734E+06   8.9904587688942439E-01   3.3573268475161520E+01   9.1896488017730649E-02   8.8998813071872340E-01   4.5137217903660157E-03   3.0152239925557834E-05   6.2108903762896641E-12   9.1141515424205755E-01   1.0137582271056429E+00   9.8629856632390499E+01
      70  9.8891788665873670E-02   9.4037284447698664E+00   3.2114527504879753E+06   8.9873931592158185E-01   3.4025311387608312E+01   8.8363630955736780E-02   8.8584214585405929E-01   6.4338270226329984E-03   2.9358862015884294E-05   8.6657107553277151E-12   9.1645534844327259E-01   1.0197120924920691E+00   9.8635815587381458E+01
      80  9.9120802882152970E-02   9.2908039461461254E+00   3.0938262173805600E+06   8.9848191872677641E-01   3.4399944854155436E+01   8.4622249664960084E-02   8.8158596617808427E-01   8.4337005667364708E-03   2.8390352990467959E-05   1.1047959320880812E-11   9.2183163114999567E-01   1.0259879602878461E+00   9.8622087747106349E+01
      90  9.9319171990815094E-02   9.1939037713537690E+00   2.9953064358086395E+06   8.9825112958052267E-01   3.4729141344321214E+01   8.0733030738971714E-02   8.7723516629510911E-01   1.0494248362447818E-02   2.7303646656166483E-05   1.3308889812130529E-11   9.2747613534949869E-01   1.0325354511745777E+00   9.8595400443137862E+01
     100  9.9538691816567076E-02   9.0876603232529369E+00   2.8898137293504071E+06   8.9798536842985743E-01   3.5098575584286010E+01   7.5765206503821056E-02   8.7173581787357801E-01   1.3111772929339521E-02   2.5841618015835772E-05   1.5896593215473314E-11   9.3477956437408682E-01   1.0409741597555922E+00   9.8550699856524176E+01
