# 1:iteration 2:time[s], 3:T[GK], 4:rho[g/cm3], 5:Ye 
# 6:R[km], 7:Y_n, 8:Y_p, 9:Y_alpha, 10:Y_lights 
# 11:Y_heavies 12:<Z> 13:<A> 14:entropy [kB/baryon] (15:Sn [MeV])
       0  9.7719841200000004E-02   9.9992733299999994E+00   3.8838037399999970E+06   4.5000000000000012E-01   3.2196483300000004E+01   5.3141286367792628E-01   4.3141317076617891E-01   9.2530318206798783E-03   8.0610893866647030E-05   3.4972456184198394E-11   4.6288692131218068E-01   1.0286376029159567E+00   9.8144369063603577E+01
      10  9.7719842533000006E-02   9.9992726357986310E+00   3.8838029036673848E+06   4.4999999616858510E-01   3.2196485298490941E+01   5.3141283639615966E-01   4.3141313582168128E-01   9.2530473797012274E-03   8.0610888877619935E-05   3.4972513603834603E-11   4.6288693959369553E-01   1.0286376522996297E+00   9.8144369358859706E+01
      20  9.7729129595701139E-02   9.9944372776121426E+00   3.8779805112640271E+06   4.4997332807215590E-01   3.2210411873908335E+01   5.3122158104720052E-01   4.3116854497025131E-01   9.3620262243590061E-03   8.0575753815151474E-05   3.5374492826142105E-11   4.6301520322723894E-01   1.0289836626783173E+00   9.8145135113213797E+01
      30  9.7818160583267491E-02   9.9481769121057955E+00   3.8225851045030244E+06   4.4972070069499687E-01   3.2344368406497317E+01   5.2926305706010424E-01   4.2870477273012797E-01   1.0467785837388069E-02   8.0199562946151170E-05   3.9430326213178410E-11   4.6434006923077470E-01   1.0325076620070750E+00   9.8137050716955144E+01
      40  9.7979309363379966E-02   9.8648764078915256E+00   3.7242337956564003E+06   4.4927788088502330E-01   3.2588914864638852E+01   5.2510038747722554E-01   4.2365647461413986E-01   1.2770961742062827E-02   7.9323264624438369E-05   4.7739723160125826E-11   4.6721562149215895E-01   1.0399257149535182E+00   9.8108403674873088E+01
      50  9.8109923016820436E-02   9.7977689466327824E+00   3.6462978535861857E+06   4.4893339272332894E-01   3.2789105679280560E+01   5.2108648668039026E-01   4.1895360562973594E-01   1.4950608023255044E-02   7.8409840669235113E-05   5.5425110890575222E-11   4.7005330600155532E-01   1.0470446476483064E+00   9.8072461440099843E+01
      60  9.8239643013022390E-02   9.7314833442191677E+00   3.5704411727470160E+06   4.4860457672135318E-01   3.2989696619942734E+01   5.1648250360956072E-01   4.1369199767152054E-01   1.7417555043871366E-02   7.7306690353951571E-05   6.3910608235014928E-11   4.7337667988308035E-01   1.0552203531733380E+00   9.8024559325840286E+01
      70  9.8357063749539023E-02   9.6717944346336022E+00   3.5030819405161804E+06   4.4831891221890718E-01   3.3172800287641820E+01   5.1175128074522813E-01   4.0838945125519099E-01   1.9926584067572899E-02   7.6130180247924013E-05   7.2309491375935549E-11   4.7686224264339477E-01   1.0636674689524470E+00   9.7971123772014693E+01
      80  9.8457898593537610E-02   9.6207733964288593E+00   3.4462111224630815E+06   4.4808301923833682E-01   3.3331209048403387E+01   5.0724275317042256E-01   4.0340914154552704E-01   2.2299367366409945E-02   7.4980473800650532E-05   8.0041306556081518E-11   4.8024696279957685E-01   1.0717812150434174E+00   9.7916866873049813E+01
      90  9.8557384880304286E-02   9.5706491323968965E+00   3.3909695441591870E+06   4.4785909365026766E-01   3.3488564427320156E+01   5.0238084431617658E-01   3.9809938443533516E-01   2.4842914506777388E-02   7.3718341070154136E-05   8.8108494405798850E-11   4.8396435323283193E-01   1.0806174533340274E+00   9.7853519253139368E+01
