    time    temp    dens
   1.19320640103537E-01   3.20956539721097E+00   1.22781022650440E+05
     nin     zin       y       x
  1    0     7.81102609014454E-09   7.81102609014454E-09
  0    1     7.58617850203968E-01   7.58617850203968E-01
  1    1     8.46629236379033E-11   1.69325847275807E-10
  2    1     8.33610580083298E-15   2.50083174024989E-14
  1    2     4.61475885227867E-08   1.38442765568360E-07
  2    2     6.02848807798071E-02   2.41139523119228E-01
  4    2     2.67975073654081E-28   1.60785044192449E-27
  3    3     1.90151270050879E-15   1.14090762030527E-14
  4    3     4.51151189724550E-18   3.15805832807185E-17
  5    3     2.78302606699321E-29   2.22642085359457E-28
  6    3     4.17611258947197E-37   3.75850133052477E-36
  3    4     1.66265565718773E-12   1.16385896003141E-11
  5    4     3.73042051790017E-20   3.35737846611015E-19
  6    4     2.77297881605723E-24   2.77297881605723E-23
  7    4     3.73831859047616E-37   4.11215044952378E-36
  8    4     7.98327137420666E-47   9.57992564904800E-46
  3    5     3.42848645688435E-18   2.74278916550748E-17
  5    5     1.56603205635518E-15   1.56603205635518E-14
  6    5     1.48656488874311E-22   1.63522137761742E-21
  7    5     4.42427163871882E-25   5.30912596646258E-24
  8    5     1.23035046862753E-30   1.59945560921579E-29
  9    5     4.83301923903505E-43   6.76622693464907E-42
  3    6     2.92447739285434E-22   2.63202965356890E-21
  4    6     1.30265691551111E-15   1.30265691551111E-14
  5    6     7.71012073995277E-15   8.48113281394805E-14
  6    6     3.75635465893492E-11   4.50762559072190E-10
  7    6     2.79013790018602E-15   3.62717927024182E-14
  8    6     2.48283082227205E-20   3.47596315118088E-19
  9    6     2.79479249605525E-26   4.19218874408288E-25
 10    6     3.80414845274308E-22   6.08663752438893E-21
 11    6     1.55073408393359E-26   2.63624794268710E-25
 12    6     2.59409530980224E-18   4.66937155764403E-17
  4    7     1.02620142843265E-15   1.12882157127592E-14
  5    7     4.77138767295657E-20   5.72566520754788E-19
  6    7     7.77615423130400E-14   1.01090005006952E-12
  7    7     7.89479612336611E-13   1.10527145727126E-11
  8    7     3.55567311958314E-18   5.33350967937471E-17
  9    7     2.70181067182768E-23   4.32289707492428E-22
 10    7     4.50755175686792E-20   7.66283798667547E-19
 11    7     2.59170508471086E-22   4.66506915247955E-21
 12    7     3.64480375500900E-19   6.92512713451710E-18
 13    7     2.97621998296027E-25   5.95243996592053E-24
 14    7     7.64436265787492E-19   1.60531615815373E-17
  5    8     1.42182628844157E-23   1.84837417497404E-22
  6    8     6.57382058066862E-13   9.20334881293607E-12
  7    8     8.80828497420494E-11   1.32124274613074E-09
  8    8     3.13241050567866E-09   5.01185680908586E-08
  9    8     6.50365630763961E-16   1.10562157229873E-14
 10    8     1.93447144924485E-23   3.48204860864073E-22
 11    8     8.07367077028248E-26   1.53399744635367E-24
 12    8     5.79352897560038E-25   1.15870579512008E-23
 13    8     6.81166736984041E-27   1.43045014766649E-25
 14    8     1.21038308826145E-31   2.66284279417518E-30
  5    9     3.55832672422242E-32   4.98165741391139E-31
  6    9     9.44225020803850E-21   1.41633753120578E-19
  7    9     5.63441598253969E-17   9.01506557206350E-16
  8    9     1.81629171050420E-13   3.08769590785713E-12
  9    9     3.26552901685135E-16   5.87795223033244E-15
 10    9     2.13744016196706E-20   4.06113630773741E-19
 11    9     9.32211955644823E-25   1.86442391128965E-23
 12    9     4.87222865611533E-26   1.02316801778422E-24
 13    9     7.18208250983804E-28   1.58005815216437E-26
 14    9     1.70796242543677E-29   3.92831357850456E-28
 15    9     5.08292035711130E-29   1.21990088570671E-27
 16    9     2.01496566104878E-32   5.03741415262194E-31
 17    9     3.37169667175761E-35   8.76641134656978E-34
  7   10     5.61277949961735E-23   9.54172514934949E-22
  8   10     6.81547529259509E-15   1.22678555266712E-13
  9   10     6.76489342574619E-14   1.28532975089178E-12
 10   10     2.37214859831353E-11   4.74429719662706E-10
 11   10     2.19928845881899E-16   4.61850576351988E-15
 12   10     1.41107724379618E-18   3.10436993635160E-17
 13   10     2.39314770511204E-25   5.50423972175769E-24
 14   10     5.99941910602292E-27   1.43986058544550E-25
 15   10     5.20856841560033E-26   1.30214210390008E-24
 16   10     5.75340341859021E-30   1.49588488883346E-28
 17   10     7.32969316468863E-33   1.97901715446593E-31
 18   10     4.45200060393725E-37   1.24656016910243E-35
 19   10     3.31427719497879E-41   9.61140386543849E-40
 20   10     5.95005004346593E-44   1.78501501303978E-42
 21   10     9.73029619750199E-48   3.01639182122562E-46
 22   10     4.45339524313812E-48   1.42508647780420E-46
 23   10     2.20454786216433E-58   7.27500794514228E-57
 24   10     4.03173243664618E-64   1.37078902845970E-62
 25   10     3.53545604486441E-70   1.23740961570254E-68
 26   10     2.45894078945876E-80   8.85218684205155E-79
 27   10     6.33506727292150E-80   2.34397489098095E-78
 28   10     1.20529117919924E-86   4.58010648095712E-85
 29   10     3.10194366516405E-93   1.20975802941398E-91
 30   10     1.00000000000000E-99   2.91633318837389E-98
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     3.60098178536856E-20   6.84186539220027E-19
  9   11     1.45695123781226E-16   2.91390247562451E-15
 10   11     7.06953443302520E-13   1.48460223093529E-11
 11   11     2.50140057523928E-14   5.50308126552641E-13
 12   11     5.52445816822533E-16   1.27062537869183E-14
 13   11     3.82815205900659E-22   9.18756494161581E-21
 14   11     6.32869799005674E-25   1.58217449751418E-23
 15   11     2.93521620887344E-24   7.63156214307095E-23
 16   11     8.30157408425049E-28   2.24142500274763E-26
 17   11     3.05677060357745E-27   8.55895769001687E-26
 18   11     5.45014640417458E-31   1.58054245721063E-29
 19   11     3.17462984238688E-35   9.52388952716063E-34
 20   11     1.05545797928497E-39   3.27191973578342E-38
 21   11     2.28100097958488E-43   7.29920313467161E-42
 22   11     1.15453202551240E-44   3.80995568419092E-43
 23   11     2.81202036834865E-50   9.56086925238540E-49
 24   11     3.75199708915452E-56   1.31319898120408E-54
 25   11     1.90502929960900E-66   6.85810547859242E-65
 26   11     6.71256868345017E-66   2.48365041287656E-64
 27   11     3.74669866679159E-76   1.42374549338080E-74
 28   11     4.14211884471440E-79   1.61542634943862E-77
 29   11     6.59014187908663E-85   2.63605675163465E-83
 30   11     5.20768553183963E-91   2.13515106805425E-89
 31   11     5.77382686499108E-93   2.42500728329625E-91
 32   11     5.72498678124452E-97   2.46174431593514E-95
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.19528877050081E-22   2.39057754100162E-21
  9   12     1.57727012955380E-17   3.31226727206298E-16
 10   12     4.07549159509384E-12   8.96608150920644E-11
 11   12     4.71290168452822E-13   1.08396738744149E-11
 12   12     1.48822783134001E-10   3.57174679521603E-09
 13   12     3.09056872597282E-15   7.72642181493204E-14
 14   12     1.39716539322894E-17   3.63263002239525E-16
 15   12     3.47422471595178E-23   9.38040673306981E-22
 16   12     1.29198505119485E-25   3.61755814334557E-24
 17   12     5.13182147030457E-25   1.48822822638832E-23
 18   12     6.41140732545508E-29   1.92342219763653E-27
 19   12     2.18469384695280E-31   6.77255092555367E-30
 20   12     2.84027182656380E-34   9.08886984500415E-33
 21   12     5.16733048052849E-38   1.70521905857440E-36
 22   12     9.73877087733360E-41   3.31118209829342E-39
 23   12     1.91932849822373E-46   6.71764974378305E-45
 24   12     5.26629460560653E-47   1.89586605801835E-45
 25   12     6.05601347991536E-52   2.24072498756868E-50
 26   12     4.21144946050668E-62   1.60035079499254E-60
 27   12     1.50673185780563E-64   5.87625424544198E-63
 28   12     3.02367131383252E-70   1.20946852553301E-68
 29   12     8.37125030654324E-77   3.43221262568273E-75
 30   12     8.73551792404213E-79   3.66891752809770E-77
 31   12     8.02244158980965E-83   3.44964988361815E-81
 32   12     2.79454280873504E-92   1.22959883584342E-90
 33   12     1.00000000000000E-99   9.96623539823764E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     2.14800677959864E-23   4.51081423715713E-22
  9   13     7.42696185359133E-24   1.63393160779009E-22
 10   13     2.00573568669848E-17   4.61319207940651E-16
 11   13     7.29920487254723E-16   1.75180916941134E-14
 12   13     2.53114307296959E-12   6.32785768242398E-11
