    time    temp    dens
   9.57145088744815E-01   6.13589965206727E-02   9.05787808620384E-01
     nin     zin       y       x
 30   10     2.47853088064969E-65   9.91412352259877E-64
 31   10     2.04740062321659E-66   8.39434255518802E-65
  8   11     1.24952433653290E-15   2.37409623941251E-14
  9   11     9.71682441893922E-11   1.94336488378784E-09
 10   11     1.59274573118489E-09   3.34476603548827E-08
 11   11     3.94853738820905E-09   8.68678225405990E-08
 12   11     4.43302050052750E-09   1.01959471512132E-07
 13   11     2.54657626570373E-12   6.11178303768894E-11
 14   11     3.73244239174590E-13   9.33110597936476E-12
 15   11     1.62226963927256E-13   4.21790106210867E-12
 16   11     3.08069310079625E-15   8.31787137214987E-14
 17   11     1.62930969192498E-16   4.56206713738993E-15
 18   11     3.45296580344119E-19   1.00136008299794E-17
 19   11     2.21208109261530E-19   6.63624327784590E-18
 20   11     6.29534411552847E-24   1.95155667581383E-22
 21   11     1.12346747972421E-26   3.59509593511746E-25
 22   11     2.26011588323688E-28   7.45838241468169E-27
 23   11     5.21433965939936E-33   1.77287548419578E-31
 24   11     4.89266141385376E-37   1.71243149484882E-35
 25   11     2.07648107493236E-41   7.47533186975649E-40
 26   11     1.23716969033913E-42   4.57752785425477E-41
 27   11     1.09166507872443E-46   4.14832729915284E-45
 28   11     1.81139442052036E-50   7.06443824002942E-49
 29   11     5.15205160790886E-56   2.06082064316354E-54
 30   11     4.81798434466181E-57   1.97537358131134E-55
 31   11     7.84852067734462E-59   3.29637868448474E-57
 32   11     1.32081886731386E-61   5.67952112944960E-60
 33   11     1.28212943345239E-65   5.64136950719053E-64
  8   12     2.14098981147356E-15   4.28197962294712E-14
  9   12     1.38834326678717E-11   2.91552086025307E-10
 10   12     6.83052761463492E-09   1.50271607521968E-07
 11   12     2.77050154439053E-09   6.37215355209822E-08
 12   12     8.12496307872458E-09   1.94999113889390E-07
 13   12     1.64129482820955E-08   4.10323707052387E-07
 14   12     8.90746204167808E-09   2.31594013083630E-07
 15   12     2.35815991025925E-12   6.36703175769996E-11
 16   12     2.45860772251867E-13   6.88410162305226E-12
 17   12     2.43730446255810E-14   7.06818294141848E-13
 18   12     1.39923291784626E-15   4.19769875353878E-14
 19   12     5.11597585768983E-17   1.58595251588385E-15
 20   12     6.22063033315881E-21   1.99060170661082E-19
 21   12     1.40408277530918E-20   4.63347315852028E-19
 22   12     2.30719809128361E-25   7.84447351036428E-24
 23   12     2.22126732379724E-28   7.77443563329034E-27
 24   12     1.31351755739874E-31   4.72866320663548E-30
 25   12     1.09684530792887E-33   4.05832763933681E-32
 26   12     1.39421371382494E-37   5.29801211253478E-36
 27   12     8.75765087802036E-41   3.41548384242794E-39
 28   12     8.96668863833332E-46   3.58667545533333E-44
 29   12     1.62542279707798E-47   6.66423346801972E-46
 30   12     2.73013504798927E-49   1.14665672015549E-47
 31   12     5.18811496616396E-52   2.23088943545050E-50
 32   12     2.08045923371699E-55   9.15402062835474E-54
 33   12     1.39231540738362E-60   6.26541933322629E-59
 34   12     4.23146057943211E-64   1.94647186653877E-62
 35   12     1.54717053583719E-69   7.27170151843477E-68
  8   13     2.98114451876348E-19   6.26040348940330E-18
  9   13     5.47453610687876E-17   1.20439794351333E-15
 10   13     5.81111026670240E-14   1.33655536134155E-12
 11   13     6.29283365427379E-10   1.51028007702571E-08
 12   13     1.51777417797495E-08   3.79443544493739E-07
 13   13     1.12674611474581E-11   2.92953989833910E-10
 14   13     2.75531017754469E-08   7.43933747937067E-07
 15   13     4.65873918869295E-11   1.30444697283402E-09
 16   13     8.45802888644190E-12   2.45282837706815E-10
 17   13     4.90480209811977E-12   1.47144062943593E-10
 18   13     3.07787241386918E-14   9.54140448299447E-13
 19   13     5.09341320002654E-17   1.62989222400849E-15
 20   13     2.48740341139545E-18   8.20843125760497E-17
 21   13     3.07279683214311E-19   1.04475092292866E-17
 22   13     6.78223691911726E-23   2.37378292169104E-21
 23   13     3.01993421550601E-25   1.08717631758216E-23
 24   13     1.12839202529468E-28   4.17505049359031E-27
 25   13     6.83456451495205E-31   2.59713451568178E-29
 26   13     3.82032751966052E-32   1.48992773266760E-30
 27   13     7.47527176612441E-38   2.99010870644977E-36
 28   13     1.26987796448518E-38   5.20649965438926E-37
 29   13     1.34089767246922E-40   5.63177022437074E-39
 30   13     4.86212949483773E-43   2.09071568278022E-41
 31   13     2.98723057155075E-47   1.31438145148233E-45
 32   13     4.03431367816818E-51   1.81544115517568E-49
 33   13     1.87182267612565E-55   8.61038431017800E-54
 34   13     2.20103176544929E-60   1.03448492976116E-58
 35   13     2.67671728677086E-64   1.28482429765001E-62
 36   13     4.39945495418892E-69   2.15573292755257E-67
 37   13     3.93933009854322E-72   1.96966504927161E-70
 38   13     9.28778731145670E-77   4.73677152884292E-75
  8   14     1.44803667620772E-20   3.18568068765698E-19
  9   14     2.45631775417137E-19   5.64953083459416E-18
 10   14     2.96991219128894E-15   7.12778925909345E-14
 11   14     1.60482750302396E-10   4.01206875755989E-09
 12   14     3.31714154310224E-09   8.62456801206581E-08
 13   14     3.29878827322310E-08   8.90672833770238E-07
 14   14     2.58131875255871E-07   7.22769250716439E-06
 15   14     1.21165927989738E-07   3.51381191170239E-06
 16   14     1.56567634644501E-07   4.69702903933504E-06
 17   14     2.10736864394176E-10   6.53284279621944E-09
 18   14     2.49954388600258E-12   7.99854043520827E-11
 19   14     2.33074172205560E-13   7.69144768278349E-12
 20   14     1.18256765092978E-14   4.02073001316126E-13
 21   14     4.61624237073702E-16   1.61568482975796E-14
 22   14     2.20080379344048E-19   7.92289365638572E-18
 23   14     3.49189939672043E-22   1.29200277678656E-20
 24   14     6.57251697860574E-24   2.49755645187018E-22
 25   14     2.96003494886258E-26   1.15441363005640E-24
 26   14     4.44667183077074E-28   1.77866873230830E-26
 27   14     4.35578984352559E-30   1.78587383584549E-28
 28   14     2.28768248903450E-32   9.60826645394491E-31
 29   14     4.90800774200473E-37   2.11044332906203E-35
 30   14     2.98520142833729E-38   1.31348862846841E-36
 31   14     9.33437909655984E-43   4.20047059345193E-41
 32   14     4.06976092070369E-46   1.87209002352370E-44
 33   14     2.67126228255328E-51   1.25549327280004E-49
 34   14     4.50227394161648E-55   2.16109149197591E-53
 35   14     1.06223493986620E-59   5.20495120534437E-58
 36   14     1.10373068714528E-62   5.51865343572639E-61
 37   14     3.10811851456292E-67   1.58514044242709E-65
 38   14     1.75481131650656E-72   9.12501884583412E-71
 39   14     3.04069974237568E-70   1.61157086345911E-68
 40   14     1.59522372870932E-68   8.61420813503034E-67
  8   15     6.16709624173459E-23   1.41843213559896E-21
  9   15     6.36587236538160E-22   1.52780936769158E-20
 10   15     1.58682850504396E-21   3.96707126260989E-20
 11   15     1.55821621509870E-16   4.05136215925661E-15
