    time    temp    dens
   6.28432518990361E+02   1.00000000000000E-02   3.20024956109179E-09
     nin     zin       y       x
 13    7     3.78609400731504E-22   7.57218801463008E-21
 14    7     1.16275381430950E-22   2.44178301004995E-21
  5    8     5.23615248492325E-25   6.80699823040023E-24
  6    8     3.01656698599287E-08   4.22319378039001E-07
  7    8     2.18457423497911E-07   3.27686135246867E-06
  8    8     8.93826820527825E-06   1.43012291284452E-04
  9    8     1.12415042645746E-06   1.91105572497768E-05
 10    8     4.50299185353208E-08   8.10538533635774E-07
 11    8     6.08273809011725E-19   1.15572023712228E-17
 12    8     7.10320032078114E-20   1.42064006415623E-18
 13    8     9.63704125887881E-22   2.02377866436455E-20
 14    8     3.58134873822186E-22   7.87896722408810E-21
  5    9     6.22029449322464E-27   8.70841229051449E-26
  6    9     7.97886684803216E-15   1.19683002720482E-13
  7    9     3.43514117477846E-15   5.49622587964554E-14
  8    9     8.64464157901791E-10   1.46958906843304E-08
  9    9     3.96647371872845E-07   7.13965269371122E-06
 10    9     2.62142680217198E-09   4.98071092412677E-08
 11    9     8.08677195753206E-19   1.61735439150641E-17
 12    9     6.30524840379141E-20   1.32410216479620E-18
 13    9     4.35157472383274E-20   9.57346439243203E-19
 14    9     4.37643056586777E-23   1.00657903014959E-21
 15    9     5.00663831608985E-24   1.20159319586156E-22
 16    9     6.94737908432143E-25   1.73684477108036E-23
 17    9     3.20025861892812E-26   8.32067240921310E-25
  7   10     1.63539805784449E-23   2.78017669833564E-22
  8   10     1.04355301036983E-21   1.87839541866570E-20
  9   10     2.65771637339573E-18   5.04966110945188E-17
 10   10     2.74128374234620E-08   5.48256748469239E-07
 11   10     1.98548162363568E-09   4.16951140963492E-08
 12   10     2.15360351912261E-09   4.73792774206975E-08
 13   10     4.72681714492135E-18   1.08716794333191E-16
 14   10     2.39407961509641E-16   5.74579107623137E-15
 15   10     8.64268882553543E-22   2.16067220638386E-20
 16   10     2.18586491772790E-22   5.68324878609255E-21
 17   10     1.39924241999220E-24   3.77795453397893E-23
 18   10     4.86362105256014E-29   1.36181389471684E-27
 19   10     6.48328483091346E-30   1.88015260096490E-28
 20   10     1.84807832996112E-38   5.54423498988336E-37
 21   10     5.04156225837714E-41   1.56288430009691E-39
 22   10     2.83584755058839E-44   9.07471216188285E-43
 23   10     1.48655174764593E-49   4.90562076723158E-48
 24   10     2.80138698521872E-53   9.52471574974365E-52
 25   10     4.36895582462910E-63   1.52913453862019E-61
 26   10     1.29588598060144E-67   4.66518953016518E-66
 27   10     2.23823954144837E-67   8.28148630335899E-66
 28   10     2.44885154294375E-75   9.30563586318627E-74
 29   10     3.24513502542052E-83   1.26560265991400E-81
 30   10     7.81834078835097E-90   3.12733631534039E-88
 31   10     2.80888291862010E-96   1.15164199663424E-94
  8   11     1.07595147457629E-21   2.04430780169496E-20
  9   11     7.13727152337774E-20   1.42745430467555E-18
 10   11     1.32865515321060E-17   2.79017582174227E-16
 11   11     1.03856267746751E-08   2.28483789042852E-07
 12   11     7.16760246841707E-09   1.64854856773593E-07
 13   11     3.97108900586389E-12   9.53061361407333E-11
 14   11     3.15697257770896E-16   7.89243144427239E-15
 15   11     1.67740424313913E-19   4.36125103216175E-18
 16   11     2.12560159829646E-21   5.73912431540044E-20
 17   11     2.37772854511482E-23   6.65763992632149E-22
 18   11     1.08708327230619E-24   3.15254148968795E-23
 19   11     4.33783343952245E-25   1.30135003185674E-23
 20   11     8.03496657905827E-30   2.49083963950806E-28
 21   11     6.52356118194368E-31   2.08753957822198E-29
 22   11     8.39790205337489E-36   2.77130767761371E-34
 23   11     4.60398770290991E-39   1.56535581898937E-37
 24   11     2.10789161020944E-49   7.37762063573304E-48
 25   11     7.48486823079963E-53   2.69455256308787E-51
 26   11     5.80810809109860E-58   2.14899999370648E-56
 27   11     1.15274596546857E-63   4.38043466878058E-62
 28   11     4.09628810276379E-68   1.59755236007788E-66
 29   11     1.06852603106094E-74   4.27410412424376E-73
 30   11     4.33957405909375E-81   1.77922536422844E-79
 31   11     2.40368332587512E-82   1.00954699686755E-80
 32   11     1.37806767730052E-84   5.92569101239223E-83
 33   11     2.08317209722537E-94   9.16595722779165E-93
  8   12     5.95070774916691E-23   1.19014154983338E-21
  9   12     3.86558679009470E-21   8.11773225919888E-20
 10   12     2.82132817925581E-18   6.20692199436277E-17
 11   12     4.16316137221805E-18   9.57527115610151E-17
 12   12     9.31273811856058E-09   2.23505714845454E-07
 13   12     3.17117856308150E-08   7.92794640770375E-07
 14   12     8.91001441476396E-09   2.31660374783863E-07
 15   12     1.25716079456996E-12   3.39433414533890E-11
 16   12     2.76571329395815E-13   7.74399722308281E-12
 17   12     2.24519691591789E-20   6.51107105616187E-19
 18   12     6.47662467143264E-22   1.94298740142979E-20
 19   12     3.67094145965684E-23   1.13799185249362E-21
 20   12     5.47790488205569E-27   1.75292956225782E-25
 21   12     1.27381585934174E-26   4.20359233582775E-25
 22   12     2.69781062966208E-31   9.17255614085108E-30
 23   12     2.17709068057831E-34   7.61981738202408E-33
 24   12     9.64978808691854E-40   3.47392371129067E-38
 25   12     5.21093053646660E-44   1.92804429849264E-42
 26   12     9.66185738480779E-49   3.67150580622696E-47
 27   12     1.27866647614027E-52   4.98679925694706E-51
 28   12     1.22684725593550E-58   4.90738902374199E-57
 29   12     8.52357470658861E-66   3.49466562970133E-64
 30   12     5.51907793420664E-67   2.31801273236679E-65
 31   12     3.52466288395454E-69   1.51560504010045E-67
 32   12     2.20987592749589E-78   9.72345408098190E-77
 33   12     3.97322083436095E-90   1.78794937546243E-88
 34   12     6.73922292047066E-95   3.10004254341651E-93
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     2.19084384011118E-26   4.60077206423349E-25
  9   13     4.81200823699036E-24   1.05864181213788E-22
 10   13     2.47514736720448E-21   5.69283894457031E-20
 11   13     3.68509757664262E-19   8.84423418394229E-18
 12   13     1.36508678983354E-17   3.41271697458385E-16
 13   13     3.32249459806033E-09   8.63848595495686E-08
 14   13     6.20436479554116E-08   1.67517849479611E-06
 15   13     2.13014552889240E-12   5.96440748089871E-11
 16   13     3.21559195608070E-12   9.32521667263403E-11
 17   13     1.35831808718158E-17   4.07495426154475E-16
 18   13     1.55526618834293E-20   4.82132518386309E-19
 19   13     9.17452651326904E-23   2.93584848424609E-21
 20   13     3.52415596612188E-24   1.16297146882022E-22
 21   13     4.58526862898305E-25   1.55899133385424E-23
 22   13     6.27300995836442E-29   2.19555348542755E-27
 23   13     2.13962100424831E-31   7.70263561529392E-30
 24   13     1.31146808804631E-34   4.85243192577134E-33
 25   13     6.55642219269609E-37   2.49144043322452E-35
 26   13     1.50758007714860E-38   5.87956230087953E-37
 27   13     1.52790878993344E-47   6.11163515973375E-46
 28   13     4.36367331011197E-51   1.78910605714591E-49
 29   13     1.80665853253414E-52   7.58796583664337E-51
 30   13     2.12800108151163E-54   9.15040465050002E-53
 31   13     1.94796331817197E-64   8.57103859995668E-63
 32   13     7.57220234343336E-75   3.40749105454501E-73
 33   13     2.01388887411607E-80   9.26388882093394E-79
 34   13     8.72568468289221E-89   4.10107180095934E-87
 35   13     1.27681532340448E-95   6.12871355234151E-94
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.87508394038048E-28   4.12518466883705E-27
  9   14     2.24246023783853E-26   5.15765854702862E-25
 10   14     1.99824856878440E-23   4.79579656508257E-22
 11   14     2.60382762356316E-22   6.50956905890789E-21
 12   14     3.09261937980356E-20   8.04081038748924E-19
 13   14     2.80292985517999E-17   7.56791060898598E-16
 14   14     2.60905995710164E-07   7.30536787988460E-06
 15   14     2.25974048534937E-07   6.55324740751316E-06
 16   14     3.08219121118331E-07   9.24657363354994E-06
 17   14     2.72769082246605E-10   8.45584154964474E-09
 18   14     4.24451583211157E-11   1.35824506627570E-09
 19   14     5.85890775329179E-19   1.93343955858629E-17
 20   14     1.00945516061849E-20   3.43214754610286E-19
 21   14     2.08807558773411E-22   7.30826455706939E-21
 22   14     6.62537461257837E-26   2.38513486052821E-24
 23   14     2.87482199515300E-28   1.06368413820661E-26
 24   14     1.88058755224625E-30   7.14623269853577E-29
 25   14     6.73804099180603E-33   2.62783598680435E-31
 26   14     3.85109822620273E-34   1.54043929048109E-32
 27   14     9.72432438788867E-37   3.98697299903435E-35
 28   14     6.16938282291933E-40   2.59114078562612E-38
 29   14     7.18610186250325E-49   3.09002380087640E-47
 30   14     1.26455130175975E-49   5.56402572774288E-48
 31   14     1.23291644822428E-60   5.54812401700924E-59
 32   14     2.88404094642709E-65   1.32665883535646E-63
 33   14     6.75940391531405E-74   3.17691984019760E-72
 34   14     1.42532550011474E-80   6.84156240055073E-79
 35   14     7.35804780727025E-87   3.60544342556242E-85
 36   14     7.79261682965314E-93   3.89630841482657E-91
 37   14     1.00000000000000E-99   1.16941216631676E-98
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     9.98124024511423E-39   2.29568525637627E-37
  9   15     4.05854373932772E-28   9.74050497438654E-27
 10   15     1.67212937824717E-28   4.18032344561792E-27
 11   15     9.55352176219623E-25   2.48391565817102E-23
 12   15     3.44877745690958E-22   9.31169913365587E-21
 13   15     2.33486596437490E-18   6.53762470024972E-17
 14   15     5.38679575709334E-17   1.56217076955707E-15
 15   15     8.53148041521895E-09   2.55944412456569E-07
 16   15     3.07465012729121E-07   9.53141539460276E-06
 17   15     1.27318433739420E-10   4.07418987966143E-09
 18   15     1.86233547472539E-09   6.14570706659377E-08
 19   15     4.57847787041071E-17   1.55668247593964E-15
 20   15     3.50727050346697E-17   1.22754467621344E-15
 21   15     4.55374627507702E-20   1.63934865902773E-18
 22   15     8.93062364211231E-23   3.30433074758155E-21
 23   15     9.32224840779841E-25   3.54245439496340E-23
 24   15     8.25985802004902E-26   3.22134462781912E-24
 25   15     1.58358187486971E-27   6.33432749947886E-26
 26   15     6.79222565105978E-28   2.78481251693451E-26
 27   15     7.95767498158340E-31   3.34222349226503E-29
 28   15     5.34249579007144E-35   2.29727318973072E-33
 29   15     6.53498306922092E-36   2.87539255045721E-34
 30   15     9.90875099884846E-47   4.45893794948181E-45
 31   15     8.76614477505544E-52   4.03242659652550E-50
 32   15     3.45730551065642E-59   1.62493359000852E-57
 33   15     6.04895514308099E-66   2.90349846867888E-64
 34   15     3.55882723335025E-72   1.74382534434162E-70
 35   15     5.50007068369039E-78   2.75003534184519E-76
 36   15     1.77758266652969E-85   9.06567159930142E-84
 37   15     1.79514753679754E-93   9.33476719134718E-92
 38   15     6.10161284161408E-95   3.23385480605546E-93
 39   15     5.12094377393894E-93   2.76530963792703E-91
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     4.68315666465566E-42   1.12395759951736E-40
  9   16     7.54481594841362E-40   1.88620398710340E-38
 10   16     2.23845930716048E-29   5.81999419861725E-28
 11   16     8.71042391333072E-27   2.35181445659930E-25
 12   16     4.63874213543083E-23   1.29884779792063E-21
 13   16     5.86508603688116E-22   1.70087495069554E-20
 14   16     2.93299840135789E-19   8.79899520407367E-18
 15   16     1.25072375914780E-16   3.87724365335818E-15
 16   16     3.55574466203397E-07   1.13783829185087E-05
 17   16     2.30679523363135E-07   7.61242427098346E-06
 18   16     4.37760372716199E-07   1.48838526723508E-05
 19   16     1.85176640217019E-10   6.48118240759566E-09
 20   16     1.90190162597820E-09   6.84684585352152E-08
 21   16     2.40878818581105E-13   8.91251628750087E-12
 22   16     8.48155334613327E-15   3.22299027153064E-13
 23   16     8.32472911768255E-22   3.24664435589619E-20
 24   16     3.93526788315653E-22   1.57410715326261E-20
 25   16     5.75386068539002E-24   2.35908288100991E-22
 26   16     4.89620153230962E-25   2.05640464357004E-23
 27   16     9.21400665217817E-28   3.96202286043661E-26
 28   16     7.92405616573480E-32   3.48658471292331E-30
 29   16     6.68614154963167E-33   3.00876369733425E-31
 30   16     1.23613859351287E-37   5.68623753015921E-36
 31   16     1.60196082243349E-45   7.52921586543743E-44
 32   16     2.52429207588255E-51   1.21166019642362E-49
 33   16     1.19033529518440E-57   5.83264294640357E-56
 34   16     3.18894944538332E-63   1.59447472269166E-61
 35   16     1.17635921245928E-70   5.99943198354232E-69
 36   16     1.60095711281967E-78   8.32497698666229E-77
