    time    temp    dens
   1.17197378118045E-01   3.56111664089978E+00   1.67877528716974E+05
     nin     zin       y       x
  1    0     6.06694921468764E-09   6.06694921468764E-09
  0    1     7.60009644556265E-01   7.60009644556265E-01
  1    1     3.48429385313855E-11   6.96858770627711E-11
  2    1     9.79099507165497E-16   2.93729852149649E-15
  1    2     4.44453415997955E-09   1.33336024799387E-08
  2    2     5.99739721142474E-02   2.39895888456989E-01
  4    2     1.55795747899143E-28   9.34774487394856E-28
  3    3     7.63310736041076E-16   4.57986441624646E-15
  4    3     1.51552480895588E-19   1.06086736626911E-18
  5    3     4.05171025786428E-31   3.24136820629142E-30
  6    3     1.32188365224016E-39   1.18969528701614E-38
  3    4     1.05802297486884E-13   7.40616082408191E-13
  5    4     2.70221699927380E-20   2.43199529934642E-19
  6    4     2.31951896452205E-25   2.31951896452205E-24
  7    4     2.23549358219043E-38   2.45904294040947E-37
  8    4     1.40003007387724E-48   1.68003608865269E-47
  3    5     2.43499855609658E-19   1.94799884487726E-18
  5    5     1.48588174435718E-16   1.48588174435718E-15
  6    5     2.22934319911852E-22   2.45227751903038E-21
  7    5     3.80516416032014E-25   4.56619699238417E-24
  8    5     3.09676565623589E-30   4.02579535310666E-29
  9    5     7.82074440270163E-43   1.09490421637823E-41
  3    6     1.53260240566308E-23   1.37934216509678E-22
  4    6     1.29833692714095E-15   1.29833692714095E-14
  5    6     5.29767645342905E-16   5.82744409877195E-15
  6    6     5.47889387483794E-11   6.57467264980553E-10
  7    6     3.37467624091516E-16   4.38707911318971E-15
  8    6     1.33855286405008E-21   1.87397400967011E-20
  9    6     1.05412935207006E-26   1.58119402810509E-25
 10    6     4.30822271315245E-23   6.89315634104393E-22
 11    6     6.14691573381638E-27   1.04497567474879E-25
 12    6     2.16460759646057E-18   3.89629367362903E-17
  4    7     1.05210850830378E-15   1.15731935913416E-14
  5    7     3.09940125236490E-21   3.71928150283788E-20
  6    7     6.66558246353719E-14   8.66525720259834E-13
  7    7     6.96290659526824E-14   9.74806923337553E-13
  8    7     5.33339311070570E-19   8.00008966605855E-18
  9    7     1.02721862606543E-23   1.64354980170468E-22
 10    7     7.66100821766909E-21   1.30237139700375E-19
 11    7     3.81426358221984E-23   6.86567444799572E-22
 12    7     3.49099608139489E-20   6.63289255465029E-19
 13    7     9.84323771729868E-26   1.96864754345974E-24
 14    7     7.94685433065122E-19   1.66883940943676E-17
  5    8     6.30104575792814E-25   8.19135948530658E-24
  6    8     1.27480885591177E-13   1.78473239827647E-12
  7    8     9.60044763661887E-12   1.44006714549283E-10
  8    8     1.74814765525123E-09   2.79703624840197E-08
  9    8     8.70992155609868E-17   1.48068666453678E-15
 10    8     3.96777930083831E-24   7.14200274150896E-23
 11    8     3.33913826521756E-26   6.34436270391336E-25
 12    8     1.54507673617361E-25   3.09015347234721E-24
 13    8     3.08485730476031E-27   6.47820033999665E-26
 14    8     1.89515190033677E-32   4.16933418074090E-31
  5    9     6.56733960053742E-30   9.19427544075239E-29
  6    9     3.63886073215859E-21   5.45829109823788E-20
  7    9     8.70320516822394E-18   1.39251282691583E-16
  8    9     9.58366366199002E-14   1.62922282253830E-12
  9    9     9.80180011255204E-17   1.76432402025937E-15
 10    9     2.41772552913446E-21   4.59367850535548E-20
 11    9     4.19888138150404E-25   8.39776276300808E-24
 12    9     2.12945117065607E-26   4.47184745837774E-25
 13    9     3.14704960345699E-28   6.92350912760538E-27
 14    9     1.25897582065986E-29   2.89564438751767E-28
 15    9     2.11315892438990E-29   5.07158141853576E-28
 16    9     3.45796796390876E-33   8.64491990977189E-32
 17    9     3.47417686621806E-35   9.03285985216696E-34
  7   10     8.58602611921607E-24   1.45962444026673E-22
  8   10     2.10539460096310E-15   3.78971028173357E-14
  9   10     3.48509673812918E-15   6.62168380244544E-14
 10   10     2.52413903747386E-11   5.04827807494772E-10
 11   10     7.64656218982009E-17   1.60577805986222E-15
 12   10     8.09773106388281E-20   1.78150083405422E-18
 13   10     1.08553523543237E-25   2.49673104149444E-24
 14   10     2.64016847359737E-27   6.33640433663369E-26
 15   10     2.52070228230729E-26   6.30175570576823E-25
 16   10     8.27203884342333E-31   2.15073009929007E-29
 17   10     6.74288444408119E-33   1.82057879990192E-31
 18   10     1.56906201193982E-37   4.39337363343150E-36
 19   10     4.82524417362362E-42   1.39932081035085E-40
 20   10     1.14890424142177E-44   3.44671272426531E-43
 21   10     1.48898077889301E-48   4.61584041456832E-47
 22   10     6.69605221316161E-49   2.14273670821172E-47
 23   10     2.35871878623247E-59   7.78377199456716E-58
 24   10     7.49045826947438E-65   2.54675581162129E-63
 25   10     6.91389578788448E-71   2.41986352575957E-69
 26   10     3.02381897047990E-81   1.08857482937276E-79
 27   10     7.61878757899163E-81   2.81895140422690E-79
 28   10     1.65358378785355E-87   6.28361839384348E-86
 29   10     2.88542221640443E-94   1.12531466439773E-92
 30   10     1.00000000000000E-99   1.24022611032330E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.43110702782930E-20   2.71910335287567E-19
  9   11     4.01592117464790E-18   8.03184234929580E-17
 10   11     3.81922751051288E-13   8.02037777207704E-12
 11   11     2.72115403265625E-15   5.98653887184375E-14
 12   11     1.35845371706378E-15   3.12444354924669E-14
 13   11     3.06662757488114E-22   7.35990617971473E-21
