    time    temp    dens
   3.14950998278831E-01   2.05964652174810E-01   3.28817108681340E+01
     nin     zin       y       x
 33   11     4.12053325936374E-65   1.81303463412005E-63
  8   12     2.73391460870157E-13   5.46782921740315E-12
  9   12     1.03012309678883E-09   2.16325850325654E-08
 10   12     9.86348475070673E-09   2.16996664515548E-07
 11   12     5.14943469732616E-09   1.18436998038502E-07
 12   12     3.07522267138743E-09   7.38053441132982E-08
 13   12     9.97461089581428E-09   2.49365272395357E-07
 14   12     2.23444413845057E-10   5.80955475997148E-09
 15   12     1.14029902749058E-12   3.07880737422458E-11
 16   12     1.17762415733037E-13   3.29734764052504E-12
 17   12     1.50093569114969E-14   4.35271350433410E-13
 18   12     1.78851370744775E-15   5.36554112234326E-14
 19   12     8.59960880882510E-17   2.66587873073578E-15
 20   12     4.15856703194680E-20   1.33074145022298E-18
 21   12     1.05137575362353E-19   3.46953998695764E-18
 22   12     1.19011581437038E-23   4.04639376885929E-22
 23   12     4.28441963905549E-32   1.49954687366942E-30
 24   12     3.15824064894003E-30   1.13696663361841E-28
 25   12     3.94140114818077E-37   1.45831842482688E-35
 26   12     1.04263420166301E-35   3.96200996631944E-34
 27   12     2.16867059300861E-42   8.45781531273360E-41
 28   12     4.47082627091457E-44   1.78833050836583E-42
 29   12     8.39581065576186E-44   3.44228236886236E-42
 30   12     3.38166626229165E-45   1.42029983016249E-43
 31   12     6.80178964814334E-54   2.92476954870164E-52
 32   12     2.37192178577330E-56   1.04364558574025E-54
 33   12     1.37548837229576E-54   6.18969767533090E-53
 34   12     4.94323431035236E-57   2.27388778276209E-55
 35   12     2.04328055850352E-65   9.60341862496655E-64
  8   13     1.62004585421120E-15   3.40209629384351E-14
  9   13     2.90132950149295E-17   6.38292490328448E-16
 10   13     1.29525948786658E-13   2.97909682209314E-12
 11   13     1.03303012874535E-09   2.47927230898885E-08
 12   13     1.85326186362472E-08   4.63315465906181E-07
 13   13     6.77960532206903E-09   1.76269738373795E-07
 14   13     1.82377789756923E-08   4.92420032343693E-07
 15   13     2.33433587297110E-11   6.53614044431908E-10
 16   13     4.18437392133339E-12   1.21346843718668E-10
 17   13     2.56321799495410E-12   7.68965398486229E-11
 18   13     3.02155439280143E-14   9.36681861768443E-13
 19   13     1.25928560157374E-15   4.02971392503596E-14
 20   13     6.81718377762311E-17   2.24967064661563E-15
 21   13     6.60904167194683E-18   2.24707416846192E-16
 22   13     1.56842718725626E-21   5.48949515539690E-20
 23   13     2.21622740704080E-24   7.97841866534687E-23
 24   13     4.25060196117739E-27   1.57272272563563E-25
 25   13     2.12052217739168E-29   8.05798427408838E-28
 26   13     1.21315339307388E-30   4.73129823298812E-29
 27   13     5.44205406391015E-38   2.17682162556406E-36
 28   13     2.20305239715225E-36   9.03251482832424E-35
 29   13     5.56915794458510E-38   2.33904633672574E-36
 30   13     2.28894162524745E-46   9.84244898856402E-45
 31   13     1.00872453884928E-49   4.43838797093684E-48
 32   13     1.46200812033313E-46   6.57903654149908E-45
 33   13     8.02671969566562E-50   3.69229106000619E-48
 34   13     9.98064696823243E-58   4.69090407506924E-56
 35   13     9.75971175449928E-57   4.68466164215965E-55
 36   13     9.89911245077776E-65   4.85056510088110E-63
 37   13     4.38878617981536E-64   2.19439308990768E-62
 38   13     1.21408434553292E-67   6.19183016221789E-66
  8   14     2.47861725690543E-18   5.45295796519195E-17
  9   14     3.93419468586167E-17   9.04864777748185E-16
 10   14     2.08244547058685E-13   4.99786912940845E-12
 11   14     3.66170875307585E-09   9.15427188268963E-08
 12   14     5.35184008808177E-09   1.39147842290126E-07
 13   14     3.58909518738246E-08   9.69055700593265E-07
 14   14     2.33549136139239E-07   6.53937581189869E-06
 15   14     7.88530024350275E-08   2.28673707061580E-06
 16   14     1.20144975284208E-07   3.60434925852623E-06
 17   14     6.23299276155308E-11   1.93222775608145E-09
 18   14     9.17582220527796E-13   2.93626310568895E-11
 19   14     1.43041994449963E-13   4.72038581684876E-12
 20   14     8.28697844420311E-15   2.81757267102906E-13
 21   14     4.30636112017937E-16   1.50722639206278E-14
 22   14     2.50682211823967E-19   9.02455962566282E-18
 23   14     3.64627822485035E-21   1.34912294319463E-19
 24   14     2.47556838387869E-23   9.40715985873901E-22
 25   14     1.24616168250217E-24   4.86003056175847E-23
 26   14     2.34996743263891E-26   9.39986973055565E-25
 27   14     2.40878654172451E-29   9.87602482107050E-28
 28   14     3.88161004164940E-31   1.63027621749275E-29
 29   14     1.24844648301092E-34   5.36831987694695E-33
 30   14     1.86533024728049E-38   8.20745308803414E-37
 31   14     1.89923783158259E-39   8.54657024212164E-38
 32   14     6.23133906733491E-42   2.86641597097406E-40
 33   14     5.44893985439215E-46   2.56100173156431E-44
 34   14     5.56913676564079E-49   2.67318564750758E-47
 35   14     8.10833328937638E-57   3.97308331179443E-55
 36   14     4.19726319902222E-56   2.09863159951111E-54
 37   14     1.38609832828643E-59   7.06910147426077E-58
 38   14     1.10620678323113E-67   5.75227527280186E-66
 39   14     1.32869974278808E-63   7.04210863677682E-62
 40   14     6.99550034445889E-62   3.77757018600780E-60
  8   15     1.21593874564405E-20   2.79665911498132E-19
  9   15     1.30179613254327E-19   3.12431071810384E-18
 10   15     1.95840894393377E-20   4.89602235983443E-19
 11   15     7.55005458985128E-14   1.96301419336133E-12
 12   15     1.23337492185391E-08   3.33011228900555E-07
