    time    temp    dens
   9.93814110304208E-01   5.90367327431840E-02   8.09178473810675E-01
     nin     zin       y       x
  1    0     3.27961555837411E-10   3.27961555837411E-10
  0    1     7.51650113733810E-01   7.51650113733810E-01
  1    1     2.55233668770216E-06   5.10467337540431E-06
  2    1     8.91811436306001E-08   2.67543430891800E-07
  1    2     1.29259792955247E-05   3.87779378865741E-05
  2    2     6.15407979529029E-02   2.46163191811612E-01
  4    2     4.21974467623970E-22   2.53184680574382E-21
  3    3     1.75568493198111E-14   1.05341095918867E-13
  4    3     5.50317822833599E-10   3.85222475983519E-09
  5    3     3.60385751258284E-17   2.88308601006627E-16
  6    3     3.24389068655859E-24   2.91950161790273E-23
  3    4     2.15022042397420E-09   1.50515429678194E-08
  5    4     3.27247260416493E-14   2.94522534374844E-13
  6    4     1.53618529806583E-14   1.53618529806583E-13
  7    4     2.47112211400142E-22   2.71823432540156E-21
  8    4     6.41048952721813E-31   7.69258743266176E-30
  3    5     2.83146766685774E-12   2.26517413348619E-11
  5    5     1.54188338648753E-09   1.54188338648753E-08
  6    5     5.63592191939260E-08   6.19951411133186E-07
  7    5     1.97382422881995E-13   2.36858907458394E-12
  8    5     8.26805794250979E-19   1.07484753252627E-17
  9    5     1.28051142122575E-29   1.79271598971605E-28
  3    6     3.34960215558291E-11   3.01464194002462E-10
  4    6     1.74815117978612E-07   1.74815117978612E-06
  5    6     3.95339317374771E-06   4.34873249112248E-05
  6    6     3.30525217305937E-06   3.96630260767124E-05
  7    6     3.19479943606166E-07   4.15323926688016E-06
  8    6     5.17561804939056E-10   7.24586526914678E-09
  9    6     1.70171772234170E-14   2.55257658351255E-13
 10    6     2.93320275053908E-13   4.69312440086253E-12
 11    6     3.51196800301587E-15   5.97034560512698E-14
 12    6     7.04439699140009E-16   1.26799145845202E-14
  4    7     5.94788837412681E-16   6.54267721153949E-15
  5    7     1.14997630195882E-13   1.37997156235059E-12
  6    7     1.42034262909505E-06   1.84644541782357E-05
  7    7     1.19263654112578E-06   1.66969115757610E-05
  8    7     5.13768650590460E-07   7.70652975885691E-06
  9    7     1.83710755240862E-11   2.93937208385379E-10
 10    7     7.41062507059263E-11   1.25980626200075E-09
 11    7     2.30804025979599E-11   4.15447246763279E-10
 12    7     7.03073630398172E-15   1.33583989775653E-13
 13    7     2.94207610464970E-16   5.88415220929940E-15
 14    7     6.28038556093802E-17   1.31888096779698E-15
  5    8     9.85089433498744E-20   1.28061626354837E-18
  6    8     1.44980867145366E-05   2.02973214003513E-04
  7    8     7.93327190409953E-06   1.18999078561493E-04
  8    8     8.93818045672904E-06   1.43010887307665E-04
  9    8     3.65871489006027E-07   6.21981531310246E-06
 10    8     9.27150300403200E-09   1.66887054072576E-07
 11    8     4.49832116202745E-14   8.54681020785215E-13
 12    8     3.01387935672318E-15   6.02775871344636E-14
 13    8     1.73670618524012E-16   3.64708298900426E-15
 14    8     7.40818142470423E-17   1.62979991343493E-15
  5    9     6.03753491244364E-27   8.45254887742109E-26
  6    9     7.65492041650945E-17   1.14823806247642E-15
  7    9     7.69959491752396E-18   1.23193518680383E-16
  8    9     7.96957836975350E-07   1.35482832285809E-05
  9    9     1.57676257553709E-07   2.83817263596677E-06
 10    9     3.79924986132419E-10   7.21857473651596E-09
 11    9     1.55242375424798E-13   3.10484750849596E-12
 12    9     6.08839601807854E-15   1.27856316379649E-13
 13    9     8.41794413367336E-15   1.85194770940814E-13
 14    9     1.17612971932462E-17   2.70509835444662E-16
 15    9     3.31595691625460E-18   7.95829659901104E-17
 16    9     3.32588294961383E-19   8.31470737403457E-18
 17    9     1.00665472448826E-20   2.61730228366948E-19
  7   10     4.62062256415158E-16   7.85505835905768E-15
  8   10     2.88999718383885E-07   5.20199493090994E-06
  9   10     2.24321930109008E-09   4.26211667207115E-08
 10   10     2.72933697175882E-08   5.45867394351763E-07
 11   10     3.85849969856985E-10   8.10284936699668E-09
 12   10     1.80223800867627E-09   3.96492361908780E-08
 13   10     8.59076785078335E-14   1.97587660568017E-12
 14   10     1.70916540728098E-15   4.10199697747435E-14
 15   10     1.71034995676947E-15   4.27587489192368E-14
 16   10     1.94435378694830E-16   5.05531984606559E-15
 17   10     5.02097659128736E-19   1.35566367964759E-17
 18   10     3.58885607489181E-23   1.00487970096971E-21
 19   10     3.14839073304461E-24   9.13033312582938E-23
 20   10     3.67655239419201E-27   1.10296571825760E-25
 21   10     3.38419467480036E-31   1.04910034918811E-29
 22   10     6.64761595154214E-33   2.12723710449349E-31
 23   10     2.16644541289652E-36   7.14926986255851E-35
 24   10     1.73046840538068E-41   5.88359257829431E-40
 25   10     7.86679155296800E-46   2.75337704353880E-44
 26   10     1.35973908972302E-50   4.89506072300286E-49
 27   10     1.87273615738361E-50   6.92912378231936E-49
 28   10     9.06434262309779E-56   3.44445019677716E-54
 29   10     1.04299128659916E-59   4.06766601773674E-58
 30   10     2.16931290542822E-65   8.67725162171287E-64
 31   10     1.68294963825059E-66   6.90009351682742E-65
  8   11     1.26359198076694E-15   2.40082476345718E-14
  9   11     9.07905734092664E-11   1.81581146818533E-09
 10   11     1.59094057311184E-09   3.34097520353486E-08
 11   11     3.98889847119253E-09   8.77557663662357E-08
 12   11     4.45061804158383E-09   1.02364214956428E-07
 13   11     2.58974313619233E-12   6.21538352686159E-11
 14   11     3.76399115613981E-13   9.40997789034952E-12
 15   11     1.60918081162204E-13   4.18387011021731E-12
 16   11     2.90154541406114E-15   7.83417261796508E-14
 17   11     1.48442504554844E-16   4.15639012753564E-15
 18   11     3.14185119956850E-19   9.11136847874864E-18
 19   11     2.01034526846245E-19   6.03103580538734E-18
 20   11     5.86381421358889E-24   1.81778240621256E-22
 21   11     1.32076442932335E-25   4.22644617383472E-24
 22   11     1.84542132450262E-28   6.08989037085863E-27
 23   11     4.59357253935067E-33   1.56181466337923E-31
