    time    temp    dens
   1.15618445109602E-01   3.85506056274972E+00   2.13187035965292E+05
     nin     zin       y       x
  1    0     8.11195075084923E-09   8.11195075084923E-09
  0    1     7.61288817644558E-01   7.61288817644558E-01
  1    1     3.02700151557051E-11   6.05400303114102E-11
  2    1     5.29589539684713E-16   1.58876861905414E-15
  1    2     1.10193863019985E-09   3.30581589059956E-09
  2    2     5.96592022249620E-02   2.38636808899848E-01
  4    2     2.76423030488805E-28   1.65853818293283E-27
  3    3     5.10144976684974E-16   3.06086986010984E-15
  4    3     3.05435582136555E-20   2.13804907495588E-19
  5    3     7.46741343883227E-32   5.97393075106581E-31
  6    3     4.81015424044859E-40   4.32913881640373E-39
  3    4     1.98355304160951E-14   1.38848712912666E-13
  5    4     3.03862086415381E-20   2.73475877773843E-19
  6    4     8.86066422884755E-26   8.86066422884755E-25
  7    4     1.08501261517611E-38   1.19351387669372E-37
  8    4     4.66169946131553E-49   5.59403935357864E-48
  3    5     4.98296898449644E-20   3.98637518759716E-19
  5    5     3.66869191679264E-17   3.66869191679264E-16
  6    5     2.03868528520836E-21   2.24255381372919E-20
  7    5     4.03679497595117E-25   4.84415397114141E-24
  8    5     6.42996935764927E-30   8.35896016494405E-29
  9    5     1.92398315966729E-42   2.69357642353420E-41
  3    6     2.56658437486137E-24   2.30992593737523E-23
  4    6     1.29206798451556E-15   1.29206798451556E-14
  5    6     1.68170438913003E-16   1.84987482804303E-15
  6    6     7.83287174997278E-11   9.39944609996733E-10
  7    6     9.76124047504860E-17   1.26896126175632E-15
  8    6     3.95583476832135E-22   5.53816867564989E-21
  9    6     6.15390559179763E-27   9.23085838769644E-26
 10    6     9.32550772309937E-24   1.49208123569590E-22
 11    6     3.18959748050736E-27   5.42231571686251E-26
 12    6     2.11389215954960E-18   3.80500588718929E-17
  4    7     1.06855413355384E-15   1.17540954690922E-14
  5    7     9.56843845795472E-22   1.14821261495457E-20
  6    7     6.65181015535250E-14   8.64735320195825E-13
  7    7     1.77688655984892E-14   2.48764118378848E-13
  8    7     1.44897061564675E-18   2.17345592347012E-17
  9    7     6.36627297069922E-24   1.01860367531188E-22
 10    7     2.23944409732599E-21   3.80705496545418E-20
 11    7     1.09633405110015E-23   1.97340129198027E-22
 12    7     6.46313330873567E-21   1.22799532865978E-19
 13    7     4.31757055850819E-26   8.63514111701637E-25
 14    7     8.21315509548724E-19   1.72476257005232E-17
  5    8     1.50732577144313E-25   1.95952350287607E-24
  6    8     4.55508517763268E-14   6.37711924868575E-13
  7    8     2.06332893690113E-12   3.09499340535170E-11
  8    8     1.44888216995611E-09   2.31821147192977E-08
  9    8     2.97165960659493E-17   5.05182133121138E-16
 10    8     2.31199484232504E-24   4.16159071618508E-23
 11    8     2.20604066916818E-26   4.19147727141954E-25
 12    8     6.20290747883819E-26   1.24058149576764E-24
 13    8     1.65735616252339E-27   3.48044794129912E-26
 14    8     7.26888830375061E-33   1.59915542682513E-31
  5    9     1.70518612813736E-28   2.38726057939231E-27
  6    9     2.12032801580028E-21   3.18049202370041E-20
  7    9     2.40938538380156E-18   3.85501661408250E-17
  8    9     7.72587066626055E-14   1.31339801326429E-12
  9    9     4.27495018710580E-17   7.69491033679044E-16
 10    9     1.07536566523266E-20   2.04319476394206E-19
 11    9     2.84967608009377E-25   5.69935216018755E-24
 12    9     1.11454070157832E-26   2.34053547331446E-25
 13    9     1.65381441882016E-28   3.63839172140435E-27
 14    9     9.34433375421753E-30   2.14919676347003E-28
 15    9     1.06899597798055E-29   2.56559034715333E-28
 16    9     1.93877169184218E-33   4.84692922960545E-32
 17    9     4.78679930073302E-35   1.24456781819059E-33
