    time    temp    dens
   9.08779771839575E+02   1.00000000000000E-02   1.05823919221833E-09
     nin     zin       y       x
  1    0     1.91208706049660E-08   1.91208706049660E-08
  0    1     7.51637522380876E-01   7.51637522380876E-01
  1    1     7.30890765347320E-06   1.46178153069464E-05
  2    1     1.00834464037643E-06   3.02503392112928E-06
  1    2     1.20338110648506E-05   3.61014331945518E-05
  2    2     6.15421271946476E-02   2.46168508778590E-01
  4    2     1.64419280246796E-26   9.86515681480773E-26
  3    3     5.62583815765534E-13   3.37550289459320E-12
  4    3     3.07022129107230E-09   2.14915490375061E-08
  5    3     4.90476031805292E-22   3.92380825444234E-21
  6    3     1.69592433119029E-35   1.52633189807126E-34
  3    4     1.10283859322135E-09   7.71987015254944E-09
  5    4     3.86752047355579E-13   3.48076842620021E-12
  6    4     1.32076776939436E-13   1.32076776939436E-12
  7    4     2.48162817133760E-26   2.72979098847136E-25
  8    4     5.54627151300955E-42   6.65552581561146E-41
  3    5     1.61468277686010E-19   1.29174622148808E-18
  5    5     1.74834243897003E-07   1.74834243897003E-06
  6    5     1.75239748286439E-06   1.92763723115083E-05
  7    5     1.55978482346423E-19   1.87174178815708E-18
  8    5     3.86394508487893E-24   5.02312861034261E-23
  9    5     6.98001204232576E-43   9.77201685925606E-42
  3    6     3.34960216019308E-11   3.01464194417377E-10
  4    6     2.33715420886255E-19   2.33715420886255E-18
  5    6     2.33523035046632E-06   2.56875338551296E-05
  6    6     3.35912092054191E-06   4.03094510465030E-05
  7    6     1.25094683338904E-06   1.62623088340576E-05
  8    6     6.31979863241194E-10   8.84771808537671E-09
  9    6     3.97511099593064E-20   5.96266649389595E-19
 10    6     8.81258266737845E-23   1.41001322678055E-21
 11    6     9.35095172868392E-22   1.58966179387627E-20
 12    6     8.45440615719759E-22   1.52179310829557E-20
  4    7     3.86417702108204E-22   4.25059472319024E-21
  5    7     9.12934547940429E-20   1.09552145752851E-18
  6    7     4.88613495811855E-07   6.35197544555412E-06
  7    7     1.55212942572942E-05   2.17298119602118E-04
  8    7     8.36315012229628E-06   1.25447251834444E-04
  9    7     8.32451969624356E-17   1.33192315139897E-15
 10    7     6.08095913369058E-20   1.03376305272740E-18
 11    7     4.13320553937212E-21   7.43976997086981E-20
 12    7     1.81871009148961E-21   3.45554917383025E-20
 13    7     1.80980254926186E-22   3.61960509852373E-21
 14    7     5.55852683313535E-23   1.16729063495842E-21
  5    8     2.54283112293455E-25   3.30568045981491E-24
  6    8     1.92371947231940E-09   2.69320726124716E-08
  7    8     4.44240786023191E-08   6.66361179034786E-07
  8    8     8.93826818627887E-06   1.43012290980462E-04
  9    8     1.12497238852757E-06   1.91245306049687E-05
 10    8     5.65560376247736E-08   1.01800867724592E-06
 11    8     2.73104906124547E-19   5.18899321636640E-18
 12    8     3.32351584586093E-20   6.64703169172186E-19
 13    8     4.58436644085579E-22   9.62716952579716E-21
 14    8     1.70671143661500E-22   3.75476516055301E-21
  5    9     6.22014844293036E-27   8.70820782010250E-26
  6    9     7.98466841120660E-15   1.19770026168099E-13
  7    9     3.43718506639203E-15   5.49949610622724E-14
  8    9     4.24969641112420E-11   7.22448389891114E-10
  9    9     3.85120318251147E-07   6.93216572852064E-06
 10    9     2.62142748998371E-09   4.98071223096906E-08
 11    9     3.79347694184298E-19   7.58695388368595E-18
 12    9     2.99598878063793E-20   6.29157643933965E-19
 13    9     2.06760170381958E-20   4.54872374840308E-19
 14    9     2.08538890884511E-23   4.79639449034375E-22
 15    9     2.39227296896639E-24   5.74145512551934E-23
 16    9     3.32191845665393E-25   8.30479614163482E-24
 17    9     1.56078785717291E-26   4.05804842864957E-25
  7   10     7.81770977223067E-24   1.32901066127921E-22
  8   10     4.97732767018739E-22   8.95918980633730E-21
  9   10     1.22418471006834E-18   2.32595094912985E-17
 10   10     2.74128373739992E-08   5.48256747479983E-07
 11   10     1.98548167389483E-09   4.16951151517915E-08
 12   10     2.15366777174348E-09   4.73806909783565E-08
 13   10     1.66329811620517E-18   3.82558566727190E-17
 14   10     9.20007560550670E-17   2.20801814532161E-15
 15   10     4.12854504736937E-22   1.03213626184234E-20
 16   10     1.04452170938474E-22   2.71575644440034E-21
 17   10     6.81006202053286E-25   1.83871674554387E-23
 18   10     2.30194749511795E-29   6.44545298633027E-28
 19   10     3.09935739648843E-30   8.98813644981645E-29
 20   10     4.10631672663340E-39   1.23189501799002E-37
 21   10     1.76014486854894E-42   5.45644909250172E-41
 22   10     6.49133484705033E-45   2.07722715105611E-43
 23   10     1.79665221894948E-50   5.92895232253328E-49
 24   10     6.28272821152846E-54   2.13612759191968E-52
 25   10     5.36292945016691E-64   1.87702530755842E-62
 26   10     1.41437292611505E-68   5.09174253401417E-67
 27   10     2.44191380930005E-68   9.03508109441018E-67
 28   10     1.48866349648510E-76   5.65692128664338E-75
 29   10     9.43267672210724E-85   3.67874392162183E-83
 30   10     4.07989752927170E-91   1.63195901170868E-89
 31   10     5.78508293754299E-98   2.37188400439262E-96
  8   11     5.14304814104899E-22   9.77179146799308E-21
  9   11     3.41018843494655E-20   6.82037686989311E-19
 10   11     3.19530951100187E-18   6.71014997310393E-17
 11   11     1.03855621013995E-08   2.28482366230788E-07
 12   11     7.16760255163646E-09   1.64854858687638E-07
 13   11     3.95707953167198E-12   9.49699087601276E-11
 14   11     2.07974484405610E-17   5.19936211014025E-16
 15   11     8.00606050457392E-20   2.08157573118922E-18
 16   11     1.01390480971006E-21   2.73754298621716E-20
 17   11     1.14344665089933E-23   3.20165062251813E-22
 18   11     5.19695793441506E-25   1.50711780098037E-23
 19   11     2.07379935138658E-25   6.22139805415975E-24
 20   11     3.84140071194297E-30   1.19083422070232E-28
 21   11     3.11883534639231E-31   9.98027310845540E-30
 22   11     2.11897770502890E-36   6.99262642659536E-35
 23   11     2.15968425700859E-39   7.34292647382920E-38
 24   11     4.81570961064328E-50   1.68549836372515E-48
 25   11     1.71062228581305E-53   6.15824022892698E-52
 26   11     1.16127912872047E-58   4.29673277626575E-57
 27   11     1.25388272485570E-64   4.76475435445165E-63
 28   11     2.49041567852614E-69   9.71262114625193E-68
 29   11     1.16626963051261E-75   4.66507852205044E-74
 30   11     1.86940229526967E-82   7.66454941060567E-81
 31   11     1.24787288203654E-83   5.24106610455346E-82
 32   11     7.20009387363199E-86   3.09604036566176E-84
 33   11     5.20325421139044E-96   2.28943185301180E-94
  8   12     2.84467793023074E-23   5.68935586046147E-22
  9   12     1.84782292796146E-21   3.88042814871906E-20
 10   12     1.34125041641449E-18   2.95075091611188E-17
 11   12     1.95563765579717E-18   4.49796660833348E-17
 12   12     9.31275286619174E-09   2.23506068788602E-07
 13   12     3.17117856010264E-08   7.92794640025661E-07
 14   12     8.91001489963991E-09   2.31660387390638E-07
 15   12     8.92519305770745E-13   2.40980212558101E-11
 16   12     2.75868157887109E-13   7.72430842083906E-12
 17   12     1.07565317290552E-20   3.11939420142602E-19
 18   12     3.09502530826076E-22   9.28507592478226E-21
 19   12     1.75451796702456E-23   5.43900569777614E-22
 20   12     2.61884687695945E-27   8.38031000627023E-26
 21   12     6.09259165804710E-27   2.01055524715554E-25
 22   12     1.18104601132093E-31   4.01555643849116E-30
 23   12     9.82996878674703E-35   3.44048907536146E-33
 24   12     4.29776285488068E-41   1.54719462775705E-39
 25   12     5.14912168724209E-45   1.90517502427957E-43
 26   12     2.20487442305259E-49   8.37852280759986E-48
 27   12     1.62598893998147E-53   6.34135686592773E-52
