    time    temp    dens
   1.54548718645387E-01   9.48307639598181E-01   3.17345778095554E+03
     nin     zin       y       x
  1    0     1.93185780252689E-10   1.93185780252689E-10
  0    1     7.52590648609704E-01   7.52590648609704E-01
  1    1     1.08198685823076E-08   2.16397371646152E-08
  2    1     5.72340849229267E-12   1.71702254768780E-11
  1    2     1.48922696084865E-06   4.46768088254595E-06
  2    2     6.13195040986239E-02   2.45278016394495E-01
  4    2     7.09607023824151E-28   4.25764214294491E-27
  3    3     1.02827014136327E-17   6.16962084817964E-17
  4    3     1.07358429259334E-12   7.51509004815340E-12
  5    3     2.40435903339467E-22   1.92348722671574E-21
  6    3     1.58157184066116E-27   1.42341465659505E-26
  3    4     5.53377322577904E-07   3.87364125804533E-06
  5    4     2.28457604433036E-21   2.05611843989732E-20
  6    4     7.49645496239057E-22   7.49645496239057E-21
  7    4     1.59990028898301E-35   1.75989031788132E-34
  8    4     1.19392406784851E-41   1.43270888141821E-40
  3    5     5.93602220217247E-13   4.74881776173798E-12
  5    5     2.77446618652287E-14   2.77446618652287E-13
  6    5     7.13752721690858E-16   7.85127993859944E-15
  7    5     4.72420166012064E-20   5.66904199214477E-19
  8    5     5.34898469956149E-25   6.95368010942994E-24
  9    5     3.56386682261336E-36   4.98941355165870E-35
  3    6     5.59468327587866E-13   5.03521494829080E-12
  4    6     6.80910841492570E-11   6.80910841492570E-10
  5    6     3.38837383454970E-07   3.72721121800467E-06
  6    6     1.25866749889232E-09   1.51040099867079E-08
  7    6     1.80533474218101E-14   2.34693516483532E-13
  8    6     2.40778101717912E-15   3.37089342405077E-14
  9    6     1.83695347032369E-20   2.75543020548553E-19
 10    6     3.99156740152126E-13   6.38650784243401E-12
 11    6     2.01266963242451E-20   3.42153837512166E-19
 12    6     5.72641432590864E-15   1.03075457866355E-13
  4    7     6.70011292296156E-16   7.37012421525772E-15
  5    7     5.98568492473448E-11   7.18282190968138E-10
  6    7     1.20308931251236E-09   1.56401610626607E-08
  7    7     9.19638714494808E-09   1.28749420029273E-07
  8    7     2.27066017722261E-13   3.40599026583391E-12
  9    7     2.71548449811934E-17   4.34477519699094E-16
 10    7     7.22487496608407E-11   1.22822874423429E-09
 11    7     4.79435463252148E-11   8.62983833853867E-10
 12    7     1.27875907843814E-14   2.42964224903246E-13
 13    7     9.96480955325906E-20   1.99296191065181E-18
 14    7     1.37002335666076E-18   2.87704904898760E-17
  5    8     1.23613338425361E-09   1.60697339952969E-08
  6    8     5.62878931613266E-06   7.88030504258573E-05
  7    8     1.83598161452882E-05   2.75397242179323E-04
  8    8     1.60931851524753E-05   2.57490962439604E-04
  9    8     3.44653452777883E-14   5.85910869722401E-13
 10    8     9.55926670790515E-19   1.72066800742293E-17
 11    8     9.33224218936219E-19   1.77312601597882E-17
 12    8     4.90812653269123E-20   9.81625306538246E-19
 13    8     6.87066828240324E-26   1.44284033930468E-24
 14    8     4.61186033078193E-27   1.01460927277202E-25
  5    9     5.87831689725885E-25   8.22964365616239E-24
  6    9     2.22543579457399E-20   3.33815369186099E-19
  7    9     2.52104768826993E-15   4.03367630123188E-14
  8    9     2.16822538628760E-08   3.68598315668892E-07
  9    9     1.75541648702865E-12   3.15974967665157E-11
 10    9     2.14911242605136E-15   4.08331360949759E-14
 11    9     4.91159286650712E-19   9.82318573301424E-18
 12    9     6.71588759452279E-23   1.41033639484979E-21
 13    9     1.95604098822283E-24   4.30329017409022E-23
 14    9     1.89991823177463E-26   4.36981193308164E-25
 15    9     9.49899350528034E-26   2.27975844126728E-24
 16    9     1.52947896072587E-27   3.82369740181468E-26
 17    9     1.75684831859282E-29   4.56780562834134E-28
  7   10     1.71692248259948E-12   2.91876822041912E-11
  8   10     1.18422244379663E-06   2.13160039883393E-05
  9   10     3.36490239409155E-09   6.39331454877395E-08
 10   10     3.19349424967410E-09   6.38698849934821E-08
 11   10     9.83107088877379E-14   2.06452488664250E-12
 12   10     1.55964581896299E-14   3.43122080171858E-13
 13   10     4.37322050800822E-21   1.00584071684189E-19
 14   10     6.04895358252808E-22   1.45174885980674E-20
 15   10     2.27732775454558E-22   5.69331938636395E-21
 16   10     4.09545108848092E-24   1.06481728300504E-22
 17   10     4.06667219660266E-27   1.09800149308272E-25
 18   10     6.63265407779820E-32   1.85714314178349E-30
 19   10     3.19653487062551E-34   9.26995112481397E-33
 20   10     1.10433418601533E-36   3.31300255804598E-35
 21   10     1.35010384354807E-39   4.18532191499901E-38
 22   10     3.68920678876444E-41   1.18054617240462E-39
 23   10     1.83572614754044E-49   6.05789628688344E-48
 24   10     2.25571871475331E-52   7.66944363016124E-51
 25   10     7.74588391530181E-59   2.71105937035563E-57
 26   10     2.69926798731548E-64   9.71736475433572E-63
 27   10     5.24837442652999E-64   1.94189853781610E-62
 28   10     4.14514815432978E-71   1.57515629864532E-69
 29   10     3.77212241152493E-75   1.47112774049472E-73
 30   10     4.21281822893077E-82   1.68512729157231E-80
 31   10     2.99958646966877E-85   1.22983045256420E-83
  8   11     2.39012978780744E-14   4.54124659683413E-13
  9   11     1.51993541553204E-09   3.03987083106407E-08
 10   11     1.25847747477212E-09   2.64280269702146E-08
 11   11     1.46499042019449E-10   3.22297892442787E-09
 12   11     5.77197722225981E-14   1.32755476111976E-12
 13   11     1.39563326112317E-17   3.34951982669561E-16
 14   11     3.03123294281998E-19   7.57808235704995E-18
 15   11     4.96887504062075E-20   1.29190751056139E-18
 16   11     8.40623356315511E-22   2.26968306205188E-20
 17   11     2.22458874405225E-24   6.22884848334631E-23
 18   11     9.81990976296640E-26   2.84777383126026E-24
 19   11     2.34121881396716E-28   7.02365644190147E-27
 20   11     1.33324360052033E-32   4.13305516161302E-31
 21   11     2.76321316412369E-35   8.84228212519580E-34
 22   11     1.91307597761828E-37   6.31315072614033E-36
 23   11     2.50697782095889E-41   8.52372459126023E-40
 24   11     8.31489738292805E-46   2.91021408402482E-44
 25   11     3.50541421110482E-55   1.26194911599773E-53
 26   11     8.90551424484126E-54   3.29504027059127E-52
 27   11     2.00692717312355E-60   7.62632325786949E-59
 28   11     1.00238143076538E-63   3.90928757998498E-62
 29   11     5.58424671907894E-70   2.23369868763158E-68
 30   11     1.37888094780969E-73   5.65341188601973E-72
 31   11     1.38609177630876E-73   5.82158546049679E-72
 32   11     6.48416558986834E-81   2.78819120364339E-79
 33   11     9.26229513572150E-85   4.07540985971746E-83
  8   12     2.17598880265794E-11   4.35197760531588E-10
  9   12     1.99551901076838E-07   4.19058992261359E-06
 10   12     2.98160161814991E-07   6.55952355992980E-06
 11   12     2.89424910270818E-09   6.65677293622880E-08
 12   12     5.26926479646944E-12   1.26462355115267E-10
 13   12     4.46719677492493E-13   1.11679919373123E-11
 14   12     1.88871608577166E-15   4.91066182300631E-14
 15   12     4.58739108688178E-18   1.23859559345808E-16
 16   12     1.14079505936855E-19   3.19422616623195E-18
 17   12     1.32926015381440E-21   3.85485444606177E-20
 18   12     4.94212235458662E-23   1.48263670637598E-21
 19   12     8.33532501879175E-25   2.58395075582544E-23
 20   12     9.07304007828796E-30   2.90337282505215E-28
 21   12     2.30322556511065E-30   7.60064436486515E-29
 22   12     2.60333396481471E-33   8.85133548037002E-32
 23   12     4.94399539286192E-39   1.73039838750167E-37
 24   12     1.10650265287149E-38   3.98340955033736E-37
 25   12     8.11715627262934E-43   3.00334782087286E-41
 26   12     9.19954118973414E-48   3.49582565209897E-46
 27   12     8.40455803476449E-52   3.27777763355815E-50
 28   12     2.78377765199593E-56   1.11351106079837E-54
 29   12     8.47361931395592E-61   3.47418391872193E-59
 30   12     7.05249177799823E-62   2.96204654675926E-60
 31   12     1.32906747575713E-69   5.71499014575568E-68
 32   12     2.38146590899991E-73   1.04784499995996E-71
 33   12     4.77280494892827E-77   2.14776222701772E-75
 34   12     3.16325169850851E-80   1.45509578131391E-78
 35   12     5.43237584437008E-81   2.55321664685394E-79
  8   13     6.58182549774108E-14   1.38218335452563E-12
  9   13     4.95507020322184E-17   1.09011544470880E-15
 10   13     1.12728578742340E-12   2.59275731107381E-11
 11   13     3.07232514904342E-09   7.37358035770420E-08
 12   13     1.60458651130531E-09   4.01146627826327E-08
 13   13     2.29183793861764E-10   5.95877864040586E-09
 14   13     2.10609329351120E-12   5.68645189248025E-11
 15   13     1.07856159710954E-16   3.01997247190672E-15
 16   13     8.12408709622175E-18   2.35598525790431E-16
 17   13     7.38160499323196E-19   2.21448149796959E-17
 18   13     3.49054838464029E-20   1.08206999923849E-18
 19   13     3.09253507222373E-22   9.89611223111595E-21
 20   13     4.10857896090268E-24   1.35583105709789E-22
 21   13     1.45527370138847E-26   4.94793058472078E-25
 22   13     8.63597048190140E-31   3.02258966866549E-29
 23   13     8.42046194306209E-34   3.03136629950235E-32
 24   13     2.18683012087482E-35   8.09127144723683E-34
 25   13     1.48686005137731E-37   5.65006819523378E-36
