    time    temp    dens
   8.04901641194091E-01   7.32941151262332E-02   1.52311031051178E+00
     nin     zin       y       x
  1    0     3.00721056398989E-10   3.00721056398989E-10
  0    1     7.51654555388737E-01   7.51654555388737E-01
  1    1     1.85093229389033E-06   3.70186458778067E-06
  2    1     5.38319504700906E-08   1.61495851410272E-07
  1    2     1.27514422066172E-05   3.82543266198515E-05
  2    2     6.15399509717642E-02   2.46159803887057E-01
  4    2     1.61146423862358E-22   9.66878543174146E-22
  3    3     5.31033537824056E-15   3.18620122694434E-14
  4    3     2.69969220240247E-10   1.88978454168173E-09
  5    3     4.67382802127654E-18   3.73906241702124E-17
  6    3     4.84364029785440E-25   4.35927626806896E-24
  3    4     2.43133312255744E-09   1.70193318579021E-08
  5    4     9.82799352190938E-15   8.84519416971844E-14
  6    4     4.97588035298240E-15   4.97588035298240E-14
  7    4     4.60137487313663E-23   5.06151236045030E-22
  8    4     1.77559601956943E-31   2.13071522348332E-30
  3    5     3.39197241260836E-12   2.71357793008668E-11
  5    5     5.92346188127450E-10   5.92346188127450E-09
  6    5     2.55694077013108E-08   2.81263484714418E-07
  7    5     3.21506963109826E-13   3.85808355731791E-12
  8    5     1.14253920206501E-18   1.48530096268452E-17
  9    5     3.86433943045746E-29   5.41007520264044E-28
  3    6     3.34960209396571E-11   3.01464188456914E-10
  4    6     1.76005921379191E-07   1.76005921379191E-06
  5    6     3.95266410284590E-06   4.34793051313049E-05
  6    6     3.28576181719720E-06   3.94291418063664E-05
  7    6     3.11167473695186E-07   4.04517715803742E-06
  8    6     4.92801059463185E-10   6.89921483248458E-09
  9    6     1.40699471167972E-14   2.11049206751958E-13
 10    6     3.48784790056280E-13   5.58055664090047E-12
 11    6     5.55913225786123E-15   9.45052483836409E-14
 12    6     1.34283716926003E-15   2.41710690466806E-14
  4    7     1.10453475021143E-15   1.21498822523257E-14
  5    7     2.01578598233721E-13   2.41894317880466E-12
  6    7     1.42875830017955E-06   1.85738579023341E-05
  7    7     1.15000362881657E-06   1.61000508034319E-05
  8    7     4.43918578106549E-07   6.65877867159824E-06
  9    7     1.62628002037437E-11   2.60204803259899E-10
 10    7     7.64671358047181E-11   1.29994130868021E-09
 11    7     2.85026067779887E-11   5.13046922003797E-10
 12    7     9.78234412746340E-15   1.85864538421805E-13
 13    7     5.01612030030278E-16   1.00322406006056E-14
 14    7     9.24203783613743E-17   1.94082794558886E-15
  5    8     1.67762123771909E-19   2.18090760903481E-18
  6    8     1.46137345093120E-05   2.04592283130368E-04
  7    8     8.01829674072531E-06   1.20274451110880E-04
  8    8     8.93817489838164E-06   1.43010798374106E-04
  9    8     3.54684867499872E-07   6.02964274749783E-06
 10    8     7.52798935460811E-09   1.35503808382946E-07
 11    8     4.02396151668167E-14   7.64552688169518E-13
 12    8     2.62637424121938E-15   5.25274848243876E-14
 13    8     1.55733129284341E-16   3.27039571497116E-15
 14    8     7.00967472523450E-17   1.54212843955159E-15
  5    9     5.60683267306803E-27   7.84956574229525E-26
  6    9     5.74038368925167E-18   8.61057553387751E-17
  7    9     8.67386131439292E-19   1.38781781030287E-17
  8    9     8.21518478934794E-07   1.39658141418915E-05
  9    9     1.36339729117517E-07   2.45411512411531E-06
 10    9     3.53556892007089E-10   6.71758094813469E-09
 11    9     1.48807603580298E-13   2.97615207160596E-12
 12    9     5.65482401854534E-15   1.18751304389452E-13
 13    9     7.83926746403214E-15   1.72463884208707E-13
 14    9     1.13197891380008E-17   2.60355150174018E-16
 15    9     3.13625983048649E-18   7.52702359316758E-17
 16    9     6.00853267053058E-19   1.50213316763264E-17
 17    9     1.70412536532080E-20   4.43072594983409E-19
  7   10     1.53317104025650E-15   2.60639076843606E-14
  8   10     3.16350589458595E-07   5.69431061025471E-06
  9   10     2.26924484458036E-09   4.31156520470269E-08
 10   10     2.72349458446512E-08   5.44698916893025E-07
 11   10     3.61836047521811E-10   7.59855699795803E-09
