    time    temp    dens
   9.61190296565470E-01   6.10940116861799E-02   8.94399737823823E-01
     nin     zin       y       x
  1    0     3.23246214161536E-10   3.23246214161536E-10
  0    1     7.51650712605616E-01   7.51650712605616E-01
  1    1     2.43645659873311E-06   4.87291319746622E-06
  2    1     8.21986994292636E-08   2.46596098287791E-07
  1    2     1.29147546513108E-05   3.87442639539324E-05
  2    2     6.15406887019880E-02   2.46162754807952E-01
  4    2     3.68003378650762E-22   2.20802027190457E-21
  3    3     1.44746568239066E-14   8.68479409434396E-14
  4    3     5.01551644796612E-10   3.51086151357629E-09
  5    3     2.74535049959354E-17   2.19628039967483E-16
  6    3     2.49256120555552E-24   2.24330508499997E-23
  3    4     2.19695556602604E-09   1.53786889621823E-08
  5    4     2.74337445545048E-14   2.46903700990543E-13
  6    4     1.32635027437888E-14   1.32635027437888E-13
  7    4     1.99593719900530E-22   2.19553091890583E-21
  8    4     5.52709444790906E-31   6.63251333749087E-30
  3    5     2.91999768858735E-12   2.33599815086988E-11
  5    5     1.36106112700942E-09   1.36106112700942E-08
  6    5     5.13299675927142E-08   5.64629643519857E-07
  7    5     2.14206066597079E-13   2.57047279916495E-12
  8    5     8.73500485326525E-19   1.13555063092448E-17
  9    5     1.52994568650981E-29   2.14192396111373E-28
  3    6     3.34960215307283E-11   3.01464193776555E-10
  4    6     1.75020159630741E-07   1.75020159630741E-06
  5    6     3.95350244864393E-06   4.34885269350832E-05
  6    6     3.30260526499361E-06   3.96312631799234E-05
  7    6     3.18349605497308E-07   4.13854487146500E-06
  8    6     5.14088973236909E-10   7.19724562531673E-09
  9    6     1.66475596506356E-14   2.49713394759533E-13
 10    6     3.02242046692385E-13   4.83587274707815E-12
 11    6     3.80380157777677E-15   6.46646268222051E-14
 12    6     7.79918932737678E-16   1.40385407892782E-14
  4    7     6.53361159713979E-16   7.18697275685377E-15
  5    7     1.25076676535635E-13   1.50092011842762E-12
  6    7     1.42148698351744E-06   1.84793307857267E-05
  7    7     1.18587745661000E-06   1.66022843925400E-05
  8    7     5.03950844771956E-07   7.55926267157934E-06
  9    7     1.80932536936605E-11   2.89492059098568E-10
 10    7     7.45087799746634E-11   1.26664925956928E-09
 11    7     2.39370696506428E-11   4.30867253711570E-10
 12    7     7.44761073975203E-15   1.41504604055289E-13
 13    7     3.22093729654209E-16   6.44187459308419E-15
 14    7     6.76146005784502E-17   1.41990661214745E-15
  5    8     1.06780991966211E-19   1.38815289556075E-18
  6    8     1.45146631051391E-05   2.03205283471947E-04
  7    8     7.94513761905538E-06   1.19177064285831E-04
  8    8     8.93817959723104E-06   1.43010873555697E-04
  9    8     3.64303419344327E-07   6.19315812885357E-06
 10    8     9.01673988217466E-09   1.62301317879144E-07
 11    8     4.43187683732938E-14   8.42056599092582E-13
 12    8     2.96071148962102E-15   5.92142297924204E-14
 13    8     1.71257961395472E-16   3.59641718930491E-15
 14    8     7.36757237403317E-17   1.62086592228730E-15
  5    9     5.97389184008942E-27   8.36344857612519E-26
  6    9     4.87162774118355E-17   7.30744161177532E-16
  7    9     5.15873484434813E-18   8.25397575095700E-17
  8    9     8.00347847279680E-07   1.36059134037546E-05
  9    9     1.54135623176095E-07   2.77444121716970E-06
 10    9     3.75808388941761E-10   7.14035938989345E-09
 11    9     1.54495439742485E-13   3.08990879484969E-12
 12    9     6.03354614562791E-15   1.26704469058186E-13
 13    9     8.34528963290244E-15   1.83596371923854E-13
 14    9     1.17203892162406E-17   2.69568951973535E-16
 15    9     3.33020939152727E-18   7.99250253966546E-17
 16    9     3.65450977024294E-19   9.13627442560736E-18
 17    9     1.09223164096996E-20   2.83980226652190E-19
  7   10     5.67420457695342E-16   9.64614778082082E-15
  8   10     2.93387944659647E-07   5.28098300387365E-06
  9   10     2.24731228679216E-09   4.26989334490511E-08
 10   10     2.72854188446951E-08   5.45708376893902E-07
 11   10     3.82301784472829E-10   8.02833747392941E-09
 12   10     1.79021047804248E-09   3.93846305169345E-08
