    time    temp    dens
   2.75208537978596E-01   2.50785170884806E-01   5.92056234680919E+01
     nin     zin       y       x
  1    0     2.57694757406724E-10   2.57694757406724E-10
  0    1     7.51753081163935E-01   7.51753081163935E-01
  1    1     1.37477251024264E-07   2.74954502048527E-07
  2    1     3.93123027623331E-09   1.17936908286999E-08
  1    2     6.16122268382934E-06   1.84836680514880E-05
  2    2     6.15129415191783E-02   2.46051766076713E-01
  4    2     6.85816378945369E-25   4.11489827367221E-24
  3    3     6.42162365397768E-17   3.85297419238661E-16
  4    3     7.27715106345775E-12   5.09400574442043E-11
  5    3     1.20348559568347E-22   9.62788476546777E-22
  6    3     1.21972218671227E-26   1.09774996804104E-25
  3    4     2.85173449676525E-08   1.99621414773568E-07
  5    4     1.01184125376323E-17   9.10657128386906E-17
  6    4     2.23693421872607E-18   2.23693421872607E-17
  7    4     2.23164321366903E-29   2.45480753503593E-28
  8    4     1.52934141096097E-36   1.83520969315316E-35
  3    5     4.44083594408758E-13   3.55266875527007E-12
  5    5     3.33032516500400E-14   3.33032516500400E-13
  6    5     3.37079486099901E-12   3.70787434709892E-11
  7    5     5.78482430008685E-16   6.94178916010423E-15
  8    5     6.44410452202637E-21   8.37733587863428E-20
  9    5     1.31667898042113E-29   1.84335057258958E-28
  3    6     3.34850801275708E-11   3.01365721148137E-10
  4    6     1.79371516332272E-07   1.79371516332272E-06
  5    6     3.58348696781363E-06   3.94183566459500E-05
  6    6     1.72259436740522E-06   2.06711324088627E-05
  7    6     1.07786715178496E-07   1.40122729732045E-06
  8    6     9.14529650543719E-11   1.28034151076121E-09
  9    6     1.79781126753611E-17   2.69671690130417E-16
 10    6     5.53423073011801E-13   8.85476916818881E-12
 11    6     6.79378717961818E-15   1.15494382053509E-13
 12    6     6.77792689694381E-15   1.22002684144989E-13
  4    7     7.49845413617919E-15   8.24829954979711E-14
  5    7     1.31436016140911E-08   1.57723219369094E-07
  6    7     1.57510151452970E-06   2.04763196888862E-05
