    time    temp    dens
   1.16198876354087E-01   3.74357495692268E+00   1.95144356168348E+05
     nin     zin       y       x
  1    0     7.08011698915884E-09   7.08011698915884E-09
  0    1     7.60793452124422E-01   7.60793452124422E-01
  1    1     3.08304636113181E-11   6.16609272226363E-11
  2    1     6.36618051130966E-16   1.90985415339290E-15
  1    2     1.79063755059678E-09   5.37191265179035E-09
  2    2     5.97810248926677E-02   2.39124099570671E-01
  4    2     2.10702782189095E-28   1.26421669313457E-27
  3    3     5.79756427682648E-16   3.47853856609589E-15
  4    3     5.14412435910228E-20   3.60088705137160E-19
  5    3     1.25505498185226E-31   1.00404398548181E-30
  6    3     4.00724848972350E-40   3.60652364075115E-39
  3    4     3.56173219489523E-14   2.49321253642666E-13
  5    4     2.84446875347658E-20   2.56002187812892E-19
  6    4     1.18397841487798E-25   1.18397841487798E-24
  7    4     1.28791114681776E-38   1.41670226149953E-37
  8    4     6.13734213715495E-49   7.36481056458594E-48
  3    5     8.65907585313424E-20   6.92726068250739E-19
  5    5     5.96626732197810E-17   5.96626732197810E-16
  6    5     9.05299416527821E-22   9.95829358180603E-21
  7    5     3.85174739187536E-25   4.62209687025044E-24
  8    5     4.98618497397973E-30   6.48204046617365E-29
  9    5     1.35871312745883E-42   1.90219837844237E-41
  3    6     4.78895462419130E-24   4.31005916177217E-23
  4    6     1.29482779823574E-15   1.29482779823574E-14
  5    6     2.35518228977057E-16   2.59070051874762E-15
  6    6     6.72268743988236E-11   8.06722492785884E-10
  7    6     1.49877776945242E-16   1.94841110028814E-15
  8    6     5.67961740642022E-22   7.95146436898831E-21
  9    6     7.36574813967789E-27   1.10486222095168E-25
 10    6     1.63783130092445E-23   2.62053008147911E-22
 11    6     4.08598668356681E-27   6.94617736206358E-26
 12    6     2.12475284550222E-18   3.82455512190400E-17
  4    7     1.06295835890774E-15   1.16925419479852E-14
  5    7     1.35196331899784E-21   1.62235598279741E-20
  6    7     6.49159516347296E-14   8.43907371251485E-13
  7    7     2.80154791394835E-14   3.92216707952769E-13
  8    7     8.63286038330685E-19   1.29492905749603E-17
  9    7     7.40625900215816E-24   1.18500144034531E-22
 10    7     3.52518982068293E-21   5.99282269516099E-20
 11    7     1.71664983530794E-23   3.08996970355430E-22
 12    7     1.19873641732763E-20   2.27759919292249E-19
 13    7     5.86636132926638E-26   1.17327226585328E-24
 14    7     8.11092861450032E-19   1.70329500904507E-17
  5    8     2.33230447733732E-25   3.03199582053851E-24
  6    8     6.43266777214308E-14   9.00573488100032E-13
  7    8     3.55367626678313E-12   5.33051440017469E-11
  8    8     1.51373132189987E-09   2.42197011503979E-08
  9    8     4.21834971102856E-17   7.17119450874855E-16
 10    8     2.61784620182769E-24   4.71212316328984E-23
 11    8     2.55773497675851E-26   4.85969645584117E-25
 12    8     8.70458271402113E-26   1.74091654280423E-24
 13    8     2.09652167705060E-27   4.40269552180626E-26
 14    8     1.00576973990032E-32   2.21269342778070E-31
  5    9     5.43619606800892E-29   7.61067449521249E-28
  6    9     2.50704205063461E-21   3.76056307595192E-20
  7    9     3.78333757323290E-18   6.05334011717265E-17
  8    9     8.14292426355221E-14   1.38429712480388E-12
  9    9     5.70356742770064E-17   1.02664213698611E-15
 10    9     5.59673300717126E-21   1.06337927136254E-19
 11    9     3.23651638498631E-25   6.47303276997263E-24
 12    9     1.42349738149216E-26   2.98934450113354E-25
 13    9     2.10840356668305E-28   4.63848784670272E-27
 14    9     1.04691065758718E-29   2.40789451245052E-28
 15    9     1.37287169345097E-29   3.29489206428232E-28
 16    9     2.20368405525165E-33   5.50921013812911E-32
 17    9     4.30018165419316E-35   1.11804723009022E-33
  7   10     3.78992553659256E-24   6.44287341220736E-23
  8   10     1.49732072393305E-15   2.69517730307950E-14
  9   10     9.40123423608275E-16   1.78623450485572E-14
 10   10     2.60622303796292E-11   5.21244607592584E-10
 11   10     5.70354115092775E-17   1.19774364169483E-15
 12   10     3.18591345497523E-20   7.00900960094550E-19
 13   10     7.47423797907644E-26   1.71907473518758E-24
 14   10     1.87124165722625E-27   4.49097997734300E-26
 15   10     1.78753178623754E-26   4.46882946559386E-25
 16   10     5.13552643803401E-31   1.33523687388884E-29
 17   10     6.62852525326092E-33   1.78970181838045E-31
 18   10     1.35662823240203E-37   3.79855905072567E-36
 19   10     4.94135510192952E-42   1.43299297955956E-40
 20   10     6.14246868859943E-45   1.84274060657983E-43
 21   10     6.25417489497374E-49   1.93879421744186E-47
 22   10     2.75723724935348E-49   8.82315919793115E-48
 23   10     8.37927265041483E-60   2.76515997463689E-58
 24   10     3.76272209128809E-65   1.27932551103795E-63
 25   10     5.32376865767159E-71   1.86331903018506E-69
 26   10     1.26279317852281E-81   4.54605544268211E-80
 27   10     3.06040435894534E-81   1.13234961280977E-79
 28   10     7.10883384296220E-88   2.70135686032563E-86
 29   10     1.03179717407779E-94   4.02400897890337E-93
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.14113429330911E-20   2.16815515728731E-19
  9   11     8.24702100145075E-19   1.64940420029015E-17
 10   11     2.91380729420707E-13   6.11899531783485E-12
 11   11     1.14108659743413E-15   2.51039051435509E-14
 12   11     2.03799867702080E-15   4.68739695714783E-14
 13   11     3.33811208453551E-22   8.01146900288522E-21
 14   11     1.79818715608463E-25   4.49546789021158E-24
 15   11     9.83950269533927E-25   2.55827070078821E-23
 16   11     3.39991402798355E-29   9.17976787555559E-28
 17   11     6.25211598440130E-28   1.75059247563236E-26
 18   11     8.55821472595946E-32   2.48188227052824E-30
 19   11     4.70632933450151E-35   1.41189880035045E-33
 20   11     2.80265169067030E-40   8.68822024107793E-39
 21   11     1.51303236196609E-44   4.84170355829149E-43
 22   11     7.81826905984126E-46   2.58002878974762E-44
 23   11     4.93667272085327E-51   1.67846872509011E-49
 24   11     1.08381852507432E-56   3.79336483776011E-55
 25   11     1.58163418964886E-67   5.69388308273591E-66
 26   11     5.52327262017588E-67   2.04361086946508E-65
 27   11     2.03774181182096E-77   7.74341888491964E-76
 28   11     2.52066981086905E-80   9.83061226238931E-79
 29   11     1.59408746554292E-86   6.37634986217167E-85
 30   11     3.82551659437969E-92   1.56846180369567E-90
 31   11     1.75823201954757E-94   7.38457448209980E-93
 32   11     1.16390034547866E-98   5.00477148555822E-97
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.17799809301861E-23   2.35599618603721E-22
  9   12     2.16391812772873E-20   4.54422806823033E-19
 10   12     4.29246608058343E-13   9.44342537728356E-12
 11   12     7.33850958702671E-15   1.68785720501614E-13
 12   12     8.06259529925125E-11   1.93502287182030E-09
 13   12     4.54629385770064E-16   1.13657346442516E-14
 14   12     1.16760665305457E-16   3.03577729794189E-15
 15   12     9.91638453430490E-24   2.67742382426232E-22
 16   12     1.44027186674780E-26   4.03276122689385E-25
 17   12     9.76645657098328E-26   2.83227240558515E-24
 18   12     1.15137858374969E-29   3.45413575124908E-28
 19   12     9.81962339058353E-32   3.04408325108090E-30
 20   12     5.47839748268028E-35   1.75308719445769E-33
 21   12     9.88492948805406E-39   3.26202673105784E-37
 22   12     5.27802631285341E-42   1.79452894637016E-40
 23   12     2.09440968279842E-47   7.33043388979446E-46
 24   12     4.70940208611143E-48   1.69538475100011E-46
 25   12     9.21599918265719E-53   3.40991969758316E-51
 26   12     3.76841483641599E-63   1.43199763783808E-61
 27   12     1.66081004655747E-65   6.47715918157412E-64
 28   12     1.39313649797438E-71   5.57254599189750E-70
 29   12     1.05170332891257E-77   4.31198364854153E-76
 30   12     5.06674314056816E-80   2.12803211903863E-78
 31   12     3.05867899761679E-84   1.31523196897522E-82
 32   12     5.43554971210655E-94   2.39164187332688E-92
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.98197323235474E-24   4.16214378794495E-23
  9   13     4.22165311481491E-25   9.28763685259280E-24
 10   13     2.50916920218185E-18   5.77108916501825E-17
 11   13     5.47507712758259E-18   1.31401851061982E-16
 12   13     5.37640091524151E-13   1.34410022881038E-11
 13   13     1.40016834639115E-15   3.64043770061698E-14
 14   13     5.77864409859635E-14   1.56023390662101E-12
 15   13     2.47485403490008E-20   6.92959129772022E-19
 16   13     9.78799096114687E-23   2.83851737873259E-21
 17   13     6.11140277032257E-24   1.83342083109677E-22
 18   13     7.02008580411623E-28   2.17622659927603E-26
 19   13     7.53752478576451E-27   2.41200793144464E-25
 20   13     1.69659057264073E-30   5.59874888971441E-29
 21   13     1.06148911734401E-33   3.60906299896962E-32
 22   13     9.11714608978980E-39   3.19100113142643E-37
 23   13     6.49997969816438E-43   2.33999269133918E-41
 24   13     4.27612435087150E-45   1.58216600982246E-43
 25   13     1.41224275872339E-49   5.36652248314888E-48
 26   13     1.35838962704353E-51   5.29771954546977E-50
 27   13     9.69966262895516E-58   3.87986505158206E-56
 28   13     1.11463456942453E-63   4.57000173464057E-62
 29   13     3.38493052259047E-66   1.42167081948800E-64
 30   13     3.47360783523774E-70   1.49365136915223E-68
 31   13     4.98598002533689E-80   2.19383121114823E-78
 32   13     1.79603234602623E-87   8.08214555711802E-86
 33   13     1.56379494055471E-89   7.19345672655166E-88
 34   13     1.58447971701073E-93   7.44705466995044E-92
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   2.19948248208443E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.17132638526703E-26   2.57691804758746E-25
  9   14     6.87486118986594E-29   1.58121807366917E-27
 10   14     9.20868813739502E-21   2.21008515297481E-19
 11   14     1.35126871275584E-19   3.37817178188959E-18
 12   14     5.47455386025200E-13   1.42338400366552E-11
 13   14     7.89968089748225E-14   2.13291384232021E-12
 14   14     4.22538268973966E-10   1.18310715312711E-08
 15   14     1.16685824800869E-14   3.38388891922520E-13
 16   14     1.27900473512271E-15   3.83701420536812E-14
 17   14     1.67657368972165E-22   5.19737843813711E-21
 18   14     8.47689385176170E-26   2.71260603256374E-24
 19   14     8.43456773277080E-25   2.78340735181436E-23
 20   14     1.99548655020353E-28   6.78465427069201E-27
 21   14     4.17318734920467E-30   1.46061557222163E-28
 22   14     7.77033903676089E-34   2.79732205323392E-32
 23   14     3.56004376066803E-37   1.31721619144717E-35
 24   14     5.62346563416019E-42   2.13691694098087E-40
 25   14     3.18090583772769E-46   1.24055327671380E-44
 26   14     1.72026091976107E-46   6.88104367904429E-45
 27   14     6.58777409076994E-50   2.70098737721567E-48
 28   14     3.84020704621133E-53   1.61288695940876E-51
 29   14     1.42228749948566E-63   6.11583624778833E-62
 30   14     2.69634003176037E-66   1.18638961397456E-64
 31   14     8.54474363774522E-74   3.84513463698535E-72
 32   14     8.91635143312008E-76   4.10152165923524E-74
 33   14     1.04780771840295E-79   4.92469627649387E-78
 34   14     9.66564548859967E-88   4.63950983452784E-86
 35   14     6.36117276227419E-91   3.11697465351435E-89
 36   14     1.96395431943486E-96   9.81977159717432E-95
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     7.48060701270019E-30   1.72053961292104E-28
  9   15     1.61113286987703E-25   3.86671888770486E-24
 10   15     3.89534384060168E-27   9.73835960150421E-26
 11   15     3.50036159727150E-25   9.10094015290589E-24
 12   15     5.12065147347668E-17   1.38257589783870E-15
 13   15     1.02860555191231E-16   2.88009554535446E-15
 14   15     5.90419438664125E-12   1.71221637212596E-10
 15   15     7.14775597304360E-14   2.14432679191308E-12
 16   15     6.60508361534732E-14   2.04757592075767E-12
 17   15     3.52291609554632E-18   1.12733315057482E-16
 18   15     3.73108462292426E-21   1.23125792556500E-19
 19   15     3.69726139137799E-23   1.25706887306852E-21
 20   15     2.17649358289720E-26   7.61772754014020E-25
 21   15     2.82049072313814E-25   1.01537666032973E-23
 22   15     1.01480636162547E-28   3.75478353801422E-27
 23   15     1.11810534973691E-32   4.24880032900026E-31
 24   15     2.97799340368261E-36   1.16141742743622E-34
 25   15     2.75008663017862E-39   1.10003465207145E-37
 26   15     1.06478503032492E-43   4.36561862433217E-42
 27   15     1.66346723301079E-46   6.98656237864531E-45
 28   15     1.27885136881175E-49   5.49906088589054E-48
 29   15     1.08928455091524E-52   4.79285202402706E-51
 30   15     3.08611451196613E-60   1.38875153038476E-58
 31   15     2.32696323861813E-62   1.07040308976434E-60
 32   15     4.27678486757795E-66   2.01008888776163E-64
 33   15     5.03483026140361E-74   2.41671852547373E-72
 34   15     4.22310388734651E-77   2.06932090479979E-75
 35   15     1.03843668638567E-82   5.19218343192833E-81
 36   15     3.76730402560721E-91   1.92132505305968E-89
 37   15     1.00000000000000E-99   6.17524531065982E-99
 38   15     2.91792980803127E-99   1.54650279825657E-97
 39   15     1.00000000000000E-99   2.62554806651437E-98
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     3.42350099459180E-34   8.21640238702032E-33
  9   16     5.44472964230060E-29   1.36118241057515E-27
 10   16     2.93688437536813E-32   7.63589937595714E-31
 11   16     8.88422196755867E-30   2.39873993124084E-28
 12   16     1.58215950305343E-20   4.43004660854959E-19
 13   16     1.68524709377813E-18   4.88721657195657E-17
 14   16     2.02216667310780E-12   6.06650001932340E-11
 15   16     2.62789455971616E-12   8.14647313512008E-11
 16   16     7.54430495584840E-10   2.41417758587149E-08
 17   16     1.03777700598839E-13   3.42466411976169E-12
 18   16     2.97934349606935E-16   1.01297678866358E-14
 19   16     1.61872598582653E-20   5.66554095039285E-19
 20   16     5.25612635356907E-23   1.89220548728487E-21
 21   16     3.44130860928013E-23   1.27328418543365E-21
 22   16     6.60273569209727E-27   2.50903956299696E-25
 23   16     4.56718606656019E-30   1.78120256595847E-28
 24   16     3.72693153097795E-32   1.49077261239118E-30
 25   16     4.41142231711231E-35   1.80868315001605E-33
 26   16     4.33775803993373E-40   1.82185837677217E-38
 27   16     3.53705480075536E-43   1.52093356432480E-41
 28   16     1.35102170780933E-44   5.94449551436105E-43
 29   16     1.14328721733273E-47   5.14479247799729E-46
 30   16     8.57322243241445E-49   3.94368231891065E-47
 31   16     1.12083708422132E-52   5.26793429584020E-51
 32   16     2.71649269433882E-60   1.30391649328264E-58
 33   16     1.78107271552079E-63   8.72725630605186E-62
 34   16     6.11384079910472E-69   3.05692039955236E-67
 35   16     1.65607458735031E-77   8.44598039548658E-76
 36   16     4.73499029589494E-87   2.46219495386537E-85
 37   16     2.73350540361442E-91   1.44875786391564E-89
 38   16     1.70383259013704E-96   9.20069598674001E-95
 39   16     4.41673165408311E-99   2.42920240974571E-97
 40   16     1.00000000000000E-99   1.00000000000000E-99
 41   16     1.00000000000000E-99   1.00000000000000E-99
 42   16     1.00000000000000E-99   1.00000000000000E-99
 43   16     1.00000000000000E-99   1.00000000000000E-99
 44   16     1.00000000000000E-99   1.00000000000000E-99
  9   17     2.05190923791646E-40   5.33496401858279E-39
 10   17     5.12432965101109E-35   1.38356900577299E-33
 11   17     6.38667494928521E-30   1.78826898579986E-28
 12   17     6.02053992249228E-28   1.74595657752276E-26
 13   17     1.91704368135444E-24   5.75113104406333E-23
 14   17     3.18842272813180E-17   9.88411045720858E-16
 15   17     1.30789715551661E-15   4.18527089765316E-14
 16   17     4.67569370862715E-12   1.54297892384696E-10
 17   17     2.96130701016916E-13   1.00684438345752E-11
 18   17     2.32735044989949E-13   8.14572657464821E-12
 19   17     1.71278751636059E-16   6.16603505889814E-15
 20   17     2.40172499314583E-19   8.88638247463957E-18
 21   17     9.89507808231912E-22   3.76012967128127E-20
 22   17     1.03628180564172E-25   4.04149904200272E-24
 23   17     1.35637382778174E-25   5.42549531112696E-24
 24   17     1.25918316068274E-28   5.16265095879922E-27
 25   17     2.80215772438959E-31   1.17690624424363E-29
 26   17     1.61789955356349E-33   6.95696808032300E-32
 27   17     1.54738917347904E-35   6.80851236330778E-34
 28   17     3.39694192439832E-40   1.52862386597924E-38
 29   17     7.31501201820485E-43   3.36490552837423E-41
 30   17     1.66274365578584E-44   7.81489518219344E-43
 31   17     5.43586257261315E-47   2.60921403485431E-45
 32   17     1.16909870322568E-49   5.72858364580583E-48
 33   17     1.51270327207353E-55   7.56351636036764E-54
 34   17     1.18826691427774E-63   6.06016126281646E-62
 35   17     1.00775689902610E-73   5.24033587493570E-72
 36   17     1.37325826555815E-77   7.27826880745819E-76
 37   17     4.24785149730194E-83   2.29383980854305E-81
 38   17     4.03968855281952E-91   2.22182870405074E-89
 39   17     9.28076003980371E-98   5.19722562229008E-96
 40   17     1.00000000000000E-99   1.00000000000000E-99
 41   17     1.00000000000000E-99   1.00000000000000E-99
 42   17     1.00000000000000E-99   1.00000000000000E-99
 43   17     1.00000000000000E-99   1.00000000000000E-99
 44   17     1.00000000000000E-99   1.00000000000000E-99
 45   17     1.00000000000000E-99   1.00000000000000E-99
 46   17     1.00000000000000E-99   1.00000000000000E-99
  9   18     3.30098690794009E-43   8.91266465143824E-42
 10   18     4.82226090698307E-40   1.35023305395526E-38
 11   18     9.63868506107150E-35   2.79521866771073E-33
 12   18     4.11179976716916E-32   1.23353993015075E-30
 13   18     2.46640975328321E-29   7.64587023517796E-28
 14   18     1.12845048882329E-20   3.61104156423453E-19
 15   18     3.48353139412801E-17   1.14956536006224E-15
 16   18     2.46818748116281E-12   8.39183743595355E-11
 17   18     1.29840374281529E-11   4.54441309985352E-10
 18   18     2.05121746718504E-09   7.38438288186613E-08
 19   18     4.24816399215480E-13   1.57182067709728E-11
 20   18     2.87524852073297E-15   1.09259443787853E-13
 21   18     1.31927019994515E-19   5.14515377978610E-18
 22   18     3.29163952159878E-22   1.31665580863951E-20
 23   18     9.99235004451814E-24   4.09686351825244E-22
 24   18     9.28395807856755E-27   3.89926239299837E-25
 25   18     1.33241373574662E-28   5.72937906371047E-27
 26   18     7.89688068321993E-30   3.47462750061677E-28
 27   18     1.61858230187740E-32   7.28362035844830E-31
 28   18     5.07001478989987E-38   2.33220680335394E-36
 29   18     2.35339415424863E-40   1.10609525249685E-38
 30   18     2.49179539712020E-40   1.19606179061770E-38
 31   18     6.62693273525275E-43   3.24719704027385E-41
 32   18     1.88346758532132E-45   9.41733792660661E-44
 33   18     2.29255897016861E-50   1.16920507478599E-48
 34   18     9.16956246249215E-60   4.76817248049592E-58
 35   18     6.42667907374949E-64   3.40613990908723E-62
 36   18     8.74382378524167E-70   4.72166484403050E-68
 37   18     2.07147945437361E-77   1.13931369990549E-75
 38   18     1.29412644640606E-85   7.24710809987392E-84
 39   18     5.44402665795488E-89   3.10309519503428E-87
 40   18     1.68550661685502E-98   9.77593837775913E-97
 41   18     1.00000000000000E-99   1.00000000000000E-99
 42   18     1.00000000000000E-99   1.00000000000000E-99
 43   18     1.00000000000000E-99   1.00000000000000E-99
 44   18     1.00000000000000E-99   1.00000000000000E-99
 45   18     1.00000000000000E-99   1.00000000000000E-99
 46   18     1.00000000000000E-99   1.00000000000000E-99
 47   18     1.00000000000000E-99   1.00000000000000E-99
 48   18     1.00000000000000E-99   1.00000000000000E-99
 49   18     1.00000000000000E-99   1.00000000000000E-99
 10   19     2.38669772850219E-42   6.92142341265635E-41
 11   19     7.03270029498652E-43   2.10981008849596E-41
 12   19     2.02907384302949E-34   6.29012891339142E-33
 13   19     1.72796747274786E-30   5.52949591279317E-29
 14   19     2.89000684956405E-28   9.53702260356138E-27
 15   19     7.90660035443086E-24   2.68824412050649E-22
 16   19     1.96098563119548E-17   6.86344970918419E-16
 17   19     6.45595866919906E-15   2.32414512091166E-13
 18   19     3.95725861006055E-12   1.46418568572240E-10
 19   19     3.81066143085129E-12   1.44805134372349E-10
 20   19     2.46100776730353E-12   9.59793029248377E-11
 21   19     1.03365519659159E-15   4.13462078636635E-14
 22   19     2.37372429884274E-18   9.73226962525524E-17
 23   19     3.07822133156191E-22   1.29285295925600E-20
 24   19     4.31188751792769E-25   1.85411163270891E-23
 25   19     5.89776937703717E-25   2.59501852589635E-23
 26   19     6.87294928785822E-27   3.09282717953620E-25
 27   19     8.93007741141972E-30   4.10783560925307E-28
 28   19     5.46134915598214E-32   2.56683410331161E-30
 29   19     3.85914310341548E-34   1.85238868963943E-32
 30   19     1.76822563460637E-37   8.66430560957122E-36
 31   19     3.12859427645979E-39   1.56429713822989E-37
 32   19     1.55754874486809E-42   7.94349859882727E-41
 33   19     9.49599363000630E-47   4.93791668760328E-45
 34   19     4.98076278960502E-50   2.63980427849066E-48
 35   19     8.97048179685075E-57   4.84406017029940E-55
 36   19     1.89138649511077E-63   1.04026257231092E-61
 37   19     1.19066435565385E-72   6.66772039166154E-71
 38   19     6.97940446933798E-75   3.97826054752265E-73
 39   19     2.55873859267363E-85   1.48406838375070E-83
 40   19     1.86705796003012E-89   1.10156419641777E-87
 41   19     9.83434009947028E-93   5.90060405968217E-91
 42   19     1.00000000000000E-99   1.00000000000000E-99
 43   19     1.00000000000000E-99   1.00000000000000E-99
 44   19     1.00000000000000E-99   1.00000000000000E-99
 45   19     1.00000000000000E-99   1.00000000000000E-99
 46   19     1.00000000000000E-99   1.00000000000000E-99
 47   19     1.00000000000000E-99   1.00000000000000E-99
 48   19     1.00000000000000E-99   1.00000000000000E-99
 49   19     1.00000000000000E-99   1.00000000000000E-99
 50   19     1.00000000000000E-99   1.00000000000000E-99
 51   19     1.00000000000000E-99   1.00000000000000E-99
 10   20     1.02512054146051E-51   3.07536162438152E-50
 11   20     2.85138790323295E-48   8.83930250002215E-47
 12   20     2.75427091033135E-39   8.81366691306032E-38
 13   20     6.70331847261393E-35   2.21209509596260E-33
 14   20     2.94415912233417E-32   1.00101410159362E-30
 15   20     2.62190445025056E-28   9.17666557587695E-27
 16   20     8.89676998922137E-21   3.20283719611969E-19
 17   20     4.83833201313528E-17   1.79018284486006E-15
 18   20     1.20412934379628E-12   4.57569150642585E-11
 19   20     9.65518710998152E-11   3.76552297289279E-09
 20   20     2.84781764947178E-08   1.13912705978871E-06
 21   20     1.05556209034419E-11   4.32780457041117E-10
 22   20     1.13570324598946E-14   4.76995363315574E-13
 23   20     1.30720681632876E-17   5.62098931021365E-16
 24   20     1.16209604995063E-19   5.11322261978277E-18
 25   20     1.56414050022095E-23   7.03863225099426E-22
 26   20     1.00829445435983E-24   4.63815449005522E-23
 27   20     1.46207957061101E-27   6.87177398187176E-26
 28   20     3.94667217754572E-29   1.89440264522194E-27
 29   20     7.61008147971575E-31   3.72893992506072E-29
 30   20     1.67928645860489E-34   8.39643229302447E-33
 31   20     7.43330815614130E-37   3.79098715963206E-35
 32   20     1.60668935195872E-39   8.35478463018533E-38
 33   20     1.26842030840389E-43   6.72262763454060E-42
 34   20     9.21855943698761E-46   4.97802209597331E-44
 35   20     2.98457356217307E-50   1.64151545919519E-48
 36   20     2.17706613325411E-59   1.21915703462230E-57
 37   20     1.00750108373255E-61   5.74275617727553E-60
 38   20     1.36186516471291E-71   7.89881795533487E-70
 39   20     2.56902974692156E-76   1.51572755068372E-74
 40   20     3.92583716075458E-79   2.35550229645275E-77
 41   20     4.68569451233412E-89   2.85827365252381E-87
 42   20     1.02344080127429E-93   6.34533296790059E-92
 43   20     1.32683272101138E-97   8.35904614237171E-96
 44   20     1.00000000000000E-99   1.00000000000000E-99
 45   20     1.00000000000000E-99   1.00000000000000E-99
 46   20     1.00000000000000E-99   1.00000000000000E-99
 47   20     1.00000000000000E-99   1.00000000000000E-99
 48   20     1.00000000000000E-99   1.00000000000000E-99
 49   20     1.00000000000000E-99   1.00000000000000E-99
 50   20     1.00000000000000E-99   1.00000000000000E-99
 51   20     1.00000000000000E-99   1.00000000000000E-99
 52   20     1.00000000000000E-99   1.00000000000000E-99
 53   20     1.00000000000000E-99   1.00000000000000E-99
 11   21     2.29203897417033E-47   7.33452471734506E-46
 12   21     4.25457234991030E-48   1.40400887547040E-46
 13   21     4.70229899651689E-44   1.59878165881574E-42
 14   21     1.05740689087440E-39   3.70092411806039E-38
 15   21     4.71678604411478E-30   1.69804297588132E-28
 16   21     3.64429555296774E-28   1.34838935459806E-26
 17   21     7.19133532394670E-24   2.73270742309974E-22
 18   21     2.78392645281467E-18   1.08573131659772E-16
 19   21     2.54968237711962E-15   1.01987295084785E-13
 20   21     9.28495988878046E-12   3.80683355439999E-10
 21   21     9.63087078840073E-12   4.04496573112831E-10
 22   21     3.57141066233731E-13   1.53570658480505E-11
 23   21     5.00161613822777E-15   2.20071110082022E-13
 24   21     3.10878748717031E-17   1.39895436922664E-15
 25   21     6.82973588035282E-22   3.14167850496230E-20
 26   21     1.51369821209852E-23   7.11438159686306E-22
 27   21     1.23304625513136E-24   5.91862202463051E-23
 28   21     8.90030505072890E-26   4.36114947485716E-24
 29   21     1.72239529811866E-26   8.61197649059328E-25
 30   21     1.19470776938171E-28   6.09300962384674E-27
 31   21     5.46430060599129E-30   2.84143631511547E-28
 32   21     2.41558673846529E-34   1.28026097138661E-32
 33   21     1.55675037157949E-39   8.40645200652927E-38
 34   21     4.52729516124816E-44   2.49001233868649E-42
 35   21     1.09647277733097E-47   6.14024755305345E-46
 36   21     6.01018444499637E-51   3.42580513364793E-49
 37   21     2.96736398192914E-59   1.72107110951890E-57
 38   21     2.84156820960577E-63   1.67652524366741E-61
 39   21     2.36419110211660E-66   1.41851466126996E-64
 40   21     3.23642003967672E-75   1.97421622420280E-73
 41   21     6.30938249206140E-81   3.91181714507807E-79
 42   21     2.49315530701595E-84   1.57068784342005E-82
