    time    temp    dens
   1.20144395915549E-01   3.08547952277275E+00   1.09050246157666E+05
     nin     zin       y       x
  1    0     1.42913983581796E-07   1.42913983581796E-07
  0    1     7.58184055936910E-01   7.58184055936910E-01
  1    1     2.01449361101973E-09   4.02898722203945E-09
  2    1     1.78008570860582E-12   5.34025712581745E-12
  1    2     5.34189861436635E-07   1.60256958430990E-06
  2    2     6.03582823865479E-02   2.41433129546192E-01
  4    2     9.21241682380714E-26   5.52745009428428E-25
  3    3     1.22990475285397E-14   7.37942851712379E-14
  4    3     1.33091489279847E-15   9.31640424958929E-15
  5    3     1.92147875826107E-25   1.53718300660886E-24
  6    3     8.96696922596382E-32   8.07027230336744E-31
  3    4     2.28599821099048E-11   1.60019874769333E-10
  5    4     4.63165901077387E-19   4.16849310969648E-18
  6    4     5.64276675998175E-22   5.64276675998175E-21
  7    4     1.44282545909819E-33   1.58710800500801E-32
  8    4     8.42085539666652E-42   1.01050264759998E-40
  3    5     4.52857583520010E-17   3.62286066816008E-16
  5    5     1.82741425162990E-14   1.82741425162990E-13
  6    5     3.49717748171747E-20   3.84689522988921E-19
  7    5     1.56438103454943E-24   1.87725724145932E-23
  8    5     2.56316428816050E-29   3.33211357460865E-28
  9    5     1.99860770943232E-40   2.79805079320525E-39
  3    6     4.39246245009423E-21   3.95321620508481E-20
  4    6     1.30524087197111E-15   1.30524087197111E-14
  5    6     1.19858129163022E-13   1.31843942079324E-12
  6    6     9.30682999798717E-11   1.11681959975846E-09
  7    6     2.94034901965181E-14   3.82245372554736E-13
  8    6     6.66344614913184E-18   9.32882460878458E-17
  9    6     1.54688332285787E-25   2.32032498428681E-24
 10    6     3.76640991923465E-21   6.02625587077543E-20
 11    6     9.37510909547056E-26   1.59376854622999E-24
 12    6     7.30823739348209E-18   1.31548273082678E-16
  4    7     1.01729469053764E-15   1.11902415959140E-14
  5    7     7.62448817113005E-19   9.14938580535606E-18
  6    7     2.39929928888319E-13   3.11908907554815E-12
  7    7     1.05160356364095E-11   1.47224498909732E-10
  8    7     7.03090646633504E-17   1.05463596995026E-15
  9    7     1.42449236905332E-22   2.27918779048531E-21
 10    7     2.68281353349777E-19   4.56078300694622E-18
 11    7     1.68583524775279E-21   3.03450344595503E-20
 12    7     4.13260783989854E-18   7.85195489580722E-17
 13    7     2.02777202919113E-24   4.05554405838227E-23
 14    7     7.84122559602319E-19   1.64665737516487E-17
  5    8     2.66736265482021E-22   3.46757145126627E-21
  6    8     3.71141112390851E-12   5.19597557347192E-11
  7    8     8.95536049642472E-11   1.34330407446371E-09
  8    8     1.42498328083583E-08   2.27997324933733E-07
  9    8     7.34607864414988E-15   1.24883336950548E-13
 10    8     3.93573281132822E-22   7.08431906039079E-21
 11    8     3.51634142092690E-25   6.68104869976112E-24
 12    8     2.87721870308964E-24   5.75443740617928E-23
 13    8     4.04950504053801E-26   8.50396058512983E-25
 14    8     1.26540437531359E-29   2.78388962568991E-28
  5    9     1.55356704884909E-33   2.17499386838873E-32
  6    9     4.04817627014753E-20   6.07226440522130E-19
  7    9     4.99209029742302E-17   7.98734447587682E-16
  8    9     8.49223745199312E-13   1.44368036683883E-11
  9    9     2.82417909933110E-16   5.08352237879598E-15
 10    9     3.21592949043461E-18   6.11026603182577E-17
 11    9     4.67679990034863E-24   9.35359980069725E-23
 12    9     2.95173280013904E-25   6.19863888029198E-24
 13    9     4.40405121112120E-27   9.68891266446664E-26
 14    9     1.58212453219059E-28   3.63888642403836E-27
 15    9     5.81901578991673E-28   1.39656378958001E-26
 16    9     5.11261223274270E-30   1.27815305818567E-28
 17    9     2.40876978050798E-32   6.26280142932074E-31
  7   10     2.17813276136896E-22   3.70282569432723E-21
  8   10     4.03734960251831E-14   7.26722928453295E-13
  9   10     4.23567435003544E-13   8.04778126506733E-12
 10   10     9.40748420557426E-11   1.88149684111485E-09
 11   10     1.88290754922489E-14   3.95410585337228E-13
