    time    temp    dens
   1.52399130758649E-01   9.98132742899159E-01   3.69895270748925E+03
     nin     zin       y       x
  1    0     1.91230482457763E-10   1.91230482457763E-10
  0    1     7.52726443577187E-01   7.52726443577187E-01
  1    1     1.01130236839142E-08   2.02260473678283E-08
  2    1     3.08537166777937E-12   9.25611500333810E-12
  1    2     1.40823898893661E-06   4.22471696680984E-06
  2    2     6.13099738557188E-02   2.45239895422875E-01
  4    2     4.31528299448355E-30   2.58916979669013E-29
  3    3     1.05406349901983E-17   6.32438099411899E-17
  4    3     7.55775369174129E-13   5.29042758421890E-12
  5    3     1.77327376210517E-22   1.41861900968414E-21
  6    3     1.03630444008701E-27   9.32673996078311E-27
  3    4     4.50197769706503E-07   3.15138438794552E-06
  5    4     2.15717892591766E-21   1.94146103332590E-20
  6    4     7.09252052864322E-25   7.09252052864322E-24
  7    4     1.23297903675639E-38   1.35627694043203E-37
  8    4     1.97747657715835E-44   2.37297189259002E-43
  3    5     4.79510496279724E-13   3.83608397023779E-12
  5    5     4.54112304429669E-14   4.54112304429669E-13
  6    5     3.92466158434330E-16   4.31712774277763E-15
  7    5     4.40502234411079E-23   5.28602681293295E-22
  8    5     2.98373993587489E-27   3.87886191663736E-26
  9    5     1.17494963743540E-38   1.64492949240957E-37
  3    6     2.25285715433911E-13   2.02757143890520E-12
  4    6     1.64022253436840E-11   1.64022253436840E-10
  5    6     2.21814384388187E-07   2.43995822827006E-06
  6    6     9.62402814293632E-10   1.15488337715236E-08
  7    6     9.17524102712180E-15   1.19278133352583E-13
  8    6     9.62515224918671E-16   1.34752131488614E-14
  9    6     5.39547241708109E-28   8.09320862562164E-27
 10    6     6.14040538829015E-28   9.82464862126425E-27
 11    6     4.99497324117818E-40   8.49145451000291E-39
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.31929783381315E-23   1.45122761719446E-22
  5    7     2.93030608494523E-11   3.51636730193427E-10
  6    7     8.51279045118840E-10   1.10666275865449E-08
  7    7     8.87797339343548E-09   1.24291627508097E-07
  8    7     1.77893475550272E-13   2.66840213325408E-12
