    time    temp    dens
   2.18013503641867E+00   2.63421866337986E-02   7.66495507159573E-02
     nin     zin       y       x
  1    0     4.88368533833604E-10   4.88368533833604E-10
  0    1     7.51695071452098E-01   7.51695071452098E-01
  1    1     5.01913971076142E-06   1.00382794215228E-05
  2    1     4.22098103112071E-07   1.26629430933621E-06
  1    2     1.25222672932009E-05   3.75668018796026E-05
  2    2     6.15330172693876E-02   2.46132069077550E-01
  4    2     3.77609429124311E-22   2.26565657474587E-21
  3    3     2.07836926678223E-14   1.24702156006934E-13
  4    3     1.45678047261776E-09   1.01974633083243E-08
  5    3     3.70513112462439E-16   2.96410489969951E-15
  6    3     2.82026573839632E-23   2.53823916455669E-22
  3    4     1.46121476424419E-09   1.02285033497093E-08
  5    4     1.04737907654850E-13   9.42641168893650E-13
  6    4     1.48188148219905E-14   1.48188148219905E-13
  7    4     4.81556569730254E-22   5.29712226703280E-21
  8    4     2.02989793319703E-31   2.43587751983643E-30
  3    5     8.60853030776096E-13   6.88682424620877E-12
  5    5     8.44499214363983E-09   8.44499214363983E-08
  6    5     1.31849478779791E-07   1.45034426657770E-06
  7    5     2.74968931792210E-16   3.29962718150652E-15
  8    5     1.93068172107825E-19   2.50988623740172E-18
  9    5     1.77774099122201E-31   2.48883738771082E-30
  3    6     3.32894855867316E-11   2.99605370280585E-10
  4    6     1.65691578944771E-07   1.65691578944771E-06
  5    6     3.90663195056344E-06   4.29729514561979E-05
  6    6     3.30614665809800E-06   3.96737598971760E-05
  7    6     3.30762013967047E-07   4.29990618157161E-06
  8    6     5.14074190616301E-10   7.19703866862821E-09
  9    6     6.48961809458627E-17   9.73442714187940E-16
 10    6     4.65396673678323E-18   7.44634677885317E-17
 11    6     1.21428736160387E-27   2.06428851472658E-26
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     8.16964055215353E-36   8.98660460736889E-35
  5    7     3.06464305790935E-17   3.67757166949122E-16
  6    7     1.39262174062695E-06   1.81040826281503E-05
  7    7     1.37003134164516E-06   1.91804387830322E-05
  8    7     6.68951682079015E-07   1.00342752311852E-05
  9    7     5.58437576145332E-14   8.93500121832532E-13
 10    7     1.86238419349309E-13   3.16605312893826E-12
 11    7     1.65175943962323E-16   2.97316699132181E-15
 12    7     2.23700584942156E-17   4.25031111390096E-16
 13    7     2.26614698468619E-21   4.53229396937239E-20
 14    7     4.47445802073830E-23   9.39636184355044E-22
  5    8     1.24012190492227E-20   1.61215847639895E-19
  6    8     1.40859527172562E-05   1.97203338041587E-04
  7    8     7.69875515947501E-06   1.15481327392125E-04
  8    8     8.83895279216886E-06   1.41423244674702E-04
  9    8     3.87700292147933E-07   6.59090496651486E-06
 10    8     1.33899381413504E-08   2.41018886544307E-07
 11    8     1.34170624906376E-15   2.54924187322114E-14
 12    8     7.12728332488923E-17   1.42545666497785E-15
 13    8     1.01191549882527E-20   2.12502254753308E-19
 14    8     4.43906496897347E-22   9.76594293174164E-21
  5    9     6.48173258353504E-72   9.07442561694905E-71
  6    9     2.12268737979016E-15   3.18403106968524E-14
  7    9     6.78535434777342E-16   1.08565669564375E-14
  8    9     7.42422971253502E-07   1.26211905113095E-05
  9    9     2.57696369339668E-07   4.63853464811402E-06
 10    9     4.95408466468669E-10   9.41276086290471E-09
 11    9     6.97171432730765E-14   1.39434286546153E-12
 12    9     9.21968239646764E-16   1.93613330325820E-14
 13    9     1.29159742361521E-17   2.84151433195347E-16
 14    9     9.83020362225841E-21   2.26094683311943E-19
 15    9     1.39662147258450E-22   3.35189153420281E-21
 16    9     1.08428044693367E-24   2.71070111733419E-23
 17    9     2.23970109599258E-27   5.82322284958071E-26
  7   10     2.00705757592999E-18   3.41199787908098E-17
  8   10     1.74468950544480E-07   3.14044110980065E-06
  9   10     2.14342786968880E-09   4.07251295240872E-08
 10   10     2.74775233288522E-08   5.49550466577045E-07
 11   10     4.67353492682248E-10   9.81442334632721E-09
 12   10     1.98807052197455E-09   4.37375514834400E-08
