    time    temp    dens
   8.13155899337431E-01   7.25310004064501E-02   1.47719675688170E+00
     nin     zin       y       x
  1    0     3.00339049007251E-10   3.00339049007251E-10
  0    1     7.51707070738447E-01   7.51707070738447E-01
  1    1     1.88170703230762E-06   3.76341406461524E-06
  2    1     5.38999486792803E-08   1.61699846037841E-07
  1    2     1.27226817727544E-05   3.81680453182631E-05
  2    2     6.15311085722558E-02   2.46124434289023E-01
  4    2     4.10265464913804E-23   2.46159278948283E-22
  3    3     1.37775292761266E-15   8.26651756567596E-15
  4    3     2.79158167629919E-10   1.95410717340943E-09
  5    3     5.17734992274649E-18   4.14187993819719E-17
  6    3     5.27162189514792E-25   4.74445970563313E-24
  3    4     2.41846193357292E-09   1.69292335350104E-08
  5    4     4.73212314396657E-15   4.25891082956991E-14
  6    4     1.29153813981072E-15   1.29153813981072E-14
  7    4     1.23230600136464E-23   1.35553660150110E-22
  8    4     4.64336968624212E-32   5.57204362349054E-31
  3    5     3.16348315289851E-12   2.53078652231880E-11
  5    5     6.19456243232559E-10   6.19456243232559E-09
  6    5     2.65290104907048E-08   2.91819115397753E-07
  7    5     3.24995050077342E-15   3.89994060092810E-14
  8    5     1.10621857059632E-18   1.43808414177521E-17
  9    5     3.58196063099433E-29   5.01474488339206E-28
  3    6     3.32894850399040E-11   2.99605365359136E-10
  4    6     1.74029036695268E-07   1.74029036695268E-06
  5    6     3.91906160058810E-06   4.31096776064691E-05
  6    6     3.25368509796419E-06   3.90442211755703E-05
  7    6     3.07683676876444E-07   3.99988779939378E-06
  8    6     4.48193474036022E-10   6.27470863650431E-09
  9    6     5.64661301695869E-17   8.46991952543804E-16
 10    6     4.76590638249968E-18   7.62545021199949E-17
 11    6     1.67177257599446E-26   2.84201337919059E-25
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.38735949605921E-27   1.52609544566513E-26
  5    7     5.14455401021158E-15   6.17346481225389E-14
  6    7     1.41596746540819E-06   1.84075770503065E-05
  7    7     1.13739562966048E-06   1.59235388152467E-05
  8    7     4.42880629579509E-07   6.64320944369263E-06
  9    7     4.00499180378794E-14   6.40798688606070E-13
 10    7     2.28960309480373E-13   3.89232526116633E-12
 11    7     5.09662978913398E-16   9.17393362044117E-15
 12    7     1.59803430970911E-16   3.03626518844730E-15
 13    7     2.02234667252913E-20   4.04469334505827E-19
 14    7     5.89990790551481E-22   1.23898066015811E-20
  5    8     1.31459578795938E-19   1.70897452434719E-18
  6    8     1.45056711126320E-05   2.03079395576848E-04
  7    8     7.96490982914476E-06   1.19473647437171E-04
  8    8     8.83891718980018E-06   1.41422675036803E-04
  9    8     3.51324224158630E-07   5.97251181069671E-06
 10    8     7.52532389101358E-09   1.35455830038244E-07
 11    8     8.45130974667066E-16   1.60574885186743E-14
 12    8     5.68335639594056E-17   1.13667127918811E-15
 13    8     7.69383431390045E-21   1.61570520591910E-19
 14    8     4.54900973997319E-22   1.00078214279410E-20
  5    9     7.11252829316718E-72   9.95753961043406E-71
  6    9     3.33772263776947E-18   5.00658395665421E-17
  7    9     2.46354090357588E-19   3.94166544572141E-18
  8    9     8.15149398258983E-07   1.38575397704027E-05
  9    9     1.36550850824839E-07   2.45791531484711E-06
 10    9     3.55091937985053E-10   6.74674682171600E-09
 11    9     7.09620817379248E-14   1.41924163475850E-12
 12    9     8.33041388698113E-16   1.74938691626604E-14
 13    9     1.59690214873318E-17   3.51318472721300E-16
 14    9     1.09526391976607E-20   2.51910701546196E-19
 15    9     6.49143318890770E-22   1.55794396533785E-20
 16    9     1.40647949263142E-23   3.51619873157855E-22
 17    9     2.68234862177586E-26   6.97410641661725E-25
  7   10     1.10145111722067E-15   1.87246689927514E-14
  8   10     3.13768939547432E-07   5.64784091185377E-06
  9   10     2.28398325687301E-09   4.33956818805873E-08
 10   10     2.73217134280925E-08   5.46434268561850E-07
 11   10     3.64823168346844E-10   7.66128653528374E-09
 12   10     1.72773253537751E-09   3.80101157783052E-08
 13   10     1.17799627321517E-14   2.70939142839489E-13
 14   10     6.03189407968003E-16   1.44765457912321E-14
 15   10     3.58998648987860E-17   8.97496622469650E-16
 16   10     1.61220340661804E-17   4.19172885720690E-16
 17   10     2.59504615601753E-22   7.00662462124732E-21
 18   10     9.68270589057642E-26   2.71115764936140E-24
 19   10     4.85534717074924E-29   1.40805067951728E-27
 20   10     5.06714575713105E-31   1.52014372713931E-29
 21   10     3.36698210466897E-36   1.04376445244738E-34
 22   10     2.27682286829942E-39   7.28583317855814E-38
 23   10     1.17295609184726E-42   3.87075510309596E-41
 24   10     6.56264581914016E-47   2.23129957850766E-45
 25   10     1.57128224110534E-95   5.49948784386868E-94
 26   10     2.45897889229897E-94   8.85232401227629E-93
 27   10     5.83860372024227E-94   2.16028337648964E-92
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     4.33119721344530E-17   8.22927470554607E-16
  9   11     1.27698888763993E-10   2.55397777527986E-09
 10   11     1.61252064638225E-09   3.38629335740272E-08
 11   11     3.81705021995175E-09   8.39751048389384E-08
 12   11     4.37407567263880E-09   1.00603740470692E-07
 13   11     1.90701980958897E-12   4.57684754301353E-11
 14   11     7.42230722186944E-14   1.85557680546736E-12
