    time    temp    dens
   2.92217055778903E+04   1.00000000000000E-02   3.18304746380487E-14
     nin     zin       y       x
  1    0     7.08014288920699E-12   7.08014288920699E-12
  0    1     7.51690307914925E-01   7.51690307914925E-01
  1    1     7.29788487310321E-06   1.45957697462064E-05
  2    1     9.83424939963189E-07   2.95027481988957E-06
  1    2     1.19839787379186E-05   3.59519362137557E-05
  2    2     6.15332513401729E-02   2.46133005360692E-01
  4    2     2.83895607720357E-30   1.70337364632215E-29
  3    3     7.10697144185451E-14   4.26418286511271E-13
  4    3     3.03926334139945E-09   2.12748433897961E-08
  5    3     5.38209950156110E-30   4.30567960124888E-29
  6    3     2.06424663840338E-51   1.85782197456304E-50
  3    4     1.10482903311701E-09   7.73380323181910E-09
  5    4     2.37634965836733E-13   2.13871469253060E-12
  6    4     2.36463738709748E-14   2.36463738709748E-13
  7    4     4.55631591590940E-35   5.01194750750034E-34
  8    4     1.13387694454701E-58   1.36065233345642E-57
  3    5     3.42557806344135E-37   2.74046245075308E-36
  5    5     1.72925261914271E-07   1.72925261914271E-06
  6    5     4.05256158007553E-06   4.45781773808308E-05
  7    5     7.61016011925775E-24   9.13219214310930E-23
  8    5     2.77518995620210E-26   3.60774694306273E-25
  9    5     5.58302937889513E-53   7.81624113045318E-52
  3    6     3.32894855867320E-11   2.99605370280588E-10
  4    6     1.30493173020026E-22   1.30493173020026E-21
  5    6     2.39104940846532E-13   2.63015434931185E-12
  6    6     3.32518101867058E-06   3.99021722240469E-05
  7    6     1.72330517838940E-06   2.24029673190622E-05
  8    6     5.71335973870819E-10   7.99870363419147E-09
  9    6     2.16748056969484E-25   3.25122085454227E-24
 10    6     3.36422819373573E-25   5.38276510997717E-24
 11    6     7.72699489605716E-50   1.31358913232972E-48
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     3.86842107309730E-90   4.25526318040703E-89
  5    7     1.58842712756804E-24   1.90611255308164E-23
  6    7     5.21657115467944E-18   6.78154250108327E-17
  7    7     1.54094830834476E-05   2.15732763168266E-04
  8    7     8.35457971911717E-06   1.25318695786758E-04
  9    7     3.35959626553195E-22   5.37535402485112E-21
 10    7     2.38396665531568E-22   4.05274331403666E-21
 11    7     2.16662735529907E-25   3.89992923953832E-24
 12    7     5.22513468551897E-26   9.92775590248605E-25
 13    7     6.60077385421394E-30   1.32015477084279E-28
 14    7     3.95802238175976E-39   8.31184700169549E-38
  5    8     7.10508450657570E-42   9.23660985854841E-41
  6    8     1.48463804293338E-21   2.07849326010673E-20
  7    8     9.53419670256794E-19   1.43012950538519E-17
  8    8     8.83895499928663E-06   1.41423279988586E-04
  9    8     1.11655277483690E-06   1.89813971722272E-05
 10    8     4.20162199685179E-07   7.56291959433322E-06
 11    8     1.21381697789431E-23   2.30625225799919E-22
 12    8     6.16744515667493E-25   1.23348903133499E-23
 13    8     2.04853873275149E-29   4.30193133877813E-28
 14    8     1.71338605318410E-38   3.76944931700502E-37
  5    9     5.90671625336454E-72   8.26940275471035E-71
  6    9     3.62184123974166E-15   5.43276185961249E-14
  7    9     1.88368519132220E-15   3.01389630611552E-14
  8    9     1.12773627015791E-22   1.91715165926845E-21
  9    9     1.95176157597331E-08   3.51317083675195E-07
 10    9     2.63765954059657E-09   5.01155312713349E-08
 11    9     4.50818234532927E-23   9.01636469065854E-22
 12    9     2.13804794621059E-24   4.48990068704223E-23
 13    9     9.85806582284078E-27   2.16877448102497E-25
 14    9     2.16366654613885E-29   4.97643305611935E-28
 15    9     2.87046625473626E-37   6.88911901136702E-36
 16    9     4.37154132798703E-40   1.09288533199676E-38
 17    9     8.13895450121698E-45   2.11612817031642E-43
  7   10     1.50416594878664E-30   2.55708211293729E-29
  8   10     4.78179420437201E-25   8.60722956786962E-24
  9   10     3.70983164164651E-22   7.04868011912837E-21
 10   10     2.74973294999056E-08   5.49946589998112E-07
 11   10     2.00414375320369E-09   4.20870188172775E-08
 12   10     2.16505032697584E-09   4.76311071934686E-08
 13   10     5.30772284298817E-24   1.22077625388728E-22
 14   10     6.14870101359076E-23   1.47568824326178E-21
 15   10     1.72607750078677E-26   4.31519375196692E-25
 16   10     6.06287007162478E-27   1.57634621862244E-25
 17   10     1.89119679813935E-32   5.10623135497626E-31
 18   10     2.07435474409615E-33   5.80819328346921E-32
 19   10     1.60498520175924E-47   4.65445708510181E-46
 20   10     1.35654775600131E-49   4.06964326800394E-48
 21   10     2.53332531877743E-55   7.85330848821005E-54
 22   10     1.87549203022641E-58   6.00157449672450E-57
 23   10     1.00050762329233E-62   3.30167515686468E-61
 24   10     4.06797053158295E-66   1.38310998073820E-64
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     9.49110231265895E-27   1.80330943940520E-25
  9   11     1.02550429604229E-24   2.05100859208458E-23
 10   11     1.94651611915767E-22   4.08768385023111E-21
 11   11     1.04940433185211E-08   2.30868953007463E-07
 12   11     7.22717804691278E-09   1.66225095078994E-07
 13   11     2.36953271247926E-12   5.68687850995023E-11
 14   11     2.02412307237478E-21   5.06030768093694E-20
 15   11     3.55857114482095E-24   9.25228497653448E-23
 16   11     3.35763542441295E-25   9.06561564591497E-24
 17   11     1.70874104489806E-30   4.78447492571457E-29
 18   11     3.90990551857547E-30   1.13387260038689E-28
 19   11     2.72746775748788E-43   8.18240327246363E-42
 20   11     7.75428705592173E-45   2.40382898733574E-43
 21   11     2.49142257916170E-50   7.97255225331744E-49
 22   11     1.60416904619958E-53   5.29375785245861E-52
 23   11     6.55541614449437E-58   2.22884148912809E-56
 24   11     9.00544822233992E-62   3.15190687781897E-60
 25   11     9.77470936562628E-73   3.51889537162546E-71
 26   11     5.54738029050964E-79   2.05253070748857E-77
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     7.06625787786092E-29   1.41325157557218E-27
  9   12     1.61841562055502E-27   3.39867280316554E-26
 10   12     5.07528354543455E-24   1.11656237999560E-22
 11   12     5.25709296803719E-22   1.20913138264855E-20
 12   12     9.36499962914221E-09   2.24759991099413E-07
 13   12     3.19323816603060E-08   7.98309541507651E-07
 14   12     8.94186892334333E-09   2.32488592006927E-07
 15   12     4.08547539082206E-20   1.10307835552196E-18
 16   12     2.20082479052013E-14   6.16230941345636E-13
 17   12     1.90123718937184E-25   5.51358784917834E-24
 18   12     5.06440632337753E-26   1.51932189701326E-24
 19   12     2.13221438772982E-30   6.60986460196243E-29
 20   12     1.82420220872576E-30   5.83744706792243E-29
 21   12     3.26968622397242E-39   1.07899645391090E-37
 22   12     6.24893639203383E-40   2.12463837329150E-38
 23   12     4.45518816813606E-49   1.55931585884762E-47
 24   12     1.29786105427820E-52   4.67229979540153E-51
 25   12     1.33879813033277E-53   4.95355308223125E-52
 26   12     9.48587038759852E-57   3.60463074728744E-55
 27   12     6.07007746320208E-64   2.36733021064881E-62
 28   12     9.62215517363498E-87   3.84886206945399E-85
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     6.78776999994775E-43   1.42543169998903E-41
  9   13     2.78798980166196E-29   6.13357756365632E-28
 10   13     2.14982196290445E-26   4.94459051468022E-25
 11   13     1.09242100629412E-23   2.62181041510589E-22
 12   13     1.82422635593840E-22   4.56056588984599E-21
 13   13     3.35118200469017E-09   8.71307321219443E-08
 14   13     6.25083526729659E-08   1.68772552217008E-06
 15   13     3.93100996315731E-17   1.10068278968405E-15
 16   13     1.54990336657453E-19   4.49471976306613E-18
 17   13     3.11091870748937E-23   9.33275612246810E-22
 18   13     2.12008965993340E-24   6.57227794579353E-23
 19   13     1.76411060187221E-29   5.64515392599109E-28
 20   13     1.99337138146619E-28   6.57812555883843E-27
 21   13     5.36858672537932E-36   1.82531948662897E-34
 22   13     6.62081804841906E-38   2.31728631694667E-36
 23   13     2.68479767347811E-45   9.66527162452119E-44
 24   13     6.95873346316991E-49   2.57473138137287E-47
 25   13     1.74216518977050E-50   6.62022772112788E-49
 26   13     5.98030077366485E-54   2.33231730172929E-52
 27   13     6.96202422917781E-60   2.78480969167112E-58
 28   13     1.53410929316259E-63   6.28984810196661E-62
 29   13     1.14073136585491E-99   4.79107173659061E-98
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     5.47979124186647E-45   1.20555407321062E-43
  9   14     1.31569416801025E-42   3.02609658642357E-41
 10   14     6.27580888014999E-27   1.50619413123600E-25
 11   14     1.05548389730259E-25   2.63870974325648E-24
 12   14     7.90259720400327E-24   2.05467527304085E-22
 13   14     1.02387634020873E-21   2.76446611856358E-20
 14   14     2.60845543933708E-07   7.30367523014382E-06
 15   14     2.26801297149170E-07   6.57723761732593E-06
 16   14     3.17270783188904E-07   9.51812349566711E-06
 17   14     3.15510033490932E-11   9.78081103821890E-10
 18   14     2.89859866770591E-11   9.27551573665892E-10
 19   14     1.92496616929424E-24   6.35238835867100E-23
 20   14     8.18793124185727E-25   2.78389662223147E-23
 21   14     3.35058294216376E-29   1.17270402975732E-27
 22   14     1.84107409742212E-31   6.62786675071962E-30
 23   14     1.29468162243918E-35   4.79032200302496E-34
 24   14     3.44598014133685E-36   1.30947245370800E-34
 25   14     1.37581746824501E-45   5.36568812615553E-44
 26   14     1.95409093657219E-47   7.81636374628875E-46
 27   14     3.39328435938298E-52   1.39124658734702E-50
 28   14     5.67056511180748E-56   2.38163734695914E-54
 29   14     2.10724188187004E-68   9.06114009204119E-67
 30   14     3.64237007598509E-76   1.60264283343344E-74
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     4.32249321114930E-49   9.94173438564339E-48
  9   15     1.30609762399562E-46   3.13463429758948E-45
 10   15     1.56446433711968E-45   3.91116084279919E-44
 11   15     3.42432809983089E-40   8.90325305956031E-39
 12   15     2.24725556990803E-26   6.06759003875169E-25
 13   15     2.06598321506781E-24   5.78475300218986E-23
 14   15     5.00339674064822E-22   1.45098505478798E-20
 15   15     1.28860118443973E-19   3.86580355331920E-18
 16   15     3.07874362362128E-07   9.54410523322597E-06
 17   15     8.43933672827846E-11   2.70058775304911E-09
 18   15     1.80830728466260E-09   5.96741403938656E-08
 19   15     1.89462308596519E-22   6.44171849228164E-21
 20   15     3.56083329770111E-22   1.24629165419539E-20
 21   15     2.04290404515189E-26   7.35445456254681E-25
 22   15     2.87720439779853E-28   1.06456562718546E-26
 23   15     1.63403033139041E-31   6.20931525928354E-30
 24   15     1.04607327881695E-33   4.07968578738612E-32
 25   15     8.33771022741794E-42   3.33508409096718E-40
 26   15     1.47618450031830E-44   6.05235645130501E-43
 27   15     1.95252961035844E-48   8.20062436350543E-47
 28   15     1.10936182494731E-51   4.77025584727342E-50
 29   15     5.80763577241737E-64   2.55535973986364E-62
 30   15     1.99072471726581E-68   8.95826122769615E-67
 31   15     1.17680835163916E-72   5.41331841754013E-71
 32   15     5.31041673581778E-81   2.49589586583435E-79
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     8.52400913418498E-52   2.04576219220439E-50
  9   16     7.33378235905801E-50   1.83344558976450E-48
 10   16     3.51417416554734E-46   9.13685283042309E-45
 11   16     1.64000851599243E-43   4.42802299317957E-42
 12   16     1.63328481202683E-26   4.57319747367514E-25
 13   16     2.33473999364809E-25   6.77074598157945E-24
 14   16     1.53479078064142E-23   4.60437234192426E-22
 15   16     8.76930920637828E-22   2.71848585397727E-20
 16   16     3.54934800620284E-07   1.13579136198491E-05
 17   16     2.30524367637683E-07   7.60730413204353E-06
 18   16     4.36933390078017E-07   1.48557352626526E-05
 19   16     1.53960885795286E-10   5.38863100283500E-09
 20   16     1.82729296605285E-09   6.57825467779025E-08
 21   16     1.30584515935242E-22   4.83162708960396E-21
 22   16     6.25079381396606E-17   2.37530164930710E-15
 23   16     1.00560466800895E-25   3.92185820523491E-24
 24   16     5.22276409054355E-27   2.08910563621742E-25
 25   16     1.71211271606358E-27   7.01966213586068E-26
 26   16     1.05487844584096E-29   4.43048947253203E-28
 27   16     2.99489125400072E-35   1.28780323922031E-33
 28   16     4.96978667459421E-36   2.18670613682145E-34
 29   16     6.16524778732016E-48   2.77436150429407E-46
 30   16     1.40999472632184E-52   6.48597574108048E-51
 31   16     5.35150479019581E-68   2.51520725139203E-66
 32   16     1.58420559778893E-70   7.60418686938686E-69
 33   16     2.11172249405873E-80   1.03474402208878E-78
 34   16     1.00000000000000E-99   1.00000000000000E-99
 35   16     1.00000000000000E-99   1.00000000000000E-99
 36   16     1.00000000000000E-99   1.00000000000000E-99
 37   16     1.00000000000000E-99   1.00000000000000E-99
 38   16     1.00000000000000E-99   1.00000000000000E-99
 39   16     1.00000000000000E-99   1.00000000000000E-99
