    time    temp    dens
   1.83144721986354E+04   1.00000000000000E-02   1.29293465096076E-13
     nin     zin       y       x
  1    0     1.88223935666543E-11   1.88223935666543E-11
  0    1     7.51690307901721E-01   7.51690307901721E-01
  1    1     7.29788487281671E-06   1.45957697456334E-05
  2    1     9.83443297149461E-07   2.95032989144838E-06
  1    2     1.19839589344564E-05   3.59518768033692E-05
  2    2     6.15332513415872E-02   2.46133005366349E-01
  4    2     7.22748471587078E-30   4.33649082952247E-29
  3    3     7.10571492882295E-14   4.26342895729377E-13
  4    3     3.03926276619486E-09   2.12748393633640E-08
  5    3     5.81264574755319E-29   4.65011659804255E-28
  6    3     2.40767675997715E-49   2.16690908397944E-48
  3    4     1.10482903065979E-09   7.73380321461852E-09
  5    4     2.37599271452960E-13   2.13839344307664E-12
  6    4     2.36454237783247E-14   2.36454237783247E-13
  7    4     4.93045449497322E-34   5.42349994447054E-33
  8    4     1.32497658405840E-56   1.58997190087008E-55
  3    5     1.39154365754446E-36   1.11323492603557E-35
  5    5     1.72925261881709E-07   1.72925261881709E-06
  6    5     4.05244435805916E-06   4.45768879386507E-05
  7    5     1.93741830539819E-23   2.32490196647783E-22
  8    5     6.35965518455468E-26   8.26755173992108E-25
  9    5     1.38158659422021E-51   1.93422123190829E-50
  3    6     3.32894855867319E-11   2.99605370280587E-10
  4    6     3.32589637432543E-22   3.32589637432543E-21
  5    6     1.17461516529889E-10   1.29207668182878E-09
  6    6     3.32518101814148E-06   3.99021722176977E-05
  7    6     1.72330517707022E-06   2.24029673019129E-05
  8    6     5.71335951635471E-10   7.99870332289659E-09
  9    6     5.51878377155391E-25   8.27817565733087E-24
 10    6     7.70973332604700E-25   1.23355733216752E-23
 11    6     1.91226080339997E-48   3.25084336577995E-47
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     4.17737396688627E-89   4.59511136357490E-88
  5    7     4.04383173039916E-24   4.85259807647900E-23
  6    7     8.51927121359276E-16   1.10750525776706E-14
  7    7     1.54094830844719E-05   2.15732763182607E-04
  8    7     8.35457971891054E-06   1.25318695783658E-04
  9    7     8.23668052855293E-22   1.31786888456847E-20
 10    7     5.46730405321527E-22   9.29441689046595E-21
 11    7     5.51601965166456E-25   9.92883537299620E-24
 12    7     1.33039433738581E-25   2.52774924103304E-24
 13    7     1.93296791355575E-29   3.86593582711150E-28
 14    7     2.57431745400150E-38   5.40606665340315E-37
  5    8     4.63914997823264E-41   6.03089497170243E-40
  6    8     3.79561921773075E-21   5.31386690482306E-20
  7    8     2.44527288517935E-18   3.66790932776903E-17
  8    8     8.83895499969302E-06   1.41423279995088E-04
  9    8     1.11655277487382E-06   1.89813971728549E-05
 10    8     3.78209143221355E-07   6.80776457798439E-06
 11    8     3.09538635878748E-23   5.88123408169621E-22
 12    8     1.57146379485228E-24   3.14292758970455E-23
 13    8     6.00009219235010E-29   1.26001936039352E-27
 14    8     1.11479052339369E-37   2.45253915146612E-36
  5    9     5.90671625347817E-72   8.26940275486944E-71
  6    9     3.62184123980282E-15   5.43276185970422E-14
  7    9     1.88367941281356E-15   3.01388706050169E-14
  8    9     6.79312312494621E-22   1.15483093124085E-20
  9    9     6.14706722489346E-08   1.10647210048082E-06
 10    9     2.63765953979062E-09   5.01155312560217E-08
 11    9     1.14853046061074E-22   2.29706092122148E-21
 12    9     5.44265584595608E-24   1.14295772765078E-22
 13    9     2.51040363158081E-26   5.52288798947778E-25
 14    9     5.50900053126230E-29   1.26707012219033E-27
 15    9     8.10199681833865E-37   1.94447923640127E-35
 16    9     2.90745268432221E-39   7.26863171080553E-38
 17    9     5.27895662053804E-44   1.37252872133989E-42
