    time    temp    dens
   3.69849985442659E+02   1.00000000000000E-02   1.56993972567030E-08
     nin     zin       y       x
  1    0     2.50518425812220E-08   2.50518425812220E-08
  0    1     7.51690286931593E-01   7.51690286931593E-01
  1    1     7.29579439181362E-06   1.45915887836272E-05
  2    1     9.82872798565842E-07   2.94861839569752E-06
  1    2     1.19843413665155E-05   3.59530240995466E-05
  2    2     6.15332514214794E-02   2.46133005685918E-01
  4    2     1.77915602678268E-26   1.06749361606961E-25
  3    3     6.94294367031446E-14   4.16576620218868E-13
  4    3     3.03332601302656E-09   2.12332820911859E-08
  5    3     9.46463731162407E-21   7.57170984929926E-20
  6    3     6.38760131626872E-33   5.74884118464184E-32
  3    4     1.10508438828321E-09   7.73559071798248E-09
  5    4     2.32978710149889E-13   2.09680839134900E-12
  6    4     2.35693308736838E-14   2.35693308736838E-13
  7    4     9.51034982437094E-26   1.04613848068080E-24
  8    4     4.13242003815330E-40   4.95890404578396E-39
  3    5     1.70518158783293E-31   1.36414527026635E-30
  5    5     1.72930557667686E-07   1.72930557667686E-06
  6    5     9.07289571451688E-07   9.98018528596857E-06
  7    5     5.39705710707512E-20   6.47646852849014E-19
  8    5     1.39574896943522E-23   1.81447366026578E-22
  9    5     4.90134883670836E-41   6.86188837139170E-40
  3    6     3.32894855867319E-11   2.99605370280587E-10
  4    6     3.05222351078185E-13   3.05222351078185E-12
  5    6     3.14530163861304E-06   3.45983180247435E-05
  6    6     3.32517989439853E-06   3.99021587327823E-05
  7    6     8.18523825577121E-07   1.06408097325026E-05
  8    6     5.70961569128364E-10   7.99346196779710E-09
  9    6     1.37830881059865E-21   2.06746321589797E-20
 10    6     1.69933067905040E-22   2.71892908648063E-21
 11    6     6.83424392681246E-38   1.16182146755812E-36
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     6.75577848807901E-81   7.43135633688691E-80
  5    7     9.68229711418793E-21   1.16187565370255E-19
  6    7     9.04781322620092E-07   1.17621571940612E-05
  7    7     1.50300879118278E-05   2.10421230765589E-04
  8    7     7.41086439172716E-06   1.11162965875907E-04
  9    7     2.39569311339333E-18   3.83310898142932E-17
 10    7     1.30553684014484E-19   2.21941262824623E-18
 11    7     1.36034292169517E-21   2.44861725905131E-20
 12    7     3.27452777080467E-22   6.22160276452887E-21
 13    7     5.98320161707405E-26   1.19664032341481E-24
 14    7     1.57712866700244E-29   3.31197020070513E-28
  5    8     4.39502335789391E-26   5.71353036526208E-25
  6    8     3.79396070582765E-07   5.31154498815871E-06
  7    8     9.43710989857394E-07   1.41556648478609E-05
  8    8     8.83895505343233E-06   1.41423280854917E-04
  9    8     1.10271262840003E-06   1.87461146828006E-05
